Joint0 X:-0.015404, Y:-0.460407, Z:1.368720
Joint1 X:-0.019471, Y:-0.159994, Z:1.442634
Joint2 X:-0.022984, Y:0.127573, Z:1.499245
Joint3 X:-0.029438, Y:0.280220, Z:1.491100
Joint4 X:-0.230880, Y:0.013730, Z:1.462980
Joint5 X:-0.347095, Y:-0.170003, Z:1.430899
Joint6 X:-0.254256, Y:-0.324220, Z:1.398060
Joint7 X:-0.208094, Y:-0.349857, Z:1.368850
Joint8 X:0.192733, Y:0.017454, Z:1.490532
Joint9 X:0.313517, Y:-0.157419, Z:1.478896
Joint10 X:0.218161, Y:-0.352283, Z:1.354943
Joint11 X:0.167808, Y:-0.503433, Z:1.290456
Joint12 X:-0.103405, Y:-0.448581, Z:1.329688
Joint13 X:-0.090199, Y:-0.841022, Z:1.227563
Joint14 X:-0.079789, Y:-1.216634, Z:1.157035
Joint15 X:-0.070289, Y:-1.220411, Z:1.025042
Joint16 X:0.073366, Y:-0.449373, Z:1.339736
Joint17 X:0.067109, Y:-0.842404, Z:1.241280
Joint18 X:0.062631, Y:-1.218620, Z:1.174301
Joint19 X:0.067021, Y:-1.223619, Z:1.042290
Joint20 X:-0.022170, Y:0.057320, Z:1.487651
Joint21 X:-0.218075, Y:-0.431897, Z:1.361133
Joint22 X:-0.174049, Y:-0.323953, Z:1.304939
Joint23 X:0.133268, Y:-0.563462, Z:1.266535
Joint24 X:0.129276, Y:-0.470331, Z:1.279809
Joint0 X:-0.015460, Y:-0.471384, Z:1.366115
Joint1 X:-0.017087, Y:-0.167268, Z:1.413788
Joint2 X:-0.018193, Y:0.124891, Z:1.443391
Joint3 X:-0.029163, Y:0.269358, Z:1.419392
Joint4 X:-0.218657, Y:0.019093, Z:1.400084
Joint5 X:-0.342194, Y:-0.157801, Z:1.361130
Joint6 X:-0.256322, Y:-0.314297, Z:1.380998
Joint7 X:-0.212509, Y:-0.340761, Z:1.375359
Joint8 X:0.181026, Y:0.027078, Z:1.406524
Joint9 X:0.309950, Y:-0.141160, Z:1.400657
Joint10 X:0.232157, Y:-0.304738, Z:1.390755
Joint11 X:0.195336, Y:-0.321213, Z:1.373466
Joint12 X:-0.106072, Y:-0.461216, Z:1.330678
Joint13 X:-0.123169, Y:-0.854960, Z:1.248035
Joint14 X:-0.141201, Y:-1.232236, Z:1.196222
Joint15 X:-0.140196, Y:-1.242501, Z:1.065595
Joint16 X:0.075628, Y:-0.458256, Z:1.333174
Joint17 X:0.082390, Y:-0.853069, Z:1.257442
Joint18 X:0.090174, Y:-1.231330, Z:1.212272
Joint19 X:0.090872, Y:-1.243204, Z:1.081938
Joint20 X:-0.017973, Y:0.053498, Z:1.438590
Joint21 X:-0.219294, Y:-0.425384, Z:1.375927
Joint22 X:-0.177097, Y:-0.343225, Z:1.294171
Joint23 X:0.185585, Y:-0.371838, Z:1.359218
Joint24 X:0.159510, Y:-0.302209, Z:1.296875
Joint0 X:-0.021199, Y:-0.483325, Z:1.362536
Joint1 X:-0.018143, Y:-0.175221, Z:1.399022
Joint2 X:-0.014953, Y:0.120314, Z:1.417526
Joint3 X:-0.024169, Y:0.262656, Z:1.388535
Joint4 X:-0.204197, Y:0.013482, Z:1.363924
Joint5 X:-0.321124, Y:-0.170844, Z:1.318869
Joint6 X:-0.241126, Y:-0.319840, Z:1.371243
Joint7 X:-0.196382, Y:-0.350943, Z:1.373491
Joint8 X:0.167493, Y:0.020206, Z:1.363837
Joint9 X:0.298155, Y:-0.146541, Z:1.347417
Joint10 X:0.220964, Y:-0.307067, Z:1.368094
Joint11 X:0.180180, Y:-0.333899, Z:1.374003
Joint12 X:-0.113920, Y:-0.474103, Z:1.330577
Joint13 X:-0.113667, Y:-0.868570, Z:1.259200
Joint14 X:-0.115632, Y:-1.246882, Z:1.218123
Joint15 X:-0.114248, Y:-1.260511, Z:1.088549
Joint16 X:0.072546, Y:-0.468649, Z:1.326895
Joint17 X:0.079016, Y:-0.863461, Z:1.260684
Joint18 X:0.086487, Y:-1.242027, Z:1.224637
Joint19 X:0.085601, Y:-1.256813, Z:1.095321
Joint20 X:-0.015776, Y:0.048112, Z:1.415547
Joint21 X:-0.210912, Y:-0.432286, Z:1.389711
Joint22 X:-0.157369, Y:-0.358273, Z:1.295322
Joint23 X:0.184644, Y:-0.437680, Z:1.416540
Joint24 X:0.141212, Y:-0.344729, Z:1.280962
Joint0 X:-0.024119, Y:-0.484159, Z:1.361531
Joint1 X:-0.018386, Y:-0.176374, Z:1.393521
Joint2 X:-0.011963, Y:0.119168, Z:1.406467
Joint3 X:-0.021761, Y:0.262314, Z:1.376662
Joint4 X:-0.201722, Y:0.014977, Z:1.366667
Joint5 X:-0.305985, Y:-0.172634, Z:1.307948
Joint6 X:-0.250765, Y:-0.330089, Z:1.364277
Joint7 X:-0.196297, Y:-0.367457, Z:1.375682
Joint8 X:0.164415, Y:0.020846, Z:1.354630
Joint9 X:0.280185, Y:-0.156316, Z:1.324254
Joint10 X:0.199904, Y:-0.311689, Z:1.358800
Joint11 X:0.161121, Y:-0.342769, Z:1.361069
Joint12 X:-0.117104, Y:-0.475243, Z:1.332306
Joint13 X:-0.118389, Y:-0.869989, Z:1.268120
Joint14 X:-0.121865, Y:-1.248646, Z:1.233922
Joint15 X:-0.123978, Y:-1.264225, Z:1.105017
Joint16 X:0.070038, Y:-0.468958, Z:1.322957
Joint17 X:0.068786, Y:-0.864147, Z:1.267525
Joint18 X:0.068998, Y:-1.243160, Z:1.241799
Joint19 X:0.063947, Y:-1.260684, Z:1.113422
Joint20 X:-0.013602, Y:0.046962, Z:1.405879
Joint21 X:-0.222444, Y:-0.457818, Z:1.395641
Joint22 X:-0.164313, Y:-0.381056, Z:1.298010
Joint23 X:0.175700, Y:-0.438688, Z:1.404393
Joint24 X:0.125251, Y:-0.355408, Z:1.274366
Joint0 X:-0.023724, Y:-0.492102, Z:1.370293
Joint1 X:-0.016803, Y:-0.183635, Z:1.385242
Joint2 X:-0.009834, Y:0.111603, Z:1.381279
Joint3 X:-0.018346, Y:0.252016, Z:1.346108
Joint4 X:-0.190010, Y:0.013310, Z:1.346950
Joint5 X:-0.284692, Y:-0.185730, Z:1.282089
Joint6 X:-0.239916, Y:-0.336157, Z:1.357737
Joint7 X:-0.185798, Y:-0.375211, Z:1.383267
Joint8 X:0.160041, Y:0.014241, Z:1.328062
Joint9 X:0.269835, Y:-0.161780, Z:1.296937
Joint10 X:0.190601, Y:-0.313068, Z:1.344389
Joint11 X:0.149876, Y:-0.346949, Z:1.355302
Joint12 X:-0.118048, Y:-0.482416, Z:1.339789
Joint13 X:-0.114237, Y:-0.876523, Z:1.266567
Joint14 X:-0.112930, Y:-1.254653, Z:1.223682
Joint15 X:-0.116373, Y:-1.270267, Z:1.095070
Joint16 X:0.071836, Y:-0.477539, Z:1.333233
Joint17 X:0.055987, Y:-0.870328, Z:1.244990
Joint18 X:0.042522, Y:-1.246996, Z:1.187787
Joint19 X:0.034332, Y:-1.259681, Z:1.058558
Joint20 X:-0.011536, Y:0.039374, Z:1.385133
Joint21 X:-0.224541, Y:-0.463504, Z:1.429253
Joint22 X:-0.147796, Y:-0.389363, Z:1.304740
Joint23 X:0.168018, Y:-0.433007, Z:1.395042
Joint24 X:0.112162, Y:-0.357450, Z:1.267521
Joint0 X:-0.025915, Y:-0.490708, Z:1.366382
Joint1 X:-0.017239, Y:-0.183581, Z:1.383714
Joint2 X:-0.009164, Y:0.112838, Z:1.382826
Joint3 X:-0.020112, Y:0.254934, Z:1.349587
Joint4 X:-0.192315, Y:0.013781, Z:1.345492
Joint5 X:-0.296574, Y:-0.178044, Z:1.296579
Joint6 X:-0.214172, Y:-0.313477, Z:1.371369
