Joint0 X:-0.033803, Y:-0.523187, Z:1.270177
Joint1 X:-0.041508, Y:-0.238276, Z:1.305156
Joint2 X:-0.045968, Y:0.039472, Z:1.319471
Joint3 X:-0.071876, Y:0.196221, Z:1.288998
Joint4 X:-0.226902, Y:-0.069341, Z:1.327147
Joint5 X:-0.290125, Y:-0.331348, Z:1.356556
Joint6 X:-0.366491, Y:-0.523376, Z:1.235436
Joint7 X:-0.379188, Y:-0.589394, Z:1.194572
Joint8 X:0.131258, Y:-0.052990, Z:1.319539
Joint9 X:0.235567, Y:-0.290297, Z:1.346106
Joint10 X:0.336137, Y:-0.496987, Z:1.257614
Joint11 X:0.373035, Y:-0.549394, Z:1.201242
Joint12 X:-0.113353, Y:-0.514468, Z:1.242075
Joint13 X:-0.220993, Y:-0.874316, Z:1.209332
Joint14 X:-0.320191, Y:-1.208422, Z:1.202465
Joint15 X:-0.335337, Y:-1.227444, Z:1.081202
Joint16 X:0.047042, Y:-0.507373, Z:1.238397
Joint17 X:0.227745, Y:-0.825829, Z:1.288872
Joint18 X:0.391709, Y:-1.122980, Z:1.358320
Joint19 X:0.423358, Y:-1.160199, Z:1.249209
Joint20 X:-0.044658, Y:-0.028159, Z:1.318300
Joint21 X:-0.396039, Y:-0.644867, Z:1.169426
Joint22 X:-0.408294, Y:-0.589600, Z:1.152652
Joint23 X:0.398502, Y:-0.615773, Z:1.192656
Joint24 X:0.363542, Y:-0.598507, Z:1.251800
Joint0 X:-0.041007, Y:-0.522416, Z:1.270925
Joint1 X:-0.044280, Y:-0.237307, Z:1.306666
Joint2 X:-0.047648, Y:0.039384, Z:1.325978
Joint3 X:-0.074593, Y:0.197341, Z:1.300110
Joint4 X:-0.232843, Y:-0.070995, Z:1.336207
Joint5 X:-0.249457, Y:-0.331334, Z:1.305125
Joint6 X:-0.231815, Y:-0.540689, Z:1.221388
Joint7 X:-0.224842, Y:-0.605042, Z:1.194491
Joint8 X:0.131972, Y:-0.048356, Z:1.312620
Joint9 X:0.165336, Y:-0.319709, Z:1.321141
Joint10 X:0.164977, Y:-0.542875, Z:1.243894
Joint11 X:0.153399, Y:-0.611442, Z:1.214646
Joint12 X:-0.119900, Y:-0.513371, Z:1.244657
Joint13 X:-0.366736, Y:-0.799687, Z:1.201851
Joint14 X:-0.591968, Y:-1.067637, Z:1.185418
Joint15 X:-0.623900, Y:-1.070437, Z:1.065073
Joint16 X:0.039702, Y:-0.506681, Z:1.237308
Joint17 X:0.271945, Y:-0.800752, Z:1.254621
Joint18 X:0.482557, Y:-1.076004, Z:1.293496
Joint19 X:0.513710, Y:-1.099808, Z:1.177584
Joint20 X:-0.046797, Y:-0.028237, Z:1.323379
Joint21 X:-0.230242, Y:-0.652231, Z:1.157456
Joint22 X:-0.269491, Y:-0.611341, Z:1.173632
Joint23 X:0.151712, Y:-0.673722, Z:1.202009
Joint24 X:0.115827, Y:-0.609914, Z:1.179212
Joint0 X:-0.045664, Y:-0.528321, Z:1.299141
Joint1 X:-0.056571, Y:-0.239865, Z:1.329305
Joint2 X:-0.068894, Y:0.042981, Z:1.337643
