Joint0 X:0.003499, Y:-0.525174, Z:1.346975
Joint1 X:-0.013450, Y:-0.217407, Z:1.389671
Joint2 X:-0.029628, Y:0.079320, Z:1.415105
Joint3 X:-0.028630, Y:0.206292, Z:1.431098
Joint4 X:-0.210180, Y:-0.061065, Z:1.417448
Joint5 X:-0.326839, Y:-0.277231, Z:1.432011
Joint6 X:-0.209704, Y:-0.445226, Z:1.434794
Joint7 X:-0.196586, Y:-0.477248, Z:1.423564
Joint8 X:0.176177, Y:-0.045613, Z:1.421215
Joint9 X:0.326260, Y:-0.245315, Z:1.459516
Joint10 X:0.232479, Y:-0.422568, Z:1.404902
Joint11 X:0.198250, Y:-0.439575, Z:1.355635
Joint12 X:-0.081169, Y:-0.515767, Z:1.315588
Joint13 X:-0.209884, Y:-0.832134, Z:1.286481
Joint14 X:-0.329304, Y:-1.131679, Z:1.284874
Joint15 X:-0.346733, Y:-1.148514, Z:1.163932
Joint16 X:0.088056, Y:-0.508818, Z:1.312367
Joint17 X:0.126048, Y:-0.832796, Z:1.163829
Joint18 X:0.162362, Y:-1.138297, Z:1.050377
Joint19 X:0.163651, Y:-1.133183, Z:0.923152
Joint20 X:-0.025733, Y:0.006684, Z:1.411338
Joint21 X:-0.191857, Y:-0.525076, Z:1.392744
Joint22 X:-0.180325, Y:-0.439913, Z:1.375355
Joint23 X:0.201525, Y:-0.506771, Z:1.329958
Joint24 X:0.179059, Y:-0.419049, Z:1.306011
Joint0 X:0.003334, Y:-0.524852, Z:1.348750
Joint1 X:-0.012614, Y:-0.216857, Z:1.390668
Joint2 X:-0.026992, Y:0.079879, Z:1.415519
Joint3 X:-0.028612, Y:0.206643, Z:1.432302
Joint4 X:-0.210449, Y:-0.060579, Z:1.420217
Joint5 X:-0.327914, Y:-0.273653, Z:1.435985
Joint6 X:-0.211120, Y:-0.442286, Z:1.433519
Joint7 X:-0.197803, Y:-0.475455, Z:1.418378
Joint8 X:0.175944, Y:-0.045634, Z:1.421223
Joint9 X:0.328026, Y:-0.244595, Z:1.459176
Joint10 X:0.229786, Y:-0.417348, Z:1.396613
Joint11 X:0.207884, Y:-0.401780, Z:1.387494
Joint12 X:-0.081729, Y:-0.515377, Z:1.318291
Joint13 X:-0.208579, Y:-0.832900, Z:1.277187
Joint14 X:-0.326290, Y:-1.133401, Z:1.264371
Joint15 X:-0.342757, Y:-1.147275, Z:1.142145
Joint16 X:0.088197, Y:-0.508594, Z:1.313313
Joint17 X:0.022540, Y:-0.829717, Z:1.166394
Joint18 X:-0.036091, Y:-1.132557, Z:1.054290
Joint19 X:-0.043335, Y:-1.127275, Z:0.926848
Joint20 X:-0.023661, Y:0.007278, Z:1.411935
Joint21 X:-0.196282, Y:-0.516564, Z:1.393835
Joint22 X:-0.181870, Y:-0.476251, Z:1.370250
Joint23 X:0.209446, Y:-0.469331, Z:1.357089
Joint24 X:0.233746, Y:-0.451593, Z:1.450916
Joint0 X:0.001184, Y:-0.525174, Z:1.350793
Joint1 X:-0.012718, Y:-0.216915, Z:1.390937
Joint2 X:-0.025045, Y:0.079877, Z:1.413614
Joint3 X:-0.026759, Y:0.205848, Z:1.431670
Joint4 X:-0.210354, Y:-0.060376, Z:1.421010
Joint5 X:-0.332722, Y:-0.267175, Z:1.436909
Joint6 X:-0.219312, Y:-0.437931, Z:1.437045
Joint7 X:-0.205718, Y:-0.473327, Z:1.425614
Joint8 X:0.176202, Y:-0.045880, Z:1.421726
Joint9 X:0.329274, Y:-0.244381, Z:1.459747
Joint10 X:0.230235, Y:-0.416574, Z:1.396770
Joint11 X:0.208005, Y:-0.401659, Z:1.390963
Joint12 X:-0.083896, Y:-0.515279, Z:1.319931
Joint13 X:-0.217948, Y:-0.829730, Z:1.285763
Joint14 X:-0.342306, Y:-1.127460, Z:1.279423
Joint15 X:-0.360201, Y:-1.142668, Z:1.157794
Joint16 X:0.086203, Y:-0.509379, Z:1.315660
Joint17 X:0.070737, Y:-0.829693, Z:1.149944
Joint18 X:0.058019, Y:-1.131706, Z:1.020282
Joint19 X:0.054674, Y:-1.124370, Z:0.892572
Joint20 X:-0.022353, Y:0.007268, Z:1.410742
Joint21 X:-0.201144, Y:-0.518782, Z:1.396419
Joint22 X:-0.183899, Y:-0.437523, Z:1.381167
Joint23 X:0.207558, Y:-0.472927, Z:1.356832
Joint24 X:0.234298, Y:-0.450082, Z:1.449186
Joint0 X:0.000666, Y:-0.525228, Z:1.351787
Joint1 X:-0.010025, Y:-0.217895, Z:1.392267
Joint2 X:-0.018221, Y:0.077583, Z:1.415336
Joint3 X:-0.020592, Y:0.203724, Z:1.430055
Joint4 X:-0.209879, Y:-0.059844, Z:1.421853
Joint5 X:-0.334841, Y:-0.262909, Z:1.435923
Joint6 X:-0.220717, Y:-0.433442, Z:1.433115
Joint7 X:-0.200053, Y:-0.473582, Z:1.404076
Joint8 X:0.177118, Y:-0.046683, Z:1.422547
Joint9 X:0.328947, Y:-0.249273, Z:1.460054
Joint10 X:0.232123, Y:-0.421520, Z:1.393483
Joint11 X:0.210321, Y:-0.407499, Z:1.385772
Joint12 X:-0.084460, Y:-0.514993, Z:1.320554
Joint13 X:-0.053061, Y:-0.830182, Z:1.144714
Joint14 X:-0.025690, Y:-1.127521, Z:1.005481
Joint15 X:-0.022492, Y:-1.118315, Z:0.877548
Joint16 X:0.085783, Y:-0.509820, Z:1.317084
Joint17 X:0.120276, Y:-0.830088, Z:1.156250
Joint18 X:0.153328, Y:-1.132117, Z:1.031235
Joint19 X:0.153560, Y:-1.125442, Z:0.903539
Joint20 X:-0.016401, Y:0.005294, Z:1.412287
Joint21 X:-0.199746, Y:-0.516944, Z:1.372579
Joint22 X:-0.170819, Y:-0.434808, Z:1.343932
Joint23 X:0.197188, Y:-0.478984, Z:1.337783
Joint24 X:0.233396, Y:-0.448957, Z:1.445939
Joint0 X:0.000063, Y:-0.525219, Z:1.353380
Joint1 X:-0.008193, Y:-0.217965, Z:1.393825
Joint2 X:-0.013905, Y:0.077727, Z:1.417018
Joint3 X:-0.015545, Y:0.203724, Z:1.430795
Joint4 X:-0.209161, Y:-0.059267, Z:1.422566
Joint5 X:-0.334175, Y:-0.261709, Z:1.436885
Joint6 X:-0.221570, Y:-0.433158, Z:1.435115
Joint7 X:-0.197507, Y:-0.469389, Z:1.412889
Joint8 X:0.180254, Y:-0.048743, Z:1.425361
Joint9 X:0.330909, Y:-0.250729, Z:1.459685
Joint10 X:0.236379, Y:-0.425830, Z:1.398510
Joint11 X:0.195230, Y:-0.446691, Z:1.348819
Joint12 X:-0.085196, Y:-0.514643, Z:1.321929
Joint13 X:-0.077334, Y:-0.833441, Z:1.152080
Joint14 X:-0.071554, Y:-1.134132, Z:1.018529
Joint15 X:-0.069226, Y:-1.126060, Z:0.890577
Joint16 X:0.085333, Y:-0.510198, Z:1.318862
Joint17 X:0.027601, Y:-0.832022, Z:1.169919
Joint18 X:-0.023832, Y:-1.135521, Z:1.055936
Joint19 X:-0.029694, Y:-1.130421, Z:0.928181
Joint20 X:-0.012682, Y:0.005368, Z:1.413906
Joint21 X:-0.193900, Y:-0.512125, Z:1.383061
Joint22 X:-0.170073, Y:-0.435177, Z:1.341699
Joint23 X:0.196584, Y:-0.516679, Z:1.324180
Joint24 X:0.206004, Y:-0.496107, Z:1.348970
Joint0 X:-0.000116, Y:-0.525289, Z:1.354959
Joint1 X:-0.006111, Y:-0.218247, Z:1.395728
Joint2 X:-0.010009, Y:0.077380, Z:1.418957
Joint3 X:-0.011426, Y:0.203400, Z:1.431795
Joint4 X:-0.208088, Y:-0.058637, Z:1.423570
Joint5 X:-0.331049, Y:-0.260934, Z:1.437358
Joint6 X:-0.221384, Y:-0.434114, Z:1.436915
Joint7 X:-0.200133, Y:-0.470270, Z:1.425944
Joint8 X:0.180320, Y:-0.048793, Z:1.424548
Joint9 X:0.332630, Y:-0.253813, Z:1.460090
Joint10 X:0.233741, Y:-0.425392, Z:1.395062
Joint11 X:0.215386, Y:-0.405687, Z:1.391575
Joint12 X:-0.085559, Y:-0.514390, Z:1.323499
Joint13 X:-0.074913, Y:-0.833485, Z:1.154530
Joint14 X:-0.066586, Y:-1.134448, Z:1.021799
Joint15 X:-0.064466, Y:-1.126516, Z:0.893707
Joint16 X:0.085339, Y:-0.510584, Z:1.320396
Joint17 X:0.122049, Y:-0.829459, Z:1.156436
Joint18 X:0.157118, Y:-1.130202, Z:1.028476
Joint19 X:0.157715, Y:-1.122984, Z:0.900516
Joint20 X:-0.009163, Y:0.005036, Z:1.415810
Joint21 X:-0.195999, Y:-0.512661, Z:1.391334
Joint22 X:-0.179094, Y:-0.436449, Z:1.382616
Joint23 X:0.200953, Y:-0.475617, Z:1.338516
Joint24 X:0.235848, Y:-0.450642, Z:1.442333
Joint0 X:0.000406, Y:-0.525312, Z:1.355557
Joint1 X:-0.005160, Y:-0.218170, Z:1.396342
Joint2 X:-0.009161, Y:0.077688, Z:1.419513
Joint3 X:-0.010801, Y:0.203393, Z:1.432039
Joint4 X:-0.207724, Y:-0.058541, Z:1.424086
Joint5 X:-0.329016, Y:-0.261845, Z:1.437373
Joint6 X:-0.221726, Y:-0.436269, Z:1.439132
Joint7 X:-0.198913, Y:-0.471663, Z:1.423971
Joint8 X:0.180370, Y:-0.048811, Z:1.424159
Joint9 X:0.332941, Y:-0.255234, Z:1.460683
Joint10 X:0.238065, Y:-0.429100, Z:1.396062
Joint11 X:0.198138, Y:-0.441885, Z:1.350652
Joint12 X:-0.085002, Y:-0.514419, Z:1.324430
Joint13 X:-0.054578, Y:-0.828864, Z:1.146508
Joint14 X:-0.028100, Y:-1.125496, Z:1.005312
Joint15 X:-0.024935, Y:-1.116012, Z:0.877024
Joint16 X:0.085826, Y:-0.510589, Z:1.320665
Joint17 X:0.039874, Y:-0.822209, Z:1.139771
Joint18 X:-0.000820, Y:-1.116155, Z:0.995746
Joint19 X:-0.005949, Y:-1.105972, Z:0.867462
Joint20 X:-0.008274, Y:0.005281, Z:1.416367
Joint21 X:-0.197213, Y:-0.515478, Z:1.393019
Joint22 X:-0.184007, Y:-0.461289, Z:1.382375
Joint23 X:0.197703, Y:-0.508148, Z:1.320505
Joint24 X:0.211616, Y:-0.490645, Z:1.358603
Joint0 X:0.000581, Y:-0.525234, Z:1.355586
Joint1 X:-0.004542, Y:-0.217843, Z:1.396872
Joint2 X:-0.008430, Y:0.078468, Z:1.420846
Joint3 X:-0.010624, Y:0.203798, Z:1.433803
Joint4 X:-0.207438, Y:-0.058431, Z:1.424588
Joint5 X:-0.327115, Y:-0.264123, Z:1.437396
Joint6 X:-0.218123, Y:-0.437277, Z:1.441705
Joint7 X:-0.197704, Y:-0.467679, Z:1.424114
Joint8 X:0.180328, Y:-0.048830, Z:1.423563
Joint9 X:0.334340, Y:-0.254691, Z:1.460829
Joint10 X:0.238758, Y:-0.428308, Z:1.396585
Joint11 X:0.198769, Y:-0.442803, Z:1.350992
Joint12 X:-0.084843, Y:-0.514376, Z:1.324594
Joint13 X:-0.075649, Y:-0.834526, Z:1.158314
Joint14 X:-0.068645, Y:-1.136472, Z:1.028115
Joint15 X:-0.067112, Y:-1.128937, Z:0.899853
Joint16 X:0.086041, Y:-0.510461, Z:1.320526
Joint17 X:0.025374, Y:-0.818631, Z:1.136989
Joint18 X:-0.028811, Y:-1.109386, Z:0.990433
Joint19 X:-0.035078, Y:-1.098417, Z:0.862042
Joint20 X:-0.007541, Y:0.005933, Z:1.417454
Joint21 X:-0.195859, Y:-0.507337, Z:1.395811
Joint22 X:-0.180621, Y:-0.442471, Z:1.385741
Joint23 X:0.197261, Y:-0.508617, Z:1.319948
