Joint0 X:-0.014359, Y:-0.423611, Z:1.316168
Joint1 X:-0.027218, Y:-0.078413, Z:1.344223
Joint2 X:-0.039199, Y:0.250586, Z:1.352966
Joint3 X:-0.060236, Y:0.359059, Z:1.395354
Joint4 X:-0.119499, Y:0.072190, Z:1.224917
Joint5 X:-0.177977, Y:-0.208995, Z:1.212501
Joint6 X:-0.201583, Y:-0.411730, Z:1.233443
Joint7 X:-0.192254, Y:-0.446338, Z:1.233795
Joint8 X:0.011493, Y:0.124315, Z:1.546198
Joint9 X:0.169805, Y:-0.094635, Z:1.435780
Joint10 X:0.190898, Y:-0.317891, Z:1.439216
Joint11 X:0.183361, Y:-0.315478, Z:1.445541
Joint12 X:-0.044757, Y:-0.411221, Z:1.270579
Joint13 X:-0.060280, Y:-0.643455, Z:1.236625
Joint14 X:-0.085804, Y:-1.015106, Z:1.234878
Joint15 X:-0.010390, Y:-1.034515, Z:1.177517
Joint16 X:0.016454, Y:-0.412037, Z:1.287294
Joint17 X:0.066479, Y:-0.649585, Z:1.270698
Joint18 X:0.138149, Y:-1.001971, Z:1.293596
Joint19 X:0.215884, Y:-1.009348, Z:1.239257
Joint20 X:-0.036326, Y:0.170606, Z:1.353419
Joint21 X:-0.184918, Y:-0.527305, Z:1.235117
Joint22 X:-0.228256, Y:-0.455710, Z:1.237038
Joint23 X:0.204698, Y:-0.316121, Z:1.492617
Joint24 X:0.170020, Y:-0.312110, Z:1.398600
Joint0 X:-0.013516, Y:-0.424427, Z:1.317173
Joint1 X:-0.026921, Y:-0.078551, Z:1.344155
Joint2 X:-0.038921, Y:0.250858, Z:1.352331
Joint3 X:-0.057828, Y:0.359661, Z:1.393761
Joint4 X:-0.120108, Y:0.072737, Z:1.225083
Joint5 X:-0.185321, Y:-0.205730, Z:1.220185
Joint6 X:-0.206141, Y:-0.407717, Z:1.246959
Joint7 X:-0.201869, Y:-0.466049, Z:1.265514
Joint8 X:0.011771, Y:0.124582, Z:1.545564
Joint9 X:0.171053, Y:-0.092837, Z:1.433305
Joint10 X:0.195125, Y:-0.320905, Z:1.433419
Joint11 X:0.185087, Y:-0.336873, Z:1.428620
Joint12 X:-0.044644, Y:-0.412604, Z:1.269544
Joint13 X:-0.060462, Y:-0.643176, Z:1.236455
Joint14 X:-0.086710, Y:-1.016231, Z:1.236146
Joint15 X:-0.011404, Y:-1.035841, Z:1.178717
Joint16 X:0.018979, Y:-0.413404, Z:1.294253
Joint17 X:0.066929, Y:-0.649786, Z:1.270615
Joint18 X:0.136790, Y:-1.005818, Z:1.283615
Joint19 X:0.214149, Y:-1.013022, Z:1.228134
Joint20 X:-0.036077, Y:0.170759, Z:1.352953
Joint21 X:-0.180022, Y:-0.541568, Z:1.275849
Joint22 X:-0.233002, Y:-0.467903, Z:1.266857
Joint23 X:0.184958, Y:-0.374380, Z:1.436240
Joint24 X:0.159347, Y:-0.319774, Z:1.335621
Joint0 X:-0.008458, Y:-0.424892, Z:1.327626
Joint1 X:-0.023556, Y:-0.078780, Z:1.348169
Joint2 X:-0.037317, Y:0.251061, Z:1.351952
Joint3 X:-0.053108, Y:0.360326, Z:1.392984
Joint4 X:-0.122550, Y:0.073064, Z:1.229201
Joint5 X:-0.192244, Y:-0.186498, Z:1.231925
Joint6 X:-0.204338, Y:-0.385939, Z:1.273396
Joint7 X:-0.203668, Y:-0.450483, Z:1.290478
Joint8 X:0.013360, Y:0.124781, Z:1.545185
Joint9 X:0.168234, Y:-0.095893, Z:1.433106
Joint10 X:0.200431, Y:-0.316749, Z:1.425592
Joint11 X:0.193790, Y:-0.367493, Z:1.427607
Joint12 X:-0.041667, Y:-0.414591, Z:1.278184
Joint13 X:-0.058387, Y:-0.642821, Z:1.240867
Joint14 X:-0.086365, Y:-1.018469, Z:1.233904
Joint15 X:-0.011810, Y:-1.037816, Z:1.174463
Joint16 X:0.025342, Y:-0.412508, Z:1.306641
Joint17 X:0.066971, Y:-0.649939, Z:1.271986
Joint18 X:0.128317, Y:-1.009488, Z:1.268792
Joint19 X:0.204629, Y:-1.017025, Z:1.210642
Joint20 X:-0.034191, Y:0.170883, Z:1.353355
Joint21 X:-0.188241, Y:-0.526225, Z:1.296422
Joint22 X:-0.215468, Y:-0.452786, Z:1.304091
Joint23 X:0.198423, Y:-0.444523, Z:1.416579
Joint24 X:0.174237, Y:-0.402375, Z:1.373667
Joint0 X:0.000129, Y:-0.421762, Z:1.334654
Joint1 X:-0.011848, Y:-0.080672, Z:1.355752
Joint2 X:-0.020564, Y:0.244278, Z:1.360161
Joint3 X:-0.023188, Y:0.360675, Z:1.383812
Joint4 X:-0.152352, Y:0.091950, Z:1.271237
Joint5 X:-0.283981, Y:-0.074218, Z:1.209869
Joint6 X:-0.171016, Y:-0.248712, Z:1.230795
Joint7 X:-0.120640, Y:-0.298823, Z:1.216318
Joint8 X:0.155527, Y:0.092091, Z:1.337872
Joint9 X:0.305247, Y:-0.093580, Z:1.369891
Joint10 X:0.253106, Y:-0.292002, Z:1.415406
Joint11 X:0.234650, Y:-0.369655, Z:1.402989
Joint12 X:-0.080228, Y:-0.412013, Z:1.283516
Joint13 X:-0.064827, Y:-0.642822, Z:1.262116
Joint14 X:-0.044305, Y:-1.014347, Z:1.280045
Joint15 X:-0.022175, Y:-1.033366, Z:1.174975
Joint16 X:0.077956, Y:-0.412722, Z:1.308850
Joint17 X:0.071061, Y:-0.650398, Z:1.279100
Joint18 X:0.063727, Y:-1.017734, Z:1.283385
Joint19 X:0.079700, Y:-1.035487, Z:1.176732
Joint20 X:-0.018625, Y:0.165249, Z:1.361506
Joint21 X:-0.083279, Y:-0.343997, Z:1.200926
Joint22 X:-0.153096, Y:-0.352466, Z:1.230583
Joint23 X:0.223954, Y:-0.432448, Z:1.392544
Joint24 X:0.169245, Y:-0.357675, Z:1.334870
Joint0 X:-0.001735, Y:-0.425746, Z:1.344605
Joint1 X:-0.009788, Y:-0.086297, Z:1.365460
Joint2 X:-0.016949, Y:0.237605, Z:1.368526
Joint3 X:-0.018854, Y:0.349119, Z:1.388012
Joint4 X:-0.160765, Y:0.089620, Z:1.297353
Joint5 X:-0.302957, Y:-0.049010, Z:1.209079
Joint6 X:-0.157488, Y:-0.188471, Z:1.260250
Joint7 X:-0.106646, Y:-0.206838, Z:1.260737
Joint8 X:0.159497, Y:0.089968, Z:1.342825
Joint9 X:0.315401, Y:-0.057580, Z:1.323531
Joint10 X:0.231868, Y:-0.250243, Z:1.311671
Joint11 X:0.177839, Y:-0.309932, Z:1.289183
Joint12 X:-0.085705, Y:-0.415796, Z:1.302686
Joint13 X:-0.067014, Y:-0.643708, Z:1.273832
Joint14 X:-0.041000, Y:-1.019194, Z:1.280356
Joint15 X:-0.024616, Y:-1.036222, Z:1.172986
Joint16 X:0.080831, Y:-0.414312, Z:1.315861
Joint17 X:0.074083, Y:-0.648567, Z:1.285105
Joint18 X:0.066900, Y:-1.019452, Z:1.288143
Joint19 X:0.076697, Y:-1.036971, Z:1.180214
Joint20 X:-0.015246, Y:0.158830, Z:1.370292
Joint21 X:-0.065015, Y:-0.250393, Z:1.241243
Joint22 X:-0.172009, Y:-0.260234, Z:1.300700
Joint23 X:0.151405, Y:-0.389685, Z:1.283499
Joint24 X:0.131672, Y:-0.259813, Z:1.274625
Joint0 X:-0.001835, Y:-0.422405, Z:1.357875
Joint1 X:-0.008266, Y:-0.089635, Z:1.376866
Joint2 X:-0.013910, Y:0.227132, Z:1.379392
Joint3 X:-0.017034, Y:0.345535, Z:1.389836
Joint4 X:-0.173386, Y:0.086744, Z:1.346183
Joint5 X:-0.303484, Y:-0.060008, Z:1.251967
Joint6 X:-0.145406, Y:-0.177387, Z:1.316036
Joint7 X:-0.092742, Y:-0.185668, Z:1.295174
Joint8 X:0.162034, Y:0.090904, Z:1.356125
Joint9 X:0.293660, Y:-0.073598, Z:1.343603
Joint10 X:0.192547, Y:-0.248932, Z:1.276237
Joint11 X:0.114265, Y:-0.291213, Z:1.284775
Joint12 X:-0.086084, Y:-0.412866, Z:1.321275
Joint13 X:-0.065779, Y:-0.642227, Z:1.281822
Joint14 X:-0.037318, Y:-1.017509, Z:1.271311
Joint15 X:-0.030604, Y:-1.032058, Z:1.161527
Joint16 X:0.082107, Y:-0.410415, Z:1.324357
Joint17 X:0.076153, Y:-0.647971, Z:1.289333
Joint18 X:0.070298, Y:-1.016376, Z:1.285664
Joint19 X:0.070484, Y:-1.032634, Z:1.176278
Joint20 X:-0.012656, Y:0.150193, Z:1.381301
Joint21 X:-0.037112, Y:-0.201955, Z:1.277573
Joint22 X:-0.154686, Y:-0.232473, Z:1.305300
Joint23 X:0.082521, Y:-0.349558, Z:1.240705
Joint24 X:0.078741, Y:-0.223556, Z:1.261144
Joint0 X:-0.002453, Y:-0.420049, Z:1.365042
Joint1 X:-0.007231, Y:-0.093110, Z:1.384447
Joint2 X:-0.011313, Y:0.218208, Z:1.386732
