Joint0 X:-0.012174, Y:-0.452540, Z:1.370392
Joint1 X:0.008628, Y:-0.238802, Z:1.355663
Joint2 X:0.028311, Y:-0.029795, Z:1.329613
Joint3 X:-0.021872, Y:0.098917, Z:1.364739
Joint4 X:-0.185646, Y:-0.100253, Z:1.419527
Joint5 X:-0.258226, Y:-0.296974, Z:1.431567
Joint6 X:-0.218607, Y:-0.493484, Z:1.484143
Joint7 X:-0.205921, Y:-0.559500, Z:1.504458
Joint8 X:0.141066, Y:-0.104950, Z:1.385248
Joint9 X:0.237082, Y:-0.288428, Z:1.444045
Joint10 X:0.200134, Y:-0.491349, Z:1.473505
Joint11 X:0.188289, Y:-0.559487, Z:1.486119
Joint12 X:-0.075248, Y:-0.445642, Z:1.349284
Joint13 X:-0.121158, Y:-0.767054, Z:1.253709
Joint14 X:-0.164202, Y:-1.067334, Z:1.183943
Joint15 X:-0.175592, Y:-1.083149, Z:1.073698
Joint16 X:0.051407, Y:-0.442655, Z:1.340723
Joint17 X:0.099622, Y:-0.766145, Z:1.258747
Joint18 X:0.144469, Y:-1.068347, Z:1.201675
Joint19 X:0.138487, Y:-1.087127, Z:1.091358
Joint20 X:0.023520, Y:-0.081375, Z:1.338045
Joint21 X:-0.207830, Y:-0.559323, Z:1.504000
Joint22 X:-0.205263, Y:-0.553967, Z:1.487913
Joint23 X:0.154352, Y:-0.608778, Z:1.467957
Joint24 X:0.160388, Y:-0.520899, Z:1.458055
Joint0 X:-0.011964, Y:-0.452757, Z:1.371414
Joint1 X:0.008506, Y:-0.239052, Z:1.356071
Joint2 X:0.028017, Y:-0.030160, Z:1.329587
Joint3 X:-0.021781, Y:0.098910, Z:1.364661
Joint4 X:-0.185682, Y:-0.100451, Z:1.419314
Joint5 X:-0.259882, Y:-0.296780, Z:1.429656
Joint6 X:-0.194840, Y:-0.495805, Z:1.401203
Joint7 X:-0.207696, Y:-0.534068, Z:1.400711
Joint8 X:0.141072, Y:-0.104970, Z:1.385189
Joint9 X:0.237029, Y:-0.288554, Z:1.443820
Joint10 X:0.199028, Y:-0.492012, Z:1.469371
Joint11 X:0.186832, Y:-0.560331, Z:1.480680
Joint12 X:-0.075107, Y:-0.445862, Z:1.350222
Joint13 X:-0.120951, Y:-0.767133, Z:1.253876
Joint14 X:-0.163932, Y:-1.067284, Z:1.183389
Joint15 X:-0.175251, Y:-1.083148, Z:1.073156
Joint16 X:0.051648, Y:-0.442890, Z:1.341874
Joint17 X:0.099573, Y:-0.766196, Z:1.258384
Joint18 X:0.144156, Y:-1.068225, Z:1.199901
Joint19 X:0.138149, Y:-1.086917, Z:1.089567
Joint20 X:0.023276, Y:-0.081710, Z:1.338148
Joint21 X:-0.204594, Y:-0.548028, Z:1.382590
Joint22 X:-0.194372, Y:-0.514890, Z:1.338429
Joint23 X:0.152844, Y:-0.608870, Z:1.461225
Joint24 X:0.159800, Y:-0.521237, Z:1.456227
Joint0 X:-0.013195, Y:-0.453177, Z:1.371981
Joint1 X:0.007470, Y:-0.239727, Z:1.356107
Joint2 X:0.027422, Y:-0.031147, Z:1.329326
Joint3 X:-0.021388, Y:0.098804, Z:1.364118
Joint4 X:-0.186197, Y:-0.101205, Z:1.418702
Joint5 X:-0.264592, Y:-0.296313, Z:1.425233
Joint6 X:-0.199054, Y:-0.495909, Z:1.424401
Joint7 X:-0.214546, Y:-0.532424, Z:1.403561
Joint8 X:0.141124, Y:-0.105026, Z:1.385011
Joint9 X:0.236985, Y:-0.288614, Z:1.443791
Joint10 X:0.206668, Y:-0.491203, Z:1.479731
Joint11 X:0.197033, Y:-0.559228, Z:1.494508
Joint12 X:-0.076209, Y:-0.446152, Z:1.350979
Joint13 X:-0.120926, Y:-0.767469, Z:1.254085
Joint14 X:-0.162888, Y:-1.067663, Z:1.183085
Joint15 X:-0.173965, Y:-1.083591, Z:1.072851
Joint16 X:0.050289, Y:-0.443469, Z:1.342274
Joint17 X:0.100239, Y:-0.766394, Z:1.258339
Joint18 X:0.146659, Y:-1.068081, Z:1.199438
Joint19 X:0.140946, Y:-1.086789, Z:1.089111
Joint20 X:0.022490, Y:-0.082614, Z:1.337937
Joint21 X:-0.213647, Y:-0.544003, Z:1.393001
Joint22 X:-0.207246, Y:-0.529044, Z:1.367333
Joint23 X:0.161726, Y:-0.608997, Z:1.475834
Joint24 X:0.167587, Y:-0.521122, Z:1.467231
Joint0 X:-0.014422, Y:-0.453329, Z:1.371832
Joint1 X:0.007238, Y:-0.239544, Z:1.355941
Joint2 X:0.028141, Y:-0.030053, Z:1.328838
Joint3 X:-0.021116, Y:0.099131, Z:1.364022
Joint4 X:-0.186678, Y:-0.101781, Z:1.418013
Joint5 X:-0.266060, Y:-0.296478, Z:1.424512
Joint6 X:-0.193438, Y:-0.493498, Z:1.427408
Joint7 X:-0.169765, Y:-0.559701, Z:1.431137
Joint8 X:0.141175, Y:-0.105011, Z:1.384790
Joint9 X:0.236891, Y:-0.288690, Z:1.443765
Joint10 X:0.200008, Y:-0.491475, Z:1.473968
Joint11 X:0.188185, Y:-0.559568, Z:1.486829
Joint12 X:-0.077487, Y:-0.446183, Z:1.350930
Joint13 X:-0.120637, Y:-0.767729, Z:1.254130
Joint14 X:-0.161181, Y:-1.068133, Z:1.183217
Joint15 X:-0.171994, Y:-1.084137, Z:1.072984
Joint16 X:0.049159, Y:-0.443708, Z:1.341980
Joint17 X:0.100874, Y:-0.766434, Z:1.258561
Joint18 X:0.148896, Y:-1.067944, Z:1.200141
Joint19 X:0.143481, Y:-1.086733, Z:1.089842
Joint20 X:0.022984, Y:-0.081777, Z:1.337538
Joint21 X:-0.167278, Y:-0.562738, Z:1.417693
Joint22 X:-0.166742, Y:-0.551010, Z:1.410150
Joint23 X:0.154195, Y:-0.608119, Z:1.467371
Joint24 X:0.161867, Y:-0.521326, Z:1.460915
Joint0 X:-0.013822, Y:-0.453184, Z:1.371755
Joint1 X:0.008377, Y:-0.239133, Z:1.356044
Joint2 X:0.029801, Y:-0.029677, Z:1.329116
Joint3 X:-0.021029, Y:0.099541, Z:1.364229
Joint4 X:-0.186424, Y:-0.101706, Z:1.417442
Joint5 X:-0.265029, Y:-0.296553, Z:1.425456
Joint6 X:-0.185869, Y:-0.491425, Z:1.421926
Joint7 X:-0.213896, Y:-0.504233, Z:1.419088
Joint8 X:0.141399, Y:-0.104953, Z:1.384729
Joint9 X:0.236781, Y:-0.288981, Z:1.443613
Joint10 X:0.199460, Y:-0.491885, Z:1.472810
