Joint0 X:-0.009911, Y:-0.549167, Z:1.379595
Joint1 X:-0.020917, Y:-0.244131, Z:1.411855
Joint2 X:-0.031546, Y:0.050554, Z:1.427409
Joint3 X:-0.033525, Y:0.181759, Z:1.413183
Joint4 X:-0.222133, Y:-0.045258, Z:1.469388
Joint5 X:-0.256161, Y:-0.308009, Z:1.448758
Joint6 X:-0.300600, Y:-0.517464, Z:1.502178
Joint7 X:-0.230568, Y:-0.552397, Z:1.446703
Joint8 X:0.170646, Y:-0.044738, Z:1.437852
Joint9 X:0.199031, Y:-0.306865, Z:1.381601
Joint10 X:0.221757, Y:-0.523998, Z:1.420623
Joint11 X:0.210290, Y:-0.601562, Z:1.428837
Joint12 X:-0.099778, Y:-0.540798, Z:1.354213
Joint13 X:-0.162876, Y:-0.931114, Z:1.247613
Joint14 X:-0.215635, Y:-1.256348, Z:1.180938
Joint15 X:-0.227974, Y:-1.263534, Z:1.049129
Joint16 X:0.080533, Y:-0.531384, Z:1.339571
Joint17 X:0.163690, Y:-0.921562, Z:1.261505
Joint18 X:0.232496, Y:-1.246751, Z:1.218586
Joint19 X:0.231330, Y:-1.260746, Z:1.087155
Joint20 X:-0.028919, Y:-0.021620, Z:1.426079
Joint21 X:-0.228507, Y:-0.557978, Z:1.438810
Joint22 X:-0.227237, Y:-0.544416, Z:1.425800
Joint23 X:0.206545, Y:-0.676166, Z:1.418126
Joint24 X:0.188484, Y:-0.619756, Z:1.391975
Joint0 X:-0.009477, Y:-0.548958, Z:1.378684
Joint1 X:-0.019870, Y:-0.244290, Z:1.410932
Joint2 X:-0.029475, Y:0.050106, Z:1.425731
Joint3 X:-0.033474, Y:0.181854, Z:1.412245
Joint4 X:-0.221817, Y:-0.045270, Z:1.469227
Joint5 X:-0.262897, Y:-0.301788, Z:1.455022
Joint6 X:-0.293805, Y:-0.517096, Z:1.496004
Joint7 X:-0.225817, Y:-0.567117, Z:1.442199
Joint8 X:0.170650, Y:-0.044826, Z:1.437769
Joint9 X:0.198989, Y:-0.306909, Z:1.381370
Joint10 X:0.212208, Y:-0.530244, Z:1.414827
Joint11 X:0.210021, Y:-0.599602, Z:1.428183
Joint12 X:-0.099573, Y:-0.540773, Z:1.353472
Joint13 X:-0.174485, Y:-0.931188, Z:1.262490
Joint14 X:-0.236843, Y:-1.256507, Z:1.208812
Joint15 X:-0.250752, Y:-1.266172, Z:1.077650
Joint16 X:0.081173, Y:-0.531040, Z:1.338474
Joint17 X:0.165176, Y:-0.921084, Z:1.259118
Joint18 X:0.234653, Y:-1.246035, Z:1.215140
Joint19 X:0.233518, Y:-1.259805, Z:1.083595
Joint20 X:-0.027188, Y:-0.022015, Z:1.424643
Joint21 X:-0.229863, Y:-0.628266, Z:1.447622
Joint22 X:-0.290205, Y:-0.603946, Z:1.492031
Joint23 X:0.210416, Y:-0.655166, Z:1.409839
Joint24 X:0.188541, Y:-0.621294, Z:1.388000
Joint0 X:-0.007982, Y:-0.548847, Z:1.377707
Joint1 X:-0.017936, Y:-0.244358, Z:1.409478
Joint2 X:-0.027085, Y:0.049934, Z:1.423776
Joint3 X:-0.032382, Y:0.182283, Z:1.412004
Joint4 X:-0.221258, Y:-0.045329, Z:1.468798
Joint5 X:-0.256035, Y:-0.317083, Z:1.445466
Joint6 X:-0.298822, Y:-0.524789, Z:1.504188
Joint7 X:-0.227178, Y:-0.581679, Z:1.451919
Joint8 X:0.171135, Y:-0.044741, Z:1.438071
Joint9 X:0.199055, Y:-0.306902, Z:1.381537
Joint10 X:0.218659, Y:-0.523603, Z:1.422647
Joint11 X:0.212292, Y:-0.598505, Z:1.430150
Joint12 X:-0.098135, Y:-0.540622, Z:1.352323
Joint13 X:-0.176448, Y:-0.930410, Z:1.261808
Joint14 X:-0.241552, Y:-1.255236, Z:1.208516
Joint15 X:-0.255606, Y:-1.264943, Z:1.077384
Joint16 X:0.082637, Y:-0.530984, Z:1.337689
Joint17 X:0.170125, Y:-0.920762, Z:1.265564
Joint18 X:0.242466, Y:-1.245566, Z:1.227584
Joint19 X:0.242132, Y:-1.260790, Z:1.096411
Joint20 X:-0.024906, Y:-0.022176, Z:1.422817
Joint21 X:-0.226250, Y:-0.601556, Z:1.449703
Joint22 X:-0.253854, Y:-0.587322, Z:1.468843
Joint23 X:0.213577, Y:-0.661129, Z:1.415742
Joint24 X:0.176777, Y:-0.541516, Z:1.377000
Joint0 X:-0.007538, Y:-0.548789, Z:1.377467
Joint1 X:-0.017250, Y:-0.244344, Z:1.409235
Joint2 X:-0.026135, Y:0.049973, Z:1.423706
Joint3 X:-0.031883, Y:0.182475, Z:1.411914
Joint4 X:-0.220912, Y:-0.045429, Z:1.468512
Joint5 X:-0.255460, Y:-0.318504, Z:1.444735
Joint6 X:-0.300048, Y:-0.525275, Z:1.505274
Joint7 X:-0.227438, Y:-0.582141, Z:1.452173
Joint8 X:0.171431, Y:-0.044612, Z:1.438354
Joint9 X:0.199029, Y:-0.306782, Z:1.381561
Joint10 X:0.212447, Y:-0.567848, Z:1.428043
Joint11 X:0.212281, Y:-0.611761, Z:1.430738
Joint12 X:-0.097682, Y:-0.540463, Z:1.352040
Joint13 X:-0.175292, Y:-0.930017, Z:1.258505
Joint14 X:-0.239820, Y:-1.254655, Z:1.202699
Joint15 X:-0.253562, Y:-1.263826, Z:1.071442
Joint16 X:0.083082, Y:-0.531035, Z:1.337548
Joint17 X:0.178913, Y:-0.919298, Z:1.274322
Joint18 X:0.258056, Y:-1.242967, Z:1.243722
Joint19 X:0.259185, Y:-1.259866, Z:1.113061
Joint20 X:-0.024017, Y:-0.022153, Z:1.422683
Joint21 X:-0.226274, Y:-0.590665, Z:1.452263
Joint22 X:-0.226276, Y:-0.585309, Z:1.440420
Joint23 X:0.212507, Y:-0.664070, Z:1.420009
Joint24 X:0.190505, Y:-0.642902, Z:1.381500
Joint0 X:-0.007347, Y:-0.548783, Z:1.377502
Joint1 X:-0.017127, Y:-0.244347, Z:1.409250
Joint2 X:-0.026034, Y:0.049970, Z:1.423713
Joint3 X:-0.031756, Y:0.182585, Z:1.411728
Joint4 X:-0.220843, Y:-0.045448, Z:1.468440
Joint5 X:-0.254601, Y:-0.335817, Z:1.443379
Joint6 X:-0.338380, Y:-0.495519, Z:1.562527
Joint7 X:-0.366915, Y:-0.549524, Z:1.605930
Joint8 X:0.171571, Y:-0.044557, Z:1.438485
Joint9 X:0.199037, Y:-0.306843, Z:1.381721
Joint10 X:0.212197, Y:-0.568337, Z:1.429018
Joint11 X:0.212292, Y:-0.610855, Z:1.432714
Joint12 X:-0.097520, Y:-0.540480, Z:1.352034
Joint13 X:-0.176318, Y:-0.930246, Z:1.261811
Joint14 X:-0.241802, Y:-1.255025, Z:1.208763
Joint15 X:-0.255745, Y:-1.264788, Z:1.077578
Joint16 X:0.083303, Y:-0.531019, Z:1.337671
Joint17 X:0.175431, Y:-0.920036, Z:1.270136
Joint18 X:0.251551, Y:-1.244229, Z:1.235965
Joint19 X:0.252114, Y:-1.260307, Z:1.104989
Joint20 X:-0.023906, Y:-0.022157, Z:1.422694
Joint21 X:-0.365314, Y:-0.548580, Z:1.599853
Joint22 X:-0.370001, Y:-0.549310, Z:1.597747
Joint23 X:0.208243, Y:-0.665249, Z:1.418989
Joint24 X:0.190574, Y:-0.643142, Z:1.382000
Joint0 X:-0.007147, Y:-0.548718, Z:1.377221
Joint1 X:-0.017097, Y:-0.244302, Z:1.409130
Joint2 X:-0.026149, Y:0.050036, Z:1.423645
Joint3 X:-0.031733, Y:0.182633, Z:1.411180
Joint4 X:-0.220769, Y:-0.045488, Z:1.468307
Joint5 X:-0.254623, Y:-0.336410, Z:1.443313
Joint6 X:-0.307026, Y:-0.536911, Z:1.515358
Joint7 X:-0.325117, Y:-0.604493, Z:1.543040
Joint8 X:0.171715, Y:-0.044553, Z:1.438524
Joint9 X:0.198921, Y:-0.306864, Z:1.381677
Joint10 X:0.215270, Y:-0.597008, Z:1.429846
Joint11 X:0.212626, Y:-0.626942, Z:1.431311
Joint12 X:-0.097370, Y:-0.540376, Z:1.351799
Joint13 X:-0.164521, Y:-0.930663, Z:1.248758
Joint14 X:-0.220529, Y:-1.255803, Z:1.185054
Joint15 X:-0.232943, Y:-1.263645, Z:1.053233
Joint16 X:0.083536, Y:-0.530983, Z:1.337328
Joint17 X:0.171916, Y:-0.920715, Z:1.268092
Joint18 X:0.245001, Y:-1.245513, Z:1.232506
Joint19 X:0.245123, Y:-1.261295, Z:1.101415
Joint20 X:-0.023971, Y:-0.022099, Z:1.422616
Joint21 X:-0.321445, Y:-0.602383, Z:1.537865
Joint22 X:-0.328628, Y:-0.603342, Z:1.535110
Joint23 X:0.205649, Y:-0.670057, Z:1.420978
Joint24 X:0.190084, Y:-0.650878, Z:1.378333
Joint0 X:-0.007125, Y:-0.548728, Z:1.377335
Joint1 X:-0.017286, Y:-0.244236, Z:1.409371
Joint2 X:-0.026944, Y:0.050219, Z:1.424227
Joint3 X:-0.031882, Y:0.182701, Z:1.411025
Joint4 X:-0.220784, Y:-0.045514, Z:1.468393
Joint5 X:-0.255069, Y:-0.337558, Z:1.445194
Joint6 X:-0.309827, Y:-0.537247, Z:1.517770
Joint7 X:-0.328703, Y:-0.604561, Z:1.545628
Joint8 X:0.171703, Y:-0.044587, Z:1.438359
Joint9 X:0.198849, Y:-0.307077, Z:1.381845
Joint10 X:0.219956, Y:-0.525081, Z:1.418965
Joint11 X:0.210657, Y:-0.599792, Z:1.429650
Joint12 X:-0.097385, Y:-0.540433, Z:1.352024
Joint13 X:-0.166315, Y:-0.930772, Z:1.251734
Joint14 X:-0.223773, Y:-1.255990, Z:1.190313
Joint15 X:-0.236504, Y:-1.264229, Z:1.058634
Joint16 X:0.083570, Y:-0.530969, Z:1.337379
Joint17 X:0.159218, Y:-0.922838, Z:1.260648
Joint18 X:0.221955, Y:-1.249330, Z:1.218841
Joint19 X:0.220351, Y:-1.263728, Z:1.087408
Joint20 X:-0.024577, Y:-0.021947, Z:1.423100
Joint21 X:-0.326207, Y:-0.603541, Z:1.532988
Joint22 X:-0.325619, Y:-0.599041, Z:1.532380
Joint23 X:0.208687, Y:-0.665562, Z:1.416704
Joint24 X:0.189847, Y:-0.619936, Z:1.393400
Joint0 X:-0.007373, Y:-0.548598, Z:1.377476
Joint1 X:-0.017789, Y:-0.244067, Z:1.409692
Joint2 X:-0.028193, Y:0.050389, Z:1.424936
Joint3 X:-0.032464, Y:0.182656, Z:1.410786
Joint4 X:-0.220911, Y:-0.045550, Z:1.468555
Joint5 X:-0.255112, Y:-0.326348, Z:1.445107
Joint6 X:-0.305544, Y:-0.529882, Z:1.511640
Joint7 X:-0.322980, Y:-0.598449, Z:1.537485
Joint8 X:0.171467, Y:-0.044661, Z:1.438023
Joint9 X:0.198565, Y:-0.307183, Z:1.381771
Joint10 X:0.213688, Y:-0.599000, Z:1.426979
Joint11 X:0.212116, Y:-0.627489, Z:1.430976
Joint12 X:-0.097626, Y:-0.540323, Z:1.352195
Joint13 X:-0.169789, Y:-0.930553, Z:1.254548
Joint14 X:-0.229865, Y:-1.255603, Z:1.195336
Joint15 X:-0.243115, Y:-1.264190, Z:1.063736
Joint16 X:0.083356, Y:-0.530724, Z:1.337492
Joint17 X:0.171747, Y:-0.920618, Z:1.269093
Joint18 X:0.244820, Y:-1.245465, Z:1.234204
Joint19 X:0.244809, Y:-1.261434, Z:1.103119
Joint20 X:-0.025621, Y:-0.021768, Z:1.423705
Joint21 X:-0.320706, Y:-0.603764, Z:1.531095
Joint22 X:-0.323544, Y:-0.595141, Z:1.522667
Joint23 X:0.210437, Y:-0.667119, Z:1.419278
Joint24 X:0.190522, Y:-0.649562, Z:1.381543
Joint0 X:-0.007812, Y:-0.548602, Z:1.377626
Joint1 X:-0.018311, Y:-0.244007, Z:1.409734
Joint2 X:-0.028800, Y:0.050447, Z:1.424856
Joint3 X:-0.032866, Y:0.182601, Z:1.410928
Joint4 X:-0.221050, Y:-0.045549, Z:1.468693
