Joint0 X:-0.006927, Y:-0.450564, Z:1.374356
Joint1 X:-0.011221, Y:-0.194126, Z:1.379930
Joint2 X:-0.014883, Y:0.054808, Z:1.371878
Joint3 X:-0.031648, Y:0.153009, Z:1.421825
Joint4 X:-0.186080, Y:-0.059201, Z:1.404387
Joint5 X:-0.290754, Y:-0.211084, Z:1.484759
Joint6 X:-0.251739, Y:-0.401907, Z:1.530096
Joint7 X:-0.251994, Y:-0.436826, Z:1.529893
Joint8 X:0.143029, Y:-0.046924, Z:1.411946
Joint9 X:0.241029, Y:-0.195884, Z:1.502252
Joint10 X:0.226795, Y:-0.382152, Z:1.546444
Joint11 X:0.230043, Y:-0.433486, Z:1.545713
Joint12 X:-0.066332, Y:-0.443462, Z:1.346219
Joint13 X:-0.074778, Y:-0.772000, Z:1.316665
Joint14 X:-0.083775, Y:-1.087537, Z:1.310591
Joint15 X:-0.082130, Y:-1.109183, Z:1.203640
Joint16 X:0.052703, Y:-0.439142, Z:1.346007
Joint17 X:0.076679, Y:-0.766889, Z:1.319817
Joint18 X:0.100035, Y:-1.081630, Z:1.316980
Joint19 X:0.103660, Y:-1.103781, Z:1.210297
Joint20 X:-0.014034, Y:-0.006364, Z:1.375978
Joint21 X:-0.241883, Y:-0.485046, Z:1.522837
Joint22 X:-0.201483, Y:-0.417603, Z:1.507077
Joint23 X:0.217247, Y:-0.483406, Z:1.542405
Joint24 X:0.268690, Y:-0.417707, Z:1.548927
Joint0 X:-0.007152, Y:-0.450555, Z:1.374030
Joint1 X:-0.011005, Y:-0.194123, Z:1.379617
Joint2 X:-0.014266, Y:0.054882, Z:1.371756
Joint3 X:-0.031722, Y:0.152955, Z:1.421730
Joint4 X:-0.186080, Y:-0.059134, Z:1.404258
Joint5 X:-0.290736, Y:-0.211138, Z:1.484517
Joint6 X:-0.251818, Y:-0.401999, Z:1.530043
Joint7 X:-0.252041, Y:-0.436520, Z:1.529275
Joint8 X:0.142985, Y:-0.046907, Z:1.411875
Joint9 X:0.240992, Y:-0.195880, Z:1.502067
Joint10 X:0.227473, Y:-0.380046, Z:1.546993
Joint11 X:0.230174, Y:-0.431070, Z:1.545258
Joint12 X:-0.066560, Y:-0.443437, Z:1.345909
Joint13 X:-0.074658, Y:-0.771976, Z:1.316686
Joint14 X:-0.083331, Y:-1.087493, Z:1.310924
Joint15 X:-0.081631, Y:-1.109193, Z:1.204011
Joint16 X:0.052511, Y:-0.439154, Z:1.345676
Joint17 X:0.076681, Y:-0.766874, Z:1.319826
Joint18 X:0.100215, Y:-1.081568, Z:1.317309
Joint19 X:0.103887, Y:-1.103771, Z:1.210667
Joint20 X:-0.013519, Y:-0.006313, Z:1.375798
Joint21 X:-0.240435, Y:-0.486748, Z:1.523938
Joint22 X:-0.201175, Y:-0.418752, Z:1.505642
Joint23 X:0.217222, Y:-0.482352, Z:1.539609
Joint24 X:0.266950, Y:-0.429747, Z:1.548422
Joint0 X:-0.007242, Y:-0.450569, Z:1.373947
Joint1 X:-0.010958, Y:-0.194177, Z:1.379503
Joint2 X:-0.014094, Y:0.054760, Z:1.371653
Joint3 X:-0.031990, Y:0.152956, Z:1.421137
Joint4 X:-0.186090, Y:-0.059149, Z:1.404036
Joint5 X:-0.290723, Y:-0.211182, Z:1.484560
Joint6 X:-0.251779, Y:-0.402108, Z:1.530045
Joint7 X:-0.252170, Y:-0.436435, Z:1.529884
Joint8 X:0.142930, Y:-0.046887, Z:1.411793
Joint9 X:0.240908, Y:-0.195654, Z:1.501502
Joint10 X:0.226558, Y:-0.381616, Z:1.546491
Joint11 X:0.230297, Y:-0.431702, Z:1.545573
Joint12 X:-0.066677, Y:-0.443428, Z:1.345831
Joint13 X:-0.074644, Y:-0.771969, Z:1.316683
Joint14 X:-0.083196, Y:-1.087470, Z:1.310988
Joint15 X:-0.081444, Y:-1.109185, Z:1.204094
Joint16 X:0.052448, Y:-0.439189, Z:1.345613
Joint17 X:0.076966, Y:-0.766874, Z:1.319963
Joint18 X:0.100826, Y:-1.081520, Z:1.317634
Joint19 X:0.104577, Y:-1.103756, Z:1.211022
Joint20 X:-0.013371, Y:-0.006413, Z:1.375705
Joint21 X:-0.239563, Y:-0.485811, Z:1.524024
Joint22 X:-0.202429, Y:-0.414227, Z:1.507534
Joint23 X:0.217232, Y:-0.483398, Z:1.542343
