Joint0 X:-0.022381, Y:-0.450375, Z:1.347621
Joint1 X:-0.037595, Y:-0.158964, Z:1.399858
Joint2 X:-0.051685, Y:0.120250, Z:1.437571
Joint3 X:-0.053276, Y:0.243010, Z:1.476468
Joint4 X:-0.212264, Y:-0.039956, Z:1.397811
Joint5 X:-0.341119, Y:-0.257136, Z:1.451912
Joint6 X:-0.398623, Y:-0.452401, Z:1.557976
Joint7 X:-0.443975, Y:-0.463939, Z:1.545792
Joint8 X:0.134172, Y:-0.026043, Z:1.395983
Joint9 X:0.308019, Y:-0.231534, Z:1.482090
Joint10 X:0.339123, Y:-0.423099, Z:1.603932
Joint11 X:0.350247, Y:-0.487418, Z:1.648201
Joint12 X:-0.099482, Y:-0.441536, Z:1.313574
Joint13 X:-0.099933, Y:-0.814252, Z:1.166582
Joint14 X:-0.102895, Y:-1.268680, Z:1.023605
Joint15 X:-0.102844, Y:-1.263397, Z:0.894835
Joint16 X:0.055911, Y:-0.437203, Z:1.315884
Joint17 X:0.081155, Y:-0.798880, Z:1.136611
Joint18 X:0.112527, Y:-1.239767, Z:0.954201
Joint19 X:0.111430, Y:-1.228747, Z:0.825146
Joint20 X:-0.048301, Y:0.052244, Z:1.430578
Joint21 X:-0.444407, Y:-0.505924, Z:1.597979
Joint22 X:-0.480125, Y:-0.441642, Z:1.518355
Joint23 X:0.354976, Y:-0.522742, Z:1.680788
Joint24 X:0.314340, Y:-0.499929, Z:1.658622
Joint0 X:-0.031405, Y:-0.448555, Z:1.348573
Joint1 X:-0.042424, Y:-0.156659, Z:1.402945
Joint2 X:-0.054090, Y:0.124049, Z:1.441293
Joint3 X:-0.058133, Y:0.246164, Z:1.481357
Joint4 X:-0.212801, Y:-0.037520, Z:1.394585
Joint5 X:-0.340747, Y:-0.257361, Z:1.450865
Joint6 X:-0.400655, Y:-0.455714, Z:1.550268
Joint7 X:-0.425234, Y:-0.493128, Z:1.565896
Joint8 X:0.127141, Y:-0.021971, Z:1.392703
Joint9 X:0.306367, Y:-0.229591, Z:1.481179
Joint10 X:0.341404, Y:-0.421753, Z:1.601009
Joint11 X:0.353833, Y:-0.486266, Z:1.644608
Joint12 X:-0.108404, Y:-0.439278, Z:1.314763
Joint13 X:-0.114147, Y:-0.812257, Z:1.168812
Joint14 X:-0.123616, Y:-1.266575, Z:1.027207
Joint15 X:-0.124025, Y:-1.261342, Z:0.898406
Joint16 X:0.047105, Y:-0.435862, Z:1.316472
Joint17 X:0.082343, Y:-0.800789, Z:1.148663
Joint18 X:0.125381, Y:-1.245241, Z:0.980426
Joint19 X:0.125075, Y:-1.235963, Z:0.851334
Joint20 X:-0.051250, Y:0.055416, Z:1.433960
Joint21 X:-0.425814, Y:-0.534971, Z:1.618081
Joint22 X:-0.462444, Y:-0.472226, Z:1.538073
Joint23 X:0.358539, Y:-0.521593, Z:1.677199
Joint24 X:0.317106, Y:-0.500234, Z:1.655268
Joint0 X:-0.035463, Y:-0.446362, Z:1.342349
Joint1 X:-0.044677, Y:-0.153602, Z:1.401051
Joint2 X:-0.054581, Y:0.127781, Z:1.442329
Joint3 X:-0.058471, Y:0.248102, Z:1.483068
Joint4 X:-0.211322, Y:-0.034748, Z:1.391286
Joint5 X:-0.339096, Y:-0.253255, Z:1.446952
Joint6 X:-0.398973, Y:-0.453350, Z:1.543083
Joint7 X:-0.416143, Y:-0.491693, Z:1.565009
Joint8 X:0.124691, Y:-0.020003, Z:1.388811
Joint9 X:0.305170, Y:-0.228079, Z:1.479857
Joint10 X:0.341340, Y:-0.420029, Z:1.599487
Joint11 X:0.354143, Y:-0.484468, Z:1.643017
Joint12 X:-0.112049, Y:-0.436760, Z:1.309019
Joint13 X:-0.116179, Y:-0.804178, Z:1.145103
Joint14 X:-0.123790, Y:-1.252371, Z:0.981264
Joint15 X:-0.124068, Y:-1.243221, Z:0.852392
Joint16 X:0.042863, Y:-0.434068, Z:1.309845
Joint17 X:0.083831, Y:-0.802484, Z:1.156197
Joint18 X:0.133673, Y:-1.251880, Z:1.005032
Joint19 X:0.133971, Y:-1.244512, Z:0.876118
Joint20 X:-0.052140, Y:0.058896, Z:1.434392
Joint21 X:-0.416775, Y:-0.533540, Z:1.617188
Joint22 X:-0.455158, Y:-0.470663, Z:1.536878
Joint23 X:0.358847, Y:-0.519804, Z:1.675616
Joint24 X:0.317515, Y:-0.499043, Z:1.654333
Joint0 X:-0.025392, Y:-0.443447, Z:1.338523
Joint1 X:-0.041810, Y:-0.150934, Z:1.400768
Joint2 X:-0.054978, Y:0.130754, Z:1.445184
Joint3 X:-0.059699, Y:0.250377, Z:1.488598
Joint4 X:-0.209525, Y:-0.033977, Z:1.390123
Joint5 X:-0.336234, Y:-0.250683, Z:1.444784
Joint6 X:-0.402651, Y:-0.448557, Z:1.540941
Joint7 X:-0.423894, Y:-0.486537, Z:1.559789
Joint8 X:0.124850, Y:-0.019310, Z:1.387886
Joint9 X:0.305629, Y:-0.229671, Z:1.480674
Joint10 X:0.338607, Y:-0.421830, Z:1.600766
Joint11 X:0.350348, Y:-0.486342, Z:1.644449
Joint12 X:-0.102857, Y:-0.434853, Z:1.305404
Joint13 X:-0.100139, Y:-0.797968, Z:1.128424
Joint14 X:-0.099344, Y:-1.240665, Z:0.948662
Joint15 X:-0.099224, Y:-1.228601, Z:0.819673
Joint16 X:0.053386, Y:-0.430162, Z:1.305766
Joint17 X:0.080232, Y:-0.796933, Z:1.142121
Joint18 X:0.113482, Y:-1.243974, Z:0.978787
Joint19 X:0.112455, Y:-1.234339, Z:0.849739
Joint20 X:-0.051764, Y:0.061695, Z:1.436289
Joint21 X:-0.424471, Y:-0.528408, Z:1.611975
Joint22 X:-0.461064, Y:-0.467993, Z:1.532897
Joint23 X:0.355074, Y:-0.521669, Z:1.677046
Joint24 X:0.315892, Y:-0.499765, Z:1.655262
Joint0 X:-0.021109, Y:-0.442155, Z:1.338330
Joint1 X:-0.039802, Y:-0.149826, Z:1.400352
Joint2 X:-0.055096, Y:0.131211, Z:1.445020
Joint3 X:-0.060490, Y:0.250424, Z:1.489419
Joint4 X:-0.209106, Y:-0.034169, Z:1.390319
Joint5 X:-0.334512, Y:-0.249479, Z:1.442848
Joint6 X:-0.403584, Y:-0.445110, Z:1.541150
Joint7 X:-0.424336, Y:-0.482618, Z:1.561890
Joint8 X:0.124690, Y:-0.018635, Z:1.387777
Joint9 X:0.305905, Y:-0.231693, Z:1.481770
Joint10 X:0.335011, Y:-0.423578, Z:1.603058
Joint11 X:0.345464, Y:-0.488004, Z:1.647139
Joint12 X:-0.098785, Y:-0.434287, Z:1.305539
Joint13 X:-0.092789, Y:-0.796205, Z:1.125149
Joint14 X:-0.087987, Y:-1.237208, Z:0.941295
Joint15 X:-0.087878, Y:-1.224531, Z:0.812274
Joint16 X:0.057706, Y:-0.428187, Z:1.305223
Joint17 X:0.085554, Y:-0.792052, Z:1.132814
Joint18 X:0.120072, Y:-1.235284, Z:0.958828
Joint19 X:0.118757, Y:-1.224050, Z:0.829733
Joint20 X:-0.051501, Y:0.062305, Z:1.436160
Joint21 X:-0.424912, Y:-0.524515, Z:1.614069
Joint22 X:-0.461345, Y:-0.463999, Z:1.533900
Joint23 X:0.350221, Y:-0.523324, Z:1.679729
Joint24 X:0.312045, Y:-0.501472, Z:1.656172
Joint0 X:-0.019120, Y:-0.442059, Z:1.341014
Joint1 X:-0.038655, Y:-0.149516, Z:1.401755
Joint2 X:-0.055251, Y:0.131314, Z:1.445919
Joint3 X:-0.060656, Y:0.250552, Z:1.489821
Joint4 X:-0.208833, Y:-0.034046, Z:1.390027
Joint5 X:-0.333348, Y:-0.249577, Z:1.442519
Joint6 X:-0.404567, Y:-0.444710, Z:1.540286
Joint7 X:-0.429114, Y:-0.510272, Z:1.576501
Joint8 X:0.124783, Y:-0.018374, Z:1.387486
Joint9 X:0.306467, Y:-0.233210, Z:1.482561
Joint10 X:0.332670, Y:-0.424995, Z:1.604613
Joint11 X:0.342159, Y:-0.489392, Z:1.648949
Joint12 X:-0.096793, Y:-0.434485, Z:1.308538
Joint13 X:-0.091002, Y:-0.795708, Z:1.126226
Joint14 X:-0.086387, Y:-1.235780, Z:0.940057
Joint15 X:-0.086326, Y:-1.222953, Z:0.811010
Joint16 X:0.059557, Y:-0.427889, Z:1.307629
Joint17 X:0.085212, Y:-0.791275, Z:1.133276
Joint18 X:0.117154, Y:-1.233816, Z:0.956940
Joint19 X:0.115622, Y:-1.222425, Z:0.827820
Joint20 X:-0.051348, Y:0.062543, Z:1.437185
Joint21 X:-0.429818, Y:-0.551324, Z:1.630104
Joint22 X:-0.466111, Y:-0.488584, Z:1.548313
Joint23 X:0.346936, Y:-0.524706, Z:1.681536
Joint24 X:0.308477, Y:-0.503069, Z:1.657572
Joint0 X:-0.018675, Y:-0.442156, Z:1.344415
Joint1 X:-0.037860, Y:-0.148964, Z:1.403190
Joint2 X:-0.054554, Y:0.132258, Z:1.445799
Joint3 X:-0.060246, Y:0.251122, Z:1.490871
Joint4 X:-0.208313, Y:-0.033958, Z:1.390512
Joint5 X:-0.333144, Y:-0.250449, Z:1.443197
Joint6 X:-0.406123, Y:-0.445448, Z:1.540115
Joint7 X:-0.431255, Y:-0.510966, Z:1.576048
Joint8 X:0.124754, Y:-0.018278, Z:1.387234
Joint9 X:0.306549, Y:-0.233881, Z:1.482242
Joint10 X:0.332113, Y:-0.425702, Z:1.604460
Joint11 X:0.341389, Y:-0.490112, Z:1.648850
Joint12 X:-0.096386, Y:-0.434650, Z:1.312116
Joint13 X:-0.091777, Y:-0.796529, Z:1.131555
Joint14 X:-0.088558, Y:-1.237482, Z:0.947493
Joint15 X:-0.088776, Y:-1.225338, Z:0.818452
Joint16 X:0.059995, Y:-0.427986, Z:1.310845
Joint17 X:0.085939, Y:-0.791567, Z:1.137124
Joint18 X:0.118240, Y:-1.234427, Z:0.961524
Joint19 X:0.116521, Y:-1.223515, Z:0.832412
Joint20 X:-0.050603, Y:0.063446, Z:1.437575
Joint21 X:-0.431826, Y:-0.552730, Z:1.628267
Joint22 X:-0.467320, Y:-0.488182, Z:1.547409
Joint23 X:0.346170, Y:-0.525423, Z:1.681438
Joint24 X:0.308068, Y:-0.503466, Z:1.657505
Joint0 X:-0.018654, Y:-0.442074, Z:1.346038
Joint1 X:-0.036863, Y:-0.148578, Z:1.403940
Joint2 X:-0.052573, Y:0.133059, Z:1.445439
Joint3 X:-0.056729, Y:0.252077, Z:1.491625
Joint4 X:-0.207499, Y:-0.033558, Z:1.390136
Joint5 X:-0.332015, Y:-0.249830, Z:1.440638
Joint6 X:-0.406344, Y:-0.447958, Z:1.531019
Joint7 X:-0.391034, Y:-0.507069, Z:1.555431
Joint8 X:0.124837, Y:-0.018416, Z:1.386392
Joint9 X:0.303958, Y:-0.238826, Z:1.477849
Joint10 X:0.335774, Y:-0.432323, Z:1.596234
Joint11 X:0.347125, Y:-0.497304, Z:1.639345
Joint12 X:-0.096454, Y:-0.434527, Z:1.313755
Joint13 X:-0.093258, Y:-0.796639, Z:1.133796
Joint14 X:-0.091722, Y:-1.237684, Z:0.950546
Joint15 X:-0.092110, Y:-1.225857, Z:0.821511
Joint16 X:0.060088, Y:-0.427987, Z:1.312476
Joint17 X:0.085514, Y:-0.791808, Z:1.139328
Joint18 X:0.117187, Y:-1.234770, Z:0.964496
Joint19 X:0.115348, Y:-1.224168, Z:0.835387
Joint20 X:-0.048886, Y:0.064165, Z:1.437573
Joint21 X:-0.391801, Y:-0.548804, Z:1.607605
Joint22 X:-0.428656, Y:-0.485933, Z:1.527593
Joint23 X:0.351867, Y:-0.532564, Z:1.671956
Joint24 X:0.311662, Y:-0.511710, Z:1.648436
Joint0 X:-0.018863, Y:-0.442271, Z:1.346966
Joint1 X:-0.036163, Y:-0.148464, Z:1.404723
Joint2 X:-0.051152, Y:0.133441, Z:1.446281
Joint3 X:-0.054462, Y:0.252516, Z:1.492177
Joint4 X:-0.206909, Y:-0.033313, Z:1.389751
Joint5 X:-0.337046, Y:-0.250630, Z:1.432197
Joint6 X:-0.382863, Y:-0.453937, Z:1.529579
Joint7 X:-0.352773, Y:-0.465704, Z:1.588347
Joint8 X:0.125441, Y:-0.018774, Z:1.385650
Joint9 X:0.303378, Y:-0.245408, Z:1.470264
Joint10 X:0.337443, Y:-0.456235, Z:1.557893
Joint11 X:0.349539, Y:-0.527006, Z:1.590739
Joint12 X:-0.096562, Y:-0.434544, Z:1.314367
Joint13 X:-0.093356, Y:-0.796414, Z:1.133715
Joint14 X:-0.091808, Y:-1.236755, Z:0.949778
Joint15 X:-0.092243, Y:-1.224839, Z:0.820728
Joint16 X:0.059789, Y:-0.428435, Z:1.313852
Joint17 X:0.085300, Y:-0.791331, Z:1.138098
Joint18 X:0.117035, Y:-1.232772, Z:0.960231
Joint19 X:0.115126, Y:-1.221746, Z:0.831096
Joint20 X:-0.047635, Y:0.064502, Z:1.438375
Joint21 X:-0.343905, Y:-0.474459, Z:1.590865
Joint22 X:-0.368809, Y:-0.454375, Z:1.560800
Joint23 X:0.354223, Y:-0.562032, Z:1.623430
Joint24 X:0.313753, Y:-0.540506, Z:1.600706
Joint0 X:-0.018599, Y:-0.442309, Z:1.346661
Joint1 X:-0.035771, Y:-0.148382, Z:1.404940
Joint2 X:-0.050720, Y:0.133620, Z:1.447311
Joint3 X:-0.053877, Y:0.252637, Z:1.492518
Joint4 X:-0.206879, Y:-0.033300, Z:1.389696
Joint5 X:-0.326348, Y:-0.249796, Z:1.413684
Joint6 X:-0.388263, Y:-0.456564, Z:1.495383
Joint7 X:-0.377060, Y:-0.470601, Z:1.520178
Joint8 X:0.125738, Y:-0.019013, Z:1.385509
Joint9 X:0.299540, Y:-0.250336, Z:1.459904
Joint10 X:0.332624, Y:-0.466002, Z:1.537059
Joint11 X:0.302743, Y:-0.504607, Z:1.584483
Joint12 X:-0.096085, Y:-0.434546, Z:1.313508
Joint13 X:-0.094143, Y:-0.797061, Z:1.134473
Joint14 X:-0.094093, Y:-1.238095, Z:0.952559
Joint15 X:-0.094636, Y:-1.226339, Z:0.823495
Joint16 X:0.059903, Y:-0.428457, Z:1.313803
Joint17 X:0.084676, Y:-0.791164, Z:1.137245
Joint18 X:0.115528, Y:-1.232288, Z:0.958431
Joint19 X:0.113555, Y:-1.221013, Z:0.829266
Joint20 X:-0.047189, Y:0.064670, Z:1.439142
Joint21 X:-0.371951, Y:-0.501582, Z:1.546392
Joint22 X:-0.382343, Y:-0.469309, Z:1.507385
Joint23 X:0.291658, Y:-0.538681, Z:1.582793
Joint24 X:0.293306, Y:-0.485745, Z:1.557385
Joint0 X:-0.018177, Y:-0.443173, Z:1.346222
Joint1 X:-0.034844, Y:-0.149354, Z:1.404751
Joint2 X:-0.049621, Y:0.132335, Z:1.446997
Joint3 X:-0.053185, Y:0.252320, Z:1.492905
Joint4 X:-0.206540, Y:-0.034683, Z:1.389459
Joint5 X:-0.298820, Y:-0.266027, Z:1.397343
Joint6 X:-0.335277, Y:-0.483199, Z:1.468937
Joint7 X:-0.325129, Y:-0.531169, Z:1.511258
Joint8 X:0.125213, Y:-0.019826, Z:1.384652
Joint9 X:0.285360, Y:-0.264835, Z:1.440668
Joint10 X:0.315197, Y:-0.485601, Z:1.505650
Joint11 X:0.292890, Y:-0.529949, Z:1.536182
Joint12 X:-0.095701, Y:-0.435538, Z:1.312705
Joint13 X:-0.093799, Y:-0.798588, Z:1.135045
Joint14 X:-0.093791, Y:-1.240225, Z:0.954849
Joint15 X:-0.094584, Y:-1.228681, Z:0.825791
Joint16 X:0.060344, Y:-0.429230, Z:1.313721
Joint17 X:0.087544, Y:-0.792119, Z:1.138061
Joint18 X:0.121287, Y:-1.233419, Z:0.960380
Joint19 X:0.119245, Y:-1.222284, Z:0.831204
Joint20 X:-0.046107, Y:0.063489, Z:1.438891
Joint21 X:-0.323622, Y:-0.567811, Z:1.517616
Joint22 X:-0.350728, Y:-0.517268, Z:1.479154
Joint23 X:0.276423, Y:-0.563905, Z:1.534705
Joint24 X:0.275616, Y:-0.508620, Z:1.518077
Joint0 X:-0.017854, Y:-0.444088, Z:1.345313
Joint1 X:-0.034388, Y:-0.150029, Z:1.404674
Joint2 X:-0.049161, Y:0.131604, Z:1.447669
Joint3 X:-0.052980, Y:0.252047, Z:1.492717
Joint4 X:-0.204837, Y:-0.038215, Z:1.388486
Joint5 X:-0.295701, Y:-0.263469, Z:1.391663
Joint6 X:-0.348655, Y:-0.480063, Z:1.455284
Joint7 X:-0.340620, Y:-0.522451, Z:1.527197
Joint8 X:0.124317, Y:-0.020326, Z:1.383714
Joint9 X:0.281559, Y:-0.265933, Z:1.429726
Joint10 X:0.311659, Y:-0.487924, Z:1.491029
Joint11 X:0.288280, Y:-0.527454, Z:1.534492
Joint12 X:-0.095496, Y:-0.436517, Z:1.312121
Joint13 X:-0.093302, Y:-0.799398, Z:1.133959
Joint14 X:-0.092942, Y:-1.240806, Z:0.953172
Joint15 X:-0.093992, Y:-1.229040, Z:0.824108
