Joint0 X:-0.054275, Y:-0.447521, Z:1.218455
Joint1 X:-0.074890, Y:-0.115779, Z:1.252571
Joint2 X:-0.093384, Y:0.201398, Z:1.268378
Joint3 X:-0.103221, Y:0.320910, Z:1.341218
Joint4 X:-0.210701, Y:0.135095, Z:1.387074
Joint5 X:-0.016359, Y:-0.056300, Z:1.453962
Joint6 X:-0.273713, Y:-0.165240, Z:1.459376
Joint7 X:-0.293926, Y:-0.252280, Z:1.429136
Joint8 X:-0.071154, Y:0.060659, Z:1.154117
Joint9 X:-0.108402, Y:-0.212727, Z:1.078934
Joint10 X:-0.169928, Y:-0.408225, Z:1.051179
Joint11 X:-0.157070, Y:-0.457748, Z:1.077640
Joint12 X:-0.085916, Y:-0.438303, Z:1.200830
Joint13 X:0.052898, Y:-0.696025, Z:1.277286
Joint14 X:0.225723, Y:-1.036021, Z:1.412413
Joint15 X:0.183075, Y:-1.115712, Z:1.377591
Joint16 X:-0.019858, Y:-0.433788, Z:1.173147
Joint17 X:0.008565, Y:-0.777137, Z:1.263599
Joint18 X:0.034620, Y:-1.107540, Z:1.375232
Joint19 X:-0.047165, Y:-1.147789, Z:1.322680
Joint20 X:-0.088945, Y:0.124226, Z:1.266713
Joint21 X:-0.294410, Y:-0.256146, Z:1.417789
Joint22 X:-0.292268, Y:-0.245673, Z:1.405750
Joint23 X:-0.162242, Y:-0.499688, Z:1.103596
Joint24 X:-0.176071, Y:-0.453997, Z:1.055193
Joint0 X:-0.066683, Y:-0.447903, Z:1.214590
Joint1 X:-0.084839, Y:-0.116398, Z:1.247383
Joint2 X:-0.101199, Y:0.200702, Z:1.262016
Joint3 X:-0.110831, Y:0.320262, Z:1.334904
Joint4 X:-0.218640, Y:0.134588, Z:1.380732
Joint5 X:-0.088374, Y:-0.106101, Z:1.443798
Joint6 X:-0.275203, Y:-0.313330, Z:1.440360
Joint7 X:-0.284984, Y:-0.378781, Z:1.453488
Joint8 X:-0.077343, Y:0.060164, Z:1.150065
Joint9 X:-0.122443, Y:-0.209415, Z:1.076943
Joint10 X:-0.189933, Y:-0.403280, Z:1.055525
Joint11 X:-0.173553, Y:-0.451388, Z:1.063774
Joint12 X:-0.097806, Y:-0.438880, Z:1.197818
Joint13 X:0.051602, Y:-0.689012, Z:1.279291
Joint14 X:0.237116, Y:-1.018866, Z:1.420470
Joint15 X:0.204720, Y:-1.102724, Z:1.390924
Joint16 X:-0.032337, Y:-0.433756, Z:1.168308
Joint17 X:0.020147, Y:-0.773801, Z:1.260551
Joint18 X:0.068272, Y:-1.100567, Z:1.373636
Joint19 X:-0.009704, Y:-1.146689, Z:1.322234
Joint20 X:-0.097347, Y:0.123500, Z:1.260771
Joint21 X:-0.283156, Y:-0.436063, Z:1.443754
Joint22 X:-0.284758, Y:-0.377570, Z:1.443154
Joint23 X:-0.161816, Y:-0.498121, Z:1.092207
Joint24 X:-0.153572, Y:-0.437147, Z:1.112607
Joint0 X:-0.069667, Y:-0.447129, Z:1.213034
Joint1 X:-0.089510, Y:-0.115835, Z:1.243696
Joint2 X:-0.107500, Y:0.200972, Z:1.255998
Joint3 X:-0.115353, Y:0.320468, Z:1.329625
Joint4 X:-0.224923, Y:0.134878, Z:1.374719
Joint5 X:-0.033623, Y:-0.058937, Z:1.443609
Joint6 X:-0.191009, Y:-0.290076, Z:1.440627
Joint7 X:-0.187180, Y:-0.365856, Z:1.434068
Joint8 X:-0.080824, Y:0.061083, Z:1.145949
Joint9 X:-0.127669, Y:-0.208378, Z:1.072502
Joint10 X:-0.193988, Y:-0.402654, Z:1.051337
Joint11 X:-0.176643, Y:-0.450949, Z:1.055291
Joint12 X:-0.100957, Y:-0.438255, Z:1.197391
Joint13 X:0.051307, Y:-0.687018, Z:1.278625
Joint14 X:0.240081, Y:-1.014679, Z:1.419267
Joint15 X:0.209673, Y:-1.099067, Z:1.388985
