Joint0 X:-0.065374, Y:-0.291423, Z:1.270656
Joint1 X:-0.084603, Y:-0.046752, Z:1.288881
Joint2 X:-0.101622, Y:0.182814, Z:1.294466
Joint3 X:-0.141132, Y:0.289593, Z:1.359096
Joint4 X:-0.181006, Y:0.148471, Z:1.395059
Joint5 X:-0.106134, Y:0.353402, Z:1.206715
Joint6 X:-0.069094, Y:0.544828, Z:1.276370
Joint7 X:-0.068683, Y:0.587736, Z:1.297294
Joint8 X:0.025287, Y:0.123685, Z:1.189860
Joint9 X:-0.077332, Y:0.356598, Z:1.156403
Joint10 X:-0.063986, Y:0.544838, Z:1.274635
Joint11 X:-0.064930, Y:0.577585, Z:1.295615
Joint12 X:-0.122123, Y:-0.293337, Z:1.265760
Joint13 X:-0.018653, Y:-0.525241, Z:1.182750
Joint14 X:0.117606, Y:-0.845914, Z:1.104907
Joint15 X:0.069507, Y:-0.875716, Z:1.003330
Joint16 X:-0.005751, Y:-0.275931, Z:1.214818
Joint17 X:-0.023361, Y:-0.525277, Z:1.179980
Joint18 X:-0.048256, Y:-0.883850, Z:1.169035
Joint19 X:-0.115749, Y:-0.906518, Z:1.081206
Joint20 X:-0.098014, Y:0.127170, Z:1.294876
Joint21 X:-0.058014, Y:0.639096, Z:1.327811
Joint22 X:-0.107915, Y:0.588763, Z:1.306800
Joint23 X:-0.057128, Y:0.638408, Z:1.328037
Joint24 X:-0.026739, Y:0.536501, Z:1.305250
Joint0 X:-0.069571, Y:-0.292109, Z:1.262896
Joint1 X:-0.083278, Y:-0.051876, Z:1.280022
Joint2 X:-0.094772, Y:0.176327, Z:1.283464
Joint3 X:-0.134115, Y:0.283019, Z:1.348149
Joint4 X:-0.174215, Y:0.142001, Z:1.384053
Joint5 X:-0.103381, Y:0.354263, Z:1.202663
Joint6 X:-0.071586, Y:0.548247, Z:1.241899
Joint7 X:-0.080359, Y:0.587289, Z:1.279428
Joint8 X:0.020516, Y:0.128329, Z:1.186843
Joint9 X:-0.075057, Y:0.360331, Z:1.151886
Joint10 X:-0.075175, Y:0.530992, Z:1.249560
Joint11 X:-0.075987, Y:0.573121, Z:1.275950
Joint12 X:-0.125048, Y:-0.295824, Z:1.258219
Joint13 X:-0.019618, Y:-0.526257, Z:1.179686
Joint14 X:0.120355, Y:-0.847824, Z:1.107436
Joint15 X:0.072653, Y:-0.879173, Z:1.006573
Joint16 X:-0.010812, Y:-0.274431, Z:1.207121
Joint17 X:-0.021594, Y:-0.522390, Z:1.175349
Joint18 X:-0.037243, Y:-0.883119, Z:1.168836
Joint19 X:-0.105008, Y:-0.907018, Z:1.081849
Joint20 X:-0.092284, Y:0.120740, Z:1.284633
Joint21 X:-0.075465, Y:0.639627, Z:1.312352
Joint22 X:-0.110429, Y:0.577737, Z:1.273276
Joint23 X:-0.073178, Y:0.636597, Z:1.313195
Joint24 X:-0.043456, Y:0.532884, Z:1.283702
Joint0 X:-0.075747, Y:-0.288118, Z:1.256167
Joint1 X:-0.084963, Y:-0.050706, Z:1.274437
Joint2 X:-0.093355, Y:0.176390, Z:1.278790
Joint3 X:-0.132672, Y:0.283128, Z:1.343467
Joint4 X:-0.172814, Y:0.142054, Z:1.379381
Joint5 X:-0.102832, Y:0.355724, Z:1.199373
Joint6 X:-0.082188, Y:0.555436, Z:1.217555
Joint7 X:-0.092244, Y:0.593913, Z:1.245314
Joint8 X:0.013680, Y:0.133665, Z:1.183909
Joint9 X:-0.067737, Y:0.364100, Z:1.143884
Joint10 X:-0.090928, Y:0.578766, Z:1.233842
Joint11 X:-0.095833, Y:0.619843, Z:1.259286
Joint12 X:-0.130199, Y:-0.292857, Z:1.252077
Joint13 X:-0.021959, Y:-0.526505, Z:1.174780
Joint14 X:0.118250, Y:-0.844524, Z:1.105685
Joint15 X:0.070305, Y:-0.876986, Z:1.005677
Joint16 X:-0.017580, Y:-0.269500, Z:1.199934
Joint17 X:-0.022369, Y:-0.520050, Z:1.170764
Joint18 X:-0.029615, Y:-0.878626, Z:1.167949
Joint19 X:-0.098070, Y:-0.903667, Z:1.082259
