Joint0 X:-0.059205, Y:-0.244276, Z:1.415473
Joint1 X:-0.033282, Y:0.082624, Z:1.404156
Joint2 X:-0.009905, Y:0.391760, Z:1.384600
Joint3 X:-0.075271, Y:0.507567, Z:1.416339
Joint4 X:-0.129473, Y:0.310822, Z:1.520591
Joint5 X:-0.167338, Y:0.098302, Z:1.644977
Joint6 X:-0.295289, Y:0.038549, Z:1.511281
Joint7 X:-0.330951, Y:0.023244, Z:1.520945
Joint8 X:0.058521, Y:0.240201, Z:1.229850
Joint9 X:0.014422, Y:0.063903, Z:1.148156
Joint10 X:-0.021877, Y:-0.170036, Z:1.162120
Joint11 X:-0.035709, Y:-0.214459, Z:1.162405
Joint12 X:-0.094919, Y:-0.246211, Z:1.437486
Joint13 X:-0.023473, Y:-0.555680, Z:1.288988
Joint14 X:-0.278143, Y:-0.446474, Z:1.164241
Joint15 X:-0.360131, Y:-0.419023, Z:1.078388
Joint16 X:-0.020157, Y:-0.230708, Z:1.324525
Joint17 X:-0.287493, Y:-0.322372, Z:1.204016
Joint18 X:-0.100284, Y:-0.605838, Z:1.190629
Joint19 X:-0.133228, Y:-0.673075, Z:1.161278
Joint20 X:-0.015668, Y:0.316308, Z:1.391514
Joint21 X:-0.349276, Y:-0.019676, Z:1.501745
Joint22 X:-0.321913, Y:-0.038876, Z:1.501100
Joint23 X:-0.079910, Y:-0.246413, Z:1.156186
Joint24 X:0.029673, Y:-0.233681, Z:1.146721
Joint0 X:0.024078, Y:-0.256960, Z:1.364082
Joint1 X:0.000434, Y:0.075631, Z:1.377092
Joint2 X:-0.015487, Y:0.389520, Z:1.376675
Joint3 X:-0.083265, Y:0.505596, Z:1.406123
Joint4 X:-0.135036, Y:0.308559, Z:1.512656
Joint5 X:-0.149464, Y:0.048915, Z:1.502465
Joint6 X:-0.313017, Y:0.102152, Z:1.562938
Joint7 X:-0.330142, Y:0.078269, Z:1.537243
Joint8 X:0.059146, Y:0.241342, Z:1.229056
Joint9 X:0.031133, Y:0.061681, Z:1.147407
Joint10 X:0.041068, Y:-0.184235, Z:1.157258
Joint11 X:0.043394, Y:-0.231811, Z:1.167071
Joint12 X:-0.020660, Y:-0.252130, Z:1.376780
Joint13 X:-0.016546, Y:-0.516580, Z:1.273635
Joint14 X:-0.279956, Y:-0.603235, Z:1.154407
Joint15 X:-0.363027, Y:-0.592821, Z:1.069509
Joint16 X:0.068784, Y:-0.249448, Z:1.283718
Joint17 X:-0.253917, Y:-0.264561, Z:1.143234
Joint18 X:-0.090931, Y:-0.567958, Z:1.165635
Joint19 X:-0.132676, Y:-0.628842, Z:1.114805
Joint20 X:-0.013242, Y:0.313681, Z:1.380125
Joint21 X:-0.333414, Y:0.083514, Z:1.535547
Joint22 X:-0.337109, Y:0.051555, Z:1.499640
Joint23 X:0.086975, Y:-0.269862, Z:1.197912
Joint24 X:-0.022195, Y:-0.250105, Z:1.139039
Joint0 X:0.026988, Y:-0.257524, Z:1.363070
Joint1 X:0.002864, Y:0.073504, Z:1.374574
Joint2 X:-0.017275, Y:0.386411, Z:1.370878
Joint3 X:-0.086435, Y:0.503025, Z:1.397775
Joint4 X:-0.136828, Y:0.305441, Z:1.506850
Joint5 X:-0.149512, Y:0.046113, Z:1.506858
