Joint0 X:-0.081586, Y:-0.173140, Z:1.361729
Joint1 X:-0.090967, Y:0.113137, Z:1.352946
Joint2 X:-0.098955, Y:0.384276, Z:1.330790
Joint3 X:-0.171223, Y:0.482600, Z:1.359015
Joint4 X:-0.024279, Y:0.247799, Z:1.158926
Joint5 X:-0.124179, Y:0.125435, Z:1.295533
Joint6 X:-0.235353, Y:0.010330, Z:1.474210
Joint7 X:-0.269944, Y:-0.036717, Z:1.500173
Joint8 X:0.029765, Y:0.263818, Z:1.208321
Joint9 X:-0.062265, Y:0.423752, Z:1.091739
Joint10 X:-0.167606, Y:0.571937, Z:1.079824
Joint11 X:-0.200649, Y:0.612994, Z:1.142589
Joint12 X:-0.126788, Y:-0.172442, Z:1.365718
Joint13 X:-0.061468, Y:-0.521372, Z:1.252796
Joint14 X:-0.011429, Y:-0.799967, Z:1.181536
Joint15 X:0.058246, Y:-0.815362, Z:1.077111
Joint16 X:-0.031898, Y:-0.165295, Z:1.288034
Joint17 X:-0.013391, Y:-0.439030, Z:1.212759
Joint18 X:0.099217, Y:-0.792368, Z:1.252661
Joint19 X:0.175682, Y:-0.810155, Z:1.162360
Joint20 X:-0.097436, Y:0.318402, Z:1.339662
Joint21 X:-0.294367, Y:-0.050363, Z:1.495889
Joint22 X:-0.315847, Y:0.020084, Z:1.515657
Joint23 X:-0.223427, Y:0.662921, Z:1.166800
Joint24 X:-0.207848, Y:0.589079, Z:1.147037
Joint0 X:-0.082818, Y:-0.171044, Z:1.362741
Joint1 X:-0.091271, Y:0.113526, Z:1.353589
Joint2 X:-0.098889, Y:0.384058, Z:1.330966
Joint3 X:-0.171163, Y:0.482384, Z:1.359193
Joint4 X:-0.024078, Y:0.247668, Z:1.158951
Joint5 X:-0.124052, Y:0.125554, Z:1.295587
Joint6 X:-0.234849, Y:0.009966, Z:1.474091
Joint7 X:-0.268991, Y:-0.036897, Z:1.500450
Joint8 X:0.029855, Y:0.263713, Z:1.208156
Joint9 X:-0.062892, Y:0.423676, Z:1.091781
Joint10 X:-0.169089, Y:0.571191, Z:1.078459
Joint11 X:-0.200655, Y:0.612087, Z:1.141715
Joint12 X:-0.128796, Y:-0.167297, Z:1.367967
Joint13 X:-0.062626, Y:-0.516090, Z:1.254313
Joint14 X:-0.011893, Y:-0.794734, Z:1.182380
Joint15 X:0.057778, Y:-0.810244, Z:1.077862
Joint16 X:-0.032592, Y:-0.164971, Z:1.287681
Joint17 X:-0.013442, Y:-0.439484, Z:1.212866
Joint18 X:0.101320, Y:-0.791611, Z:1.253127
Joint19 X:0.177801, Y:-0.809247, Z:1.162832
Joint20 X:-0.097363, Y:0.318285, Z:1.339620
Joint21 X:-0.295928, Y:-0.061847, Z:1.493205
Joint22 X:-0.315566, Y:0.019990, Z:1.515544
Joint23 X:-0.224390, Y:0.663105, Z:1.165312
Joint24 X:-0.207270, Y:0.586119, Z:1.146917
Joint0 X:-0.082357, Y:-0.172332, Z:1.356826
Joint1 X:-0.091046, Y:0.112903, Z:1.352569
Joint2 X:-0.098785, Y:0.383826, Z:1.331099
Joint3 X:-0.171056, Y:0.482145, Z:1.359330
Joint4 X:-0.023888, Y:0.247522, Z:1.159007
Joint5 X:-0.123918, Y:0.125649, Z:1.295654
Joint6 X:-0.235710, Y:0.012770, Z:1.475001
Joint7 X:-0.270039, Y:-0.036522, Z:1.500069
Joint8 X:0.029914, Y:0.263487, Z:1.208071
Joint9 X:-0.063338, Y:0.423456, Z:1.091822
Joint10 X:-0.169159, Y:0.571134, Z:1.078557
Joint11 X:-0.200577, Y:0.612939, Z:1.141001
Joint12 X:-0.127890, Y:-0.170484, Z:1.362887
Joint13 X:-0.052651, Y:-0.507023, Z:1.210162
Joint14 X:0.005417, Y:-0.776172, Z:1.106277
Joint15 X:0.074101, Y:-0.785969, Z:0.999232
Joint16 X:-0.031910, Y:-0.166158, Z:1.279553
Joint17 X:-0.013467, Y:-0.439345, Z:1.212861
Joint18 X:0.074642, Y:-0.802482, Z:1.251396
Joint19 X:0.149539, Y:-0.823278, Z:1.160523
Joint20 X:-0.097210, Y:0.318025, Z:1.339497
Joint21 X:-0.293318, Y:-0.050343, Z:1.496464
Joint22 X:-0.315620, Y:0.019957, Z:1.515703
Joint23 X:-0.223193, Y:0.666164, Z:1.164671
Joint24 X:-0.208471, Y:0.590715, Z:1.149367
Joint0 X:-0.076354, Y:-0.221023, Z:1.347052
Joint1 X:-0.089058, Y:0.095154, Z:1.349305
Joint2 X:-0.098780, Y:0.383725, Z:1.331176
Joint3 X:-0.171054, Y:0.482044, Z:1.359409
Joint4 X:-0.023783, Y:0.247446, Z:1.159046
Joint5 X:-0.123905, Y:0.125608, Z:1.295753
Joint6 X:-0.236265, Y:0.014532, Z:1.475880
Joint7 X:-0.270104, Y:-0.035828, Z:1.500578
Joint8 X:0.029988, Y:0.263298, Z:1.207921
Joint9 X:-0.064428, Y:0.423133, Z:1.091622
Joint10 X:-0.170743, Y:0.570515, Z:1.075945
Joint11 X:-0.202348, Y:0.609614, Z:1.138789
Joint12 X:-0.128326, Y:-0.219352, Z:1.338850
Joint13 X:-0.053777, Y:-0.568030, Z:1.239982
Joint14 X:0.003542, Y:-0.847536, Z:1.180249
Joint15 X:0.073888, Y:-0.861820, Z:1.077267
Joint16 X:-0.020524, Y:-0.212284, Z:1.284910
Joint17 X:-0.012561, Y:-0.474737, Z:1.207795
Joint18 X:0.120499, Y:-0.835583, Z:1.270510
Joint19 X:0.206255, Y:-0.834149, Z:1.193262
Joint20 X:-0.096937, Y:0.315843, Z:1.339079
Joint21 X:-0.294035, Y:-0.050015, Z:1.497368
Joint22 X:-0.316885, Y:0.020506, Z:1.516848
Joint23 X:-0.225850, Y:0.666140, Z:1.163794
Joint24 X:-0.210132, Y:0.589292, Z:1.151105
Joint0 X:-0.077465, Y:-0.225867, Z:1.360254
Joint1 X:-0.089148, Y:0.085595, Z:1.356392
Joint2 X:-0.098426, Y:0.382027, Z:1.331361
Joint3 X:-0.170692, Y:0.480296, Z:1.359629
Joint4 X:-0.023508, Y:0.247197, Z:1.159124
Joint5 X:-0.124359, Y:0.124021, Z:1.294946
Joint6 X:-0.236426, Y:0.016331, Z:1.477637
Joint7 X:-0.271307, Y:-0.036798, Z:1.501387
Joint8 X:0.029883, Y:0.262827, Z:1.207615
Joint9 X:-0.067300, Y:0.422523, Z:1.091098
Joint10 X:-0.174380, Y:0.569697, Z:1.072668
Joint11 X:-0.201298, Y:0.599730, Z:1.135114
Joint12 X:-0.127574, Y:-0.222544, Z:1.350050
Joint13 X:-0.054087, Y:-0.570574, Z:1.240374
Joint14 X:0.002514, Y:-0.849946, Z:1.171771
Joint15 X:0.072452, Y:-0.864261, Z:1.068379
Joint16 X:-0.022355, Y:-0.218459, Z:1.299583
Joint17 X:-0.011723, Y:-0.478457, Z:1.204401
Joint18 X:0.119934, Y:-0.840045, Z:1.273460
Joint19 X:0.205669, Y:-0.837770, Z:1.201559
Joint20 X:-0.096321, Y:0.310965, Z:1.339616
Joint21 X:-0.281498, Y:-0.084322, Z:1.487220
Joint22 X:-0.316265, Y:0.019246, Z:1.516199
Joint23 X:-0.233541, Y:0.651418, Z:1.162140
Joint24 X:-0.223818, Y:0.599922, Z:1.167000
Joint0 X:-0.080220, Y:-0.228564, Z:1.375656
Joint1 X:-0.089304, Y:0.085159, Z:1.359815
Joint2 X:-0.097035, Y:0.382688, Z:1.330520
Joint3 X:-0.169256, Y:0.480996, Z:1.358792
Joint4 X:-0.023277, Y:0.247300, Z:1.159053
Joint5 X:-0.127839, Y:0.128728, Z:1.296099
