Joint0 X:-0.068371, Y:-0.222735, Z:1.251629
Joint1 X:-0.038120, Y:0.028896, Z:1.247710
Joint2 X:-0.009564, Y:0.271310, Z:1.233084
Joint3 X:-0.082255, Y:0.307290, Z:1.207794
Joint4 X:-0.122176, Y:0.200963, Z:1.287339
Joint5 X:-0.102378, Y:0.438386, Z:1.210344
Joint6 X:-0.016138, Y:0.218096, Z:1.124357
Joint7 X:-0.010447, Y:0.149715, Z:1.118507
Joint8 X:0.007063, Y:0.134114, Z:1.166318
Joint9 X:-0.083117, Y:0.280607, Z:1.090942
Joint10 X:-0.074209, Y:0.405072, Z:1.211716
Joint11 X:-0.081311, Y:0.401447, Z:1.224115
Joint12 X:-0.110371, Y:-0.216339, Z:1.247216
Joint13 X:-0.042013, Y:-0.443229, Z:1.165938
Joint14 X:-0.068094, Y:-0.738059, Z:1.181373
Joint15 X:-0.123456, Y:-0.760514, Z:1.104462
Joint16 X:-0.023548, Y:-0.220301, Z:1.204757
Joint17 X:-0.033454, Y:-0.440640, Z:1.169525
Joint18 X:0.046573, Y:-0.655863, Z:1.263541
Joint19 X:0.035738, Y:-0.711253, Z:1.211493
Joint20 X:-0.016512, Y:0.211959, Z:1.238371
Joint21 X:-0.000879, Y:0.112549, Z:1.119204
Joint22 X:0.040803, Y:0.150254, Z:1.148507
Joint23 X:-0.116755, Y:0.410584, Z:1.264727
Joint24 X:-0.054071, Y:0.400802, Z:1.203000
Joint0 X:-0.068088, Y:-0.222943, Z:1.251073
Joint1 X:-0.037759, Y:0.027927, Z:1.247132
Joint2 X:-0.007813, Y:0.268651, Z:1.232687
Joint3 X:-0.081789, Y:0.308454, Z:1.210526
Joint4 X:-0.120681, Y:0.202403, Z:1.286734
Joint5 X:-0.102088, Y:0.440301, Z:1.210896
Joint6 X:-0.017913, Y:0.218661, Z:1.126762
Joint7 X:-0.008696, Y:0.148761, Z:1.118171
Joint8 X:0.007073, Y:0.133864, Z:1.166217
Joint9 X:-0.082916, Y:0.280189, Z:1.090431
Joint10 X:-0.069263, Y:0.404655, Z:1.210716
Joint11 X:-0.083749, Y:0.400181, Z:1.230072
Joint12 X:-0.110062, Y:-0.216467, Z:1.246911
Joint13 X:-0.041347, Y:-0.442721, Z:1.165644
Joint14 X:-0.069684, Y:-0.737465, Z:1.181961
Joint15 X:-0.125413, Y:-0.759652, Z:1.105266
Joint16 X:-0.023271, Y:-0.220540, Z:1.203959
Joint17 X:-0.033216, Y:-0.440731, Z:1.169280
Joint18 X:0.046844, Y:-0.656355, Z:1.262445
Joint19 X:0.029581, Y:-0.707864, Z:1.205242
Joint20 X:-0.015274, Y:0.209829, Z:1.237901
Joint21 X:0.023999, Y:0.098982, Z:1.122788
Joint22 X:0.036166, Y:0.162948, Z:1.154294
Joint23 X:-0.122381, Y:0.394885, Z:1.269487
Joint24 X:-0.088692, Y:0.402402, Z:1.203000
Joint0 X:-0.066849, Y:-0.223026, Z:1.251236
Joint1 X:-0.034292, Y:0.028581, Z:1.247815
