Joint0 X:-0.076884, Y:-0.375254, Z:1.347231
Joint1 X:-0.076113, Y:-0.109636, Z:1.375510
Joint2 X:-0.074475, Y:0.145941, Z:1.389738
Joint3 X:-0.086982, Y:0.271286, Z:1.385082
Joint4 X:-0.231495, Y:0.052643, Z:1.379899
Joint5 X:-0.283524, Y:-0.191358, Z:1.402816
Joint6 X:-0.318524, Y:-0.390889, Z:1.363309
Joint7 X:-0.313914, Y:-0.422441, Z:1.342990
Joint8 X:0.095179, Y:0.054025, Z:1.358802
Joint9 X:0.175345, Y:-0.165307, Z:1.418710
Joint10 X:0.194386, Y:-0.360441, Z:1.348084
Joint11 X:0.199786, Y:-0.418703, Z:1.315016
Joint12 X:-0.148880, Y:-0.367591, Z:1.321477
Joint13 X:-0.131454, Y:-0.618646, Z:1.296820
Joint14 X:-0.111495, Y:-0.976741, Z:1.299771
Joint15 X:-0.112767, Y:-1.003532, Z:1.183254
Joint16 X:-0.001352, Y:-0.366390, Z:1.313536
Joint17 X:-0.005273, Y:-0.625833, Z:1.298939
Joint18 X:-0.010432, Y:-0.974571, Z:1.314933
Joint19 X:-0.017854, Y:-1.004632, Z:1.200095
Joint20 X:-0.074993, Y:0.083393, Z:1.388365
Joint21 X:-0.307067, Y:-0.494065, Z:1.339874
Joint22 X:-0.289281, Y:-0.409344, Z:1.321313
Joint23 X:0.207386, Y:-0.492187, Z:1.311749
Joint24 X:0.215739, Y:-0.412535, Z:1.290772
Joint0 X:-0.077495, Y:-0.376570, Z:1.347220
Joint1 X:-0.076451, Y:-0.110828, Z:1.374045
Joint2 X:-0.074591, Y:0.144952, Z:1.387793
Joint3 X:-0.087781, Y:0.270797, Z:1.381750
Joint4 X:-0.233339, Y:0.050770, Z:1.379528
Joint5 X:-0.289339, Y:-0.184659, Z:1.410812
Joint6 X:-0.355906, Y:-0.377325, Z:1.383427
Joint7 X:-0.371284, Y:-0.425314, Z:1.372045
Joint8 X:0.094722, Y:0.053289, Z:1.359146
Joint9 X:0.179023, Y:-0.156121, Z:1.426674
Joint10 X:0.204599, Y:-0.349654, Z:1.352789
Joint11 X:0.222230, Y:-0.404784, Z:1.319045
Joint12 X:-0.149495, Y:-0.368681, Z:1.320801
Joint13 X:-0.131404, Y:-0.618441, Z:1.296189
Joint14 X:-0.110366, Y:-0.977928, Z:1.299297
Joint15 X:-0.111332, Y:-1.004832, Z:1.182611
Joint16 X:-0.002036, Y:-0.367868, Z:1.314177
Joint17 X:-0.005040, Y:-0.627151, Z:1.299345
Joint18 X:-0.009025, Y:-0.976308, Z:1.315065
Joint19 X:-0.016080, Y:-1.006384, Z:1.199988
Joint20 X:-0.075116, Y:0.082351, Z:1.386551
Joint21 X:-0.380783, Y:-0.485925, Z:1.373797
Joint22 X:-0.345274, Y:-0.426359, Z:1.345960
Joint23 X:0.241059, Y:-0.474673, Z:1.313962
Joint24 X:0.243408, Y:-0.378194, Z:1.327857
Joint0 X:-0.076134, Y:-0.374942, Z:1.349515
Joint1 X:-0.076151, Y:-0.109956, Z:1.374341
Joint2 X:-0.075011, Y:0.145993, Z:1.386356
Joint3 X:-0.088568, Y:0.271102, Z:1.381410
Joint4 X:-0.231629, Y:0.055726, Z:1.382439
Joint5 X:-0.360427, Y:-0.115078, Z:1.432485
Joint6 X:-0.513996, Y:-0.248836, Z:1.429572
