Joint0 X:-0.006245, Y:-0.326932, Z:1.366638
Joint1 X:-0.018034, Y:0.010746, Z:1.389789
Joint2 X:-0.028987, Y:0.330239, Z:1.394515
Joint3 X:-0.051198, Y:0.508040, Z:1.367857
Joint4 X:-0.219959, Y:0.208228, Z:1.401834
Joint5 X:-0.308104, Y:-0.038315, Z:1.514128
Joint6 X:-0.304289, Y:-0.285942, Z:1.489621
Joint7 X:-0.277699, Y:-0.380629, Z:1.485236
Joint8 X:0.162469, Y:0.232382, Z:1.400594
Joint9 X:0.280871, Y:-0.005612, Z:1.533618
Joint10 X:0.279329, Y:-0.240523, Z:1.518940
Joint11 X:0.285566, Y:-0.255545, Z:1.529050
Joint12 X:-0.094063, Y:-0.321181, Z:1.329614
Joint13 X:-0.096946, Y:-0.775731, Z:1.311239
Joint14 X:-0.101769, Y:-1.206828, Z:1.324300
Joint15 X:-0.102269, Y:-1.239136, Z:1.182251
Joint16 X:0.081929, Y:-0.314208, Z:1.326393
Joint17 X:0.105661, Y:-0.766372, Z:1.326565
Joint18 X:0.129682, Y:-1.195207, Z:1.357431
Joint19 X:0.129994, Y:-1.232502, Z:1.217387
Joint20 X:-0.026372, Y:0.252802, Z:1.395926
Joint21 X:-0.259177, Y:-0.475137, Z:1.468812
Joint22 X:-0.328420, Y:-0.366663, Z:1.503355
Joint23 X:0.300871, Y:-0.346467, Z:1.545986
Joint24 X:0.350631, Y:-0.201773, Z:1.523225
Joint0 X:-0.060939, Y:-0.334202, Z:1.310795
Joint1 X:-0.074037, Y:0.009921, Z:1.346761
Joint2 X:-0.085734, Y:0.334409, Z:1.363162
Joint3 X:-0.135898, Y:0.507486, Z:1.360340
Joint4 X:-0.282083, Y:0.187491, Z:1.421726
Joint5 X:-0.364158, Y:-0.052763, Z:1.500395
Joint6 X:-0.414886, Y:-0.266927, Z:1.408595
Joint7 X:-0.412169, Y:-0.290748, Z:1.391707
Joint8 X:0.090418, Y:0.220960, Z:1.287379
Joint9 X:0.288156, Y:0.035165, Z:1.232006
Joint10 X:0.310179, Y:-0.189236, Z:1.134879
Joint11 X:0.297908, Y:-0.243037, Z:1.097489
Joint12 X:-0.141679, Y:-0.336511, Z:1.296581
Joint13 X:-0.124499, Y:-0.789023, Z:1.291316
Joint14 X:-0.111822, Y:-1.218644, Z:1.316906
Joint15 X:-0.151193, Y:-1.254183, Z:1.184959
Joint16 X:0.023564, Y:-0.311909, Z:1.247589
Joint17 X:0.109591, Y:-0.759817, Z:1.170607
Joint18 X:0.190150, Y:-1.183630, Z:1.127870
Joint19 X:0.156127, Y:-1.206771, Z:0.988131
Joint20 X:-0.082988, Y:0.255872, Z:1.361720
Joint21 X:-0.406267, Y:-0.354202, Z:1.368787
Joint22 X:-0.430234, Y:-0.265290, Z:1.365909
Joint23 X:0.281278, Y:-0.328717, Z:1.071296
Joint24 X:0.340852, Y:-0.246898, Z:1.084167
Joint0 X:-0.041404, Y:-0.333585, Z:1.296353
Joint1 X:-0.045684, Y:0.012297, Z:1.321623
Joint2 X:-0.048431, Y:0.338565, Z:1.326614
Joint3 X:-0.093727, Y:0.511749, Z:1.328079
Joint4 X:-0.245959, Y:0.196542, Z:1.422163
Joint5 X:-0.314877, Y:-0.037398, Z:1.509205
Joint6 X:-0.366884, Y:-0.261947, Z:1.455237
Joint7 X:-0.365842, Y:-0.274472, Z:1.441738
Joint8 X:0.115739, Y:0.217205, Z:1.239680
Joint9 X:0.295615, Y:0.023971, Z:1.181714
Joint10 X:0.305573, Y:-0.196325, Z:1.085045
Joint11 X:0.299967, Y:-0.250409, Z:1.052840
Joint12 X:-0.118862, Y:-0.334464, Z:1.291739
Joint13 X:-0.115386, Y:-0.789411, Z:1.258948
Joint14 X:-0.114900, Y:-1.220997, Z:1.258307
Joint15 X:-0.167922, Y:-1.249133, Z:1.129696
Joint16 X:0.039182, Y:-0.312801, Z:1.223914
Joint17 X:0.135508, Y:-0.758771, Z:1.176755
Joint18 X:0.226019, Y:-1.181022, Z:1.162756
Joint19 X:0.180793, Y:-1.214542, Z:1.031016
Joint20 X:-0.047887, Y:0.259644, Z:1.328060
Joint21 X:-0.301509, Y:-0.351964, Z:1.473408
Joint22 X:-0.403149, Y:-0.289843, Z:1.386831
Joint23 X:0.276962, Y:-0.311430, Z:1.030163
Joint24 X:0.340413, Y:-0.248717, Z:1.028750
Joint0 X:-0.035649, Y:-0.335740, Z:1.299217
Joint1 X:-0.039235, Y:0.009126, Z:1.322184
Joint2 X:-0.041948, Y:0.333568, Z:1.326637
Joint3 X:-0.084674, Y:0.508059, Z:1.324783
Joint4 X:-0.244895, Y:0.198996, Z:1.418571
Joint5 X:-0.311405, Y:-0.032894, Z:1.512149
Joint6 X:-0.332043, Y:-0.264475, Z:1.468599
Joint7 X:-0.304518, Y:-0.322591, Z:1.472436
Joint8 X:0.120609, Y:0.209886, Z:1.248778
Joint9 X:0.304092, Y:0.007351, Z:1.200679
Joint10 X:0.329784, Y:-0.212876, Z:1.108324
Joint11 X:0.325961, Y:-0.269443, Z:1.095597
Joint12 X:-0.115202, Y:-0.335780, Z:1.292412
Joint13 X:-0.080131, Y:-0.787707, Z:1.284909
Joint14 X:-0.050172, Y:-1.216715, Z:1.308404
Joint15 X:-0.096541, Y:-1.253514, Z:1.179798
Joint16 X:0.046492, Y:-0.316045, Z:1.230080
Joint17 X:0.108797, Y:-0.767634, Z:1.157582
Joint18 X:0.167824, Y:-1.194975, Z:1.119283
Joint19 X:0.121925, Y:-1.219656, Z:0.984587
Joint20 X:-0.041376, Y:0.255175, Z:1.328064
Joint21 X:-0.296879, Y:-0.437860, Z:1.471678
Joint22 X:-0.321981, Y:-0.312211, Z:1.505500
Joint23 X:0.317088, Y:-0.326266, Z:1.071682
Joint24 X:0.335891, Y:-0.278006, Z:1.046350
Joint0 X:-0.036485, Y:-0.334599, Z:1.299707
Joint1 X:-0.040835, Y:0.008937, Z:1.324215
Joint2 X:-0.044915, Y:0.332033, Z:1.331064
Joint3 X:-0.088903, Y:0.506355, Z:1.330542
Joint4 X:-0.248515, Y:0.195993, Z:1.422389
Joint5 X:-0.310432, Y:-0.035371, Z:1.513520
Joint6 X:-0.325374, Y:-0.267186, Z:1.468168
Joint7 X:-0.297429, Y:-0.323717, Z:1.471787
Joint8 X:0.119449, Y:0.207735, Z:1.253384
Joint9 X:0.303891, Y:0.006100, Z:1.208452
Joint10 X:0.334424, Y:-0.215308, Z:1.121434
Joint11 X:0.331426, Y:-0.273419, Z:1.102077
Joint12 X:-0.116984, Y:-0.335022, Z:1.292318
Joint13 X:-0.073273, Y:-0.783807, Z:1.304469
Joint14 X:-0.035341, Y:-1.210027, Z:1.346736
Joint15 X:-0.080257, Y:-1.252671, Z:1.220400
Joint16 X:0.046427, Y:-0.314329, Z:1.230511
Joint17 X:0.096732, Y:-0.767410, Z:1.155570
Joint18 X:0.144597, Y:-1.196065, Z:1.114918
Joint19 X:0.097943, Y:-1.219246, Z:0.980091
Joint20 X:-0.043980, Y:0.253963, Z:1.331818
Joint21 X:-0.284400, Y:-0.419132, Z:1.470589
Joint22 X:-0.354119, Y:-0.286755, Z:1.450568
Joint23 X:0.327207, Y:-0.329703, Z:1.078577
