Joint0 X:-0.028493, Y:-0.317141, Z:1.352362
Joint1 X:-0.033424, Y:0.018408, Z:1.383153
Joint2 X:-0.037555, Y:0.336452, Z:1.394695
Joint3 X:-0.049588, Y:0.514850, Z:1.378559
Joint4 X:-0.242808, Y:0.231486, Z:1.396009
Joint5 X:-0.488842, Y:0.170833, Z:1.390447
Joint6 X:-0.712992, Y:0.116106, Z:1.372831
Joint7 X:-0.823510, Y:0.101288, Z:1.374723
Joint8 X:0.166062, Y:0.236675, Z:1.396267
Joint9 X:0.435289, Y:0.176787, Z:1.408996
Joint10 X:0.663191, Y:0.138458, Z:1.390872
Joint11 X:0.767592, Y:0.115632, Z:1.396104
Joint12 X:-0.115522, Y:-0.308946, Z:1.312073
Joint13 X:-0.117639, Y:-0.691568, Z:1.316100
Joint14 X:-0.124269, Y:-1.185568, Z:1.366132
Joint15 X:-0.123438, Y:-1.229446, Z:1.228280
Joint16 X:0.060125, Y:-0.307110, Z:1.315354
Joint17 X:0.075168, Y:-0.689215, Z:1.320920
Joint18 X:0.096238, Y:-1.182510, Z:1.373090
Joint19 X:0.097904, Y:-1.226959, Z:1.235469
Joint20 X:-0.036625, Y:0.259283, Z:1.394292
Joint21 X:-0.909025, Y:0.069350, Z:1.391568
Joint22 X:-0.821125, Y:0.138551, Z:1.317820
Joint23 X:0.839684, Y:0.088754, Z:1.385792
Joint24 X:0.761406, Y:0.142748, Z:1.334762
Joint0 X:-0.028934, Y:-0.316768, Z:1.352347
Joint1 X:-0.033827, Y:0.018824, Z:1.382919
Joint2 X:-0.037976, Y:0.336615, Z:1.394505
Joint3 X:-0.050974, Y:0.514631, Z:1.378147
Joint4 X:-0.243471, Y:0.231762, Z:1.396073
Joint5 X:-0.489767, Y:0.171902, Z:1.388224
Joint6 X:-0.714075, Y:0.118099, Z:1.368098
Joint7 X:-0.825208, Y:0.105647, Z:1.369604
Joint8 X:0.165624, Y:0.237053, Z:1.396037
Joint9 X:0.434509, Y:0.175029, Z:1.408223
Joint10 X:0.661837, Y:0.133090, Z:1.391647
Joint11 X:0.766689, Y:0.109638, Z:1.399921
Joint12 X:-0.115995, Y:-0.308694, Z:1.312453
Joint13 X:-0.118409, Y:-0.760309, Z:1.323784
Joint14 X:-0.123392, Y:-1.188528, Z:1.365267
Joint15 X:-0.122491, Y:-1.229219, Z:1.226921
Joint16 X:0.059725, Y:-0.306644, Z:1.314961
