Joint0 X:-0.024952, Y:-0.130394, Z:1.369288
Joint1 X:-0.041592, Y:0.154586, Z:1.394884
Joint2 X:-0.056610, Y:0.424173, Z:1.407743
Joint3 X:-0.060756, Y:0.574866, Z:1.375536
Joint4 X:-0.216968, Y:0.394466, Z:1.425497
Joint5 X:-0.304555, Y:0.546416, Z:1.344147
Joint6 X:-0.185395, Y:0.659208, Z:1.340915
Joint7 X:-0.164203, Y:0.652681, Z:1.341515
Joint8 X:0.124046, Y:0.387234, Z:1.378389
Joint9 X:0.229087, Y:0.542971, Z:1.270898
Joint10 X:0.107669, Y:0.641246, Z:1.310335
Joint11 X:0.063508, Y:0.645584, Z:1.323639
Joint12 X:-0.101263, Y:-0.132678, Z:1.352571
Joint13 X:-0.094903, Y:-0.469378, Z:1.277879
Joint14 X:-0.049677, Y:-0.820829, Z:1.276691
Joint15 X:-0.053710, Y:-0.847508, Z:1.158986
Joint16 X:0.052806, Y:-0.121769, Z:1.319051
Joint17 X:0.069457, Y:-0.482708, Z:1.265300
Joint18 X:0.062119, Y:-0.814728, Z:1.250987
Joint19 X:0.047053, Y:-0.836679, Z:1.132166
Joint20 X:-0.053088, Y:0.358732, Z:1.406476
Joint21 X:-0.077718, Y:0.727289, Z:1.368329
Joint22 X:-0.125287, Y:0.598633, Z:1.279667
Joint23 X:-0.000655, Y:0.710576, Z:1.345399
Joint24 X:0.018432, Y:0.583960, Z:1.285854
Joint0 X:-0.023244, Y:-0.138629, Z:1.370552
Joint1 X:-0.039747, Y:0.151671, Z:1.395381
Joint2 X:-0.055080, Y:0.424209, Z:1.407891
Joint3 X:-0.054796, Y:0.578408, Z:1.378698
Joint4 X:-0.216797, Y:0.390453, Z:1.425418
Joint5 X:-0.324067, Y:0.522547, Z:1.353764
Joint6 X:-0.197182, Y:0.627694, Z:1.351088
Joint7 X:-0.149151, Y:0.656092, Z:1.349998
Joint8 X:0.129261, Y:0.384691, Z:1.379448
Joint9 X:0.276882, Y:0.500988, Z:1.267378
Joint10 X:0.136830, Y:0.620162, Z:1.282339
Joint11 X:0.077123, Y:0.658375, Z:1.291642
