Joint0 X:-0.015262, Y:-0.168929, Z:1.374135
Joint1 X:-0.020741, Y:0.134002, Z:1.400304
Joint2 X:-0.025679, Y:0.419617, Z:1.412779
Joint3 X:-0.028636, Y:0.553069, Z:1.360416
Joint4 X:-0.208707, Y:0.357193, Z:1.412864
Joint5 X:-0.428090, Y:0.326166, Z:1.394854
Joint6 X:-0.589491, Y:0.315448, Z:1.338071
Joint7 X:-0.667848, Y:0.327573, Z:1.322133
Joint8 X:0.166672, Y:0.370407, Z:1.417193
Joint9 X:0.395066, Y:0.391450, Z:1.405066
Joint10 X:0.580631, Y:0.408969, Z:1.370329
Joint11 X:0.672305, Y:0.430590, Z:1.370128
Joint12 X:-0.093325, Y:-0.165874, Z:1.338430
Joint13 X:-0.093781, Y:-0.507531, Z:1.288284
Joint14 X:-0.057282, Y:-0.831615, Z:1.297542
Joint15 X:-0.049221, Y:-0.861997, Z:1.171730
Joint16 X:0.063621, Y:-0.163808, Z:1.341191
Joint17 X:0.072639, Y:-0.505419, Z:1.295574
Joint18 X:0.059720, Y:-0.819748, Z:1.294328
Joint19 X:0.057756, Y:-0.859781, Z:1.166836
Joint20 X:-0.024575, Y:0.350418, Z:1.411794
Joint21 X:-0.727198, Y:0.334230, Z:1.294889
Joint22 X:-0.697064, Y:0.320269, Z:1.327167
Joint23 X:0.734549, Y:0.444909, Z:1.369618
Joint24 X:0.706138, Y:0.403505, Z:1.345000
Joint0 X:-0.002822, Y:-0.143675, Z:1.379549
Joint1 X:-0.007845, Y:0.148979, Z:1.403118
Joint2 X:-0.015326, Y:0.424721, Z:1.413056
Joint3 X:-0.005169, Y:0.559486, Z:1.366825
Joint4 X:-0.198387, Y:0.346396, Z:1.417040
Joint5 X:-0.429558, Y:0.340552, Z:1.397801
Joint6 X:-0.635126, Y:0.368591, Z:1.358437
Joint7 X:-0.723737, Y:0.389897, Z:1.343957
Joint8 X:0.149226, Y:0.419428, Z:1.429210
Joint9 X:0.230080, Y:0.599278, Z:1.366198
Joint10 X:0.195158, Y:0.759799, Z:1.324979
Joint11 X:0.193349, Y:0.758773, Z:1.333738
Joint12 X:-0.081505, Y:-0.143104, Z:1.339544
Joint13 X:-0.092115, Y:-0.485251, Z:1.287643
Joint14 X:-0.071091, Y:-0.811453, Z:1.294277
Joint15 X:-0.066334, Y:-0.841806, Z:1.167787
Joint16 X:0.075026, Y:-0.137907, Z:1.350848
Joint17 X:0.063070, Y:-0.480033, Z:1.291351
Joint18 X:0.064280, Y:-0.806927, Z:1.295912
Joint19 X:0.062935, Y:-0.836710, Z:1.168991
Joint20 X:-0.013359, Y:0.357876, Z:1.412672
Joint21 X:-0.785782, Y:0.400504, Z:1.340308
Joint22 X:-0.765733, Y:0.373769, Z:1.356938
Joint23 X:0.168788, Y:0.793823, Z:1.383361
