Joint0 X:-0.051662, Y:-0.457119, Z:1.392940
Joint1 X:-0.021778, Y:-0.172537, Z:1.417494
Joint2 X:0.006009, Y:0.101769, Z:1.427375
Joint3 X:0.052877, Y:0.221752, Z:1.426194
Joint4 X:-0.147458, Y:-0.000308, Z:1.363142
Joint5 X:-0.276785, Y:-0.214392, Z:1.346760
Joint6 X:-0.229802, Y:-0.405827, Z:1.267862
Joint7 X:-0.233996, Y:-0.453899, Z:1.283697
Joint8 X:0.141085, Y:-0.016978, Z:1.423874
Joint9 X:0.110107, Y:-0.293333, Z:1.405727
Joint10 X:0.066897, Y:-0.477527, Z:1.309225
Joint11 X:0.054816, Y:-0.515406, Z:1.317243
Joint12 X:-0.113932, Y:-0.441992, Z:1.341624
Joint13 X:-0.041844, Y:-0.803371, Z:1.355894
Joint14 X:0.023772, Y:-1.150698, Z:1.393639
Joint15 X:0.056672, Y:-1.179985, Z:1.282210
Joint16 X:0.012529, Y:-0.452382, Z:1.383596
Joint17 X:0.014998, Y:-0.824086, Z:1.341226
Joint18 X:0.017532, Y:-1.180974, Z:1.324924
Joint19 X:0.038815, Y:-1.202272, Z:1.207164
Joint20 X:-0.000848, Y:0.034683, Z:1.427207
Joint21 X:-0.237956, Y:-0.490990, Z:1.278386
Joint22 X:-0.279598, Y:-0.470472, Z:1.285592
Joint23 X:0.043023, Y:-0.552422, Z:1.302412
Joint24 X:0.100812, Y:-0.506022, Z:1.316392
Joint0 X:-0.056917, Y:-0.460308, Z:1.392784
Joint1 X:-0.026496, Y:-0.175737, Z:1.417225
Joint2 X:0.002713, Y:0.099244, Z:1.426853
Joint3 X:0.049740, Y:0.219900, Z:1.426116
Joint4 X:-0.146565, Y:-0.004368, Z:1.356640
Joint5 X:-0.280542, Y:-0.215012, Z:1.346339
Joint6 X:-0.233654, Y:-0.406399, Z:1.267248
Joint7 X:-0.232580, Y:-0.457529, Z:1.284796
Joint8 X:0.131945, Y:-0.025068, Z:1.427955
Joint9 X:0.109661, Y:-0.295497, Z:1.403737
Joint10 X:0.089456, Y:-0.489467, Z:1.321831
Joint11 X:0.067136, Y:-0.533745, Z:1.323633
Joint12 X:-0.118813, Y:-0.445049, Z:1.341208
