Joint0 X:-0.036012, Y:-0.391626, Z:1.316716
Joint1 X:-0.048758, Y:-0.108611, Z:1.356844
Joint2 X:-0.060387, Y:0.162522, Z:1.381170
Joint3 X:-0.086710, Y:0.265291, Z:1.433015
Joint4 X:-0.229587, Y:0.047131, Z:1.356615
Joint5 X:-0.407387, Y:0.081041, Z:1.490109
Joint6 X:-0.173172, Y:0.130606, Z:1.511278
Joint7 X:-0.151630, Y:0.123605, Z:1.508936
Joint8 X:0.109654, Y:0.045899, Z:1.334921
Joint9 X:0.268293, Y:0.095385, Z:1.486072
Joint10 X:0.114026, Y:0.241890, Z:1.583592
Joint11 X:0.063342, Y:0.290893, Z:1.619740
Joint12 X:-0.111181, Y:-0.385706, Z:1.288318
Joint13 X:-0.138521, Y:-0.758916, Z:1.141560
Joint14 X:-0.173799, Y:-1.212429, Z:0.998910
Joint15 X:-0.179977, Y:-1.208962, Z:0.870768
Joint16 X:0.040643, Y:-0.377965, Z:1.278220
Joint17 X:0.070573, Y:-0.758789, Z:1.164527
Joint18 X:0.107213, Y:-1.221388, Z:1.062389
Joint19 X:0.102575, Y:-1.224513, Z:0.934508
Joint20 X:-0.057683, Y:0.096347, Z:1.377436
Joint21 X:-0.139417, Y:0.130333, Z:1.505552
Joint22 X:-0.144906, Y:0.143319, Z:1.429800
Joint23 X:0.061089, Y:0.289626, Z:1.615204
Joint24 X:0.059130, Y:0.286033, Z:1.601855
Joint0 X:-0.036049, Y:-0.391686, Z:1.316592
Joint1 X:-0.048817, Y:-0.108546, Z:1.356897
Joint2 X:-0.060514, Y:0.162778, Z:1.381481
Joint3 X:-0.085513, Y:0.265457, Z:1.432918
Joint4 X:-0.228787, Y:0.047548, Z:1.356853
Joint5 X:-0.408174, Y:0.078945, Z:1.489054
Joint6 X:-0.175262, Y:0.132919, Z:1.512404
Joint7 X:-0.151463, Y:0.122893, Z:1.509736
Joint8 X:0.109554, Y:0.045869, Z:1.334844
Joint9 X:0.268249, Y:0.095371, Z:1.485941
Joint10 X:0.114269, Y:0.241821, Z:1.583922
Joint11 X:0.063680, Y:0.290805, Z:1.620223
Joint12 X:-0.111169, Y:-0.385767, Z:1.288252
Joint13 X:-0.138459, Y:-0.759040, Z:1.141719
Joint14 X:-0.173678, Y:-1.212631, Z:0.999345
Joint15 X:-0.179937, Y:-1.209171, Z:0.871208
Joint16 X:0.040602, Y:-0.377974, Z:1.278061
Joint17 X:0.070710, Y:-0.758842, Z:1.164702
Joint18 X:0.107561, Y:-1.221496, Z:1.062974
Joint19 X:0.102868, Y:-1.224668, Z:0.935100
Joint20 X:-0.057784, Y:0.096551, Z:1.377674
Joint21 X:-0.137522, Y:0.130613, Z:1.497173
Joint22 X:-0.148962, Y:0.095406, Z:1.476919
Joint23 X:0.061425, Y:0.289539, Z:1.615687
Joint24 X:0.059295, Y:0.285974, Z:1.602114
Joint0 X:-0.035995, Y:-0.391831, Z:1.316353
Joint1 X:-0.047468, Y:-0.108723, Z:1.355916
Joint2 X:-0.057642, Y:0.162513, Z:1.379472
Joint3 X:-0.084669, Y:0.265548, Z:1.432464
Joint4 X:-0.227088, Y:0.048008, Z:1.356786
Joint5 X:-0.408259, Y:0.077294, Z:1.487328
Joint6 X:-0.175498, Y:0.130340, Z:1.513131
Joint7 X:-0.152331, Y:0.121916, Z:1.511680
Joint8 X:0.109643, Y:0.045825, Z:1.334756
Joint9 X:0.267895, Y:0.096154, Z:1.486017
Joint10 X:0.113984, Y:0.242181, Z:1.584630
Joint11 X:0.063417, Y:0.291027, Z:1.621143
Joint12 X:-0.111032, Y:-0.385962, Z:1.288105
Joint13 X:-0.138176, Y:-0.759312, Z:1.141844
Joint14 X:-0.173220, Y:-1.213003, Z:0.999803
Joint15 X:-0.179468, Y:-1.209728, Z:0.871700
Joint16 X:0.040666, Y:-0.378035, Z:1.277828
Joint17 X:0.070785, Y:-0.758956, Z:1.164798
Joint18 X:0.107650, Y:-1.221678, Z:1.063472
Joint19 X:0.102943, Y:-1.225019, Z:0.935639
Joint20 X:-0.055174, Y:0.096321, Z:1.375894
Joint21 X:-0.139532, Y:0.130728, Z:1.505930
Joint22 X:-0.148333, Y:0.095995, Z:1.475176
Joint23 X:0.061165, Y:0.289760, Z:1.616607
Joint24 X:0.059183, Y:0.286147, Z:1.602589
Joint0 X:-0.036234, Y:-0.392057, Z:1.316292
Joint1 X:-0.048033, Y:-0.108883, Z:1.355814
Joint2 X:-0.059036, Y:0.162181, Z:1.379116
Joint3 X:-0.084318, Y:0.265640, Z:1.432062
Joint4 X:-0.227859, Y:0.047694, Z:1.356870
Joint5 X:-0.409080, Y:0.076628, Z:1.487406
Joint6 X:-0.177497, Y:0.134333, Z:1.513498
Joint7 X:-0.153326, Y:0.122097, Z:1.510993
Joint8 X:0.109683, Y:0.045763, Z:1.334722
Joint9 X:0.267260, Y:0.096342, Z:1.486522
Joint10 X:0.107728, Y:0.225286, Z:1.597687
Joint11 X:0.055295, Y:0.268443, Z:1.638388
Joint12 X:-0.111155, Y:-0.386177, Z:1.288088
Joint13 X:-0.138435, Y:-0.759602, Z:1.142178
Joint14 X:-0.173644, Y:-1.213392, Z:1.000568
Joint15 X:-0.179941, Y:-1.210205, Z:0.872482
Joint16 X:0.040412, Y:-0.378231, Z:1.277816
Joint17 X:0.071193, Y:-0.759099, Z:1.164823
Joint18 X:0.108839, Y:-1.221763, Z:1.063544
Joint19 X:0.104152, Y:-1.225138, Z:0.935720
Joint20 X:-0.056379, Y:0.096054, Z:1.375672
Joint21 X:-0.138953, Y:0.130348, Z:1.499262
Joint22 X:-0.149457, Y:0.094528, Z:1.475620
Joint23 X:0.053093, Y:0.267322, Z:1.633825
Joint24 X:0.053008, Y:0.267165, Z:1.618799
Joint0 X:-0.035240, Y:-0.391561, Z:1.313830
