Joint0 X:-0.000127, Y:-0.428826, Z:1.276082
Joint1 X:-0.012879, Y:-0.164406, Z:1.271169
Joint2 X:-0.024958, Y:0.092139, Z:1.252287
Joint3 X:-0.034083, Y:0.179571, Z:1.307230
Joint4 X:-0.145848, Y:-0.011402, Z:1.242784
Joint5 X:-0.225208, Y:0.076868, Z:1.421650
Joint6 X:-0.185931, Y:0.180782, Z:1.544199
Joint7 X:-0.164922, Y:0.195345, Z:1.596053
Joint8 X:0.115872, Y:-0.014850, Z:1.260978
Joint9 X:0.177835, Y:0.090698, Z:1.445059
Joint10 X:0.125612, Y:0.186036, Z:1.569454
Joint11 X:0.108629, Y:0.217975, Z:1.614110
Joint12 X:-0.058891, Y:-0.420963, Z:1.247978
Joint13 X:-0.055602, Y:-0.750641, Z:1.220010
Joint14 X:-0.053558, Y:-1.064492, Z:1.215484
Joint15 X:-0.046283, Y:-1.086786, Z:1.110310
Joint16 X:0.058688, Y:-0.417847, Z:1.248188
Joint17 X:0.105537, Y:-0.741606, Z:1.251519
Joint18 X:0.150143, Y:-1.050089, Z:1.276680
Joint19 X:0.161032, Y:-1.077628, Z:1.174266
Joint20 X:-0.021997, Y:0.029244, Z:1.259157
Joint21 X:-0.160998, Y:0.202304, Z:1.602462
Joint22 X:-0.157390, Y:0.191103, Z:1.572389
Joint23 X:0.105437, Y:0.227697, Z:1.618656
Joint24 X:0.118155, Y:0.216041, Z:1.602599
Joint0 X:0.000076, Y:-0.428755, Z:1.275870
Joint1 X:-0.012754, Y:-0.164680, Z:1.271015
Joint2 X:-0.024968, Y:0.090810, Z:1.252203
Joint3 X:-0.033869, Y:0.178250, Z:1.307002
Joint4 X:-0.145773, Y:-0.011370, Z:1.242695
Joint5 X:-0.225134, Y:0.076900, Z:1.421561
Joint6 X:-0.185857, Y:0.180813, Z:1.544110
Joint7 X:-0.164849, Y:0.195377, Z:1.595964
Joint8 X:0.115950, Y:-0.014844, Z:1.260903
Joint9 X:0.177911, Y:0.090704, Z:1.444985
Joint10 X:0.125688, Y:0.186042, Z:1.569380
Joint11 X:0.108705, Y:0.217981, Z:1.614036
Joint12 X:-0.058659, Y:-0.420926, Z:1.247719
Joint13 X:-0.055543, Y:-0.750591, Z:1.219894
Joint14 X:-0.053655, Y:-1.064438, Z:1.215504
Joint15 X:-0.046393, Y:-1.086749, Z:1.110336
Joint16 X:0.058869, Y:-0.417743, Z:1.247958
Joint17 X:0.106182, Y:-0.741391, Z:1.251558
Joint18 X:0.151225, Y:-1.049780, Z:1.276975
Joint19 X:0.162186, Y:-1.077351, Z:1.174588
Joint20 X:-0.021975, Y:0.028232, Z:1.259036
Joint21 X:-0.160925, Y:0.202335, Z:1.602373
Joint22 X:-0.157376, Y:0.191121, Z:1.572368
Joint23 X:0.105512, Y:0.227704, Z:1.618582
Joint24 X:0.118163, Y:0.216044, Z:1.602585
Joint0 X:0.011366, Y:-0.424878, Z:1.271829
Joint1 X:-0.005483, Y:-0.159866, Z:1.269802
Joint2 X:-0.020538, Y:0.098231, Z:1.253760
Joint3 X:-0.028196, Y:0.186345, Z:1.306408
Joint4 X:-0.144345, Y:-0.010319, Z:1.243466
Joint5 X:-0.223728, Y:0.077935, Z:1.422329
Joint6 X:-0.184463, Y:0.181839, Z:1.544875
Joint7 X:-0.163456, Y:0.196402, Z:1.596729
Joint8 X:0.119946, Y:-0.013666, Z:1.262182
Joint9 X:0.181849, Y:0.091862, Z:1.446265
Joint10 X:0.129598, Y:0.187191, Z:1.570665
Joint11 X:0.112614, Y:0.219129, Z:1.615322
Joint12 X:-0.047628, Y:-0.418473, Z:1.244362
Joint13 X:-0.048471, Y:-0.747995, Z:1.221411
Joint14 X:-0.050081, Y:-1.061692, Z:1.221662
Joint15 X:-0.043227, Y:-1.084691, Z:1.116693
Joint16 X:0.069928, Y:-0.412486, Z:1.243156
Joint17 X:0.122567, Y:-0.734384, Z:1.253898
Joint18 X:0.172767, Y:-1.041093, Z:1.286093
Joint19 X:0.184767, Y:-1.069832, Z:1.184410
Joint20 X:-0.016938, Y:0.034829, Z:1.259858
Joint21 X:-0.159539, Y:0.203356, Z:1.603137
Joint22 X:-0.156936, Y:0.191565, Z:1.572474
Joint23 X:0.109402, Y:0.228847, Z:1.619870
Joint24 X:0.119248, Y:0.216547, Z:1.602869
Joint0 X:0.131833, Y:-0.429798, Z:1.253840
Joint1 X:0.085930, Y:-0.179590, Z:1.262647
Joint2 X:0.042849, Y:0.061049, Z:1.258521
Joint3 X:0.101293, Y:0.161609, Z:1.277524
Joint4 X:-0.028864, Y:-0.053184, Z:1.238643
Joint5 X:-0.113379, Y:-0.024704, Z:1.439409
Joint6 X:-0.024558, Y:0.123774, Z:1.452475
Joint7 X:-0.023292, Y:0.109415, Z:1.539439
Joint8 X:0.254138, Y:-0.012231, Z:1.260056
Joint9 X:0.314108, Y:0.093242, Z:1.444361
Joint10 X:0.260890, Y:0.188563, Z:1.568999
Joint11 X:0.243867, Y:0.220500, Z:1.613681
Joint12 X:0.070836, Y:-0.425252, Z:1.227489
Joint13 X:0.008507, Y:-0.747840, Z:1.222563
Joint14 X:-0.048184, Y:-1.055310, Z:1.239784
Joint15 X:-0.051776, Y:-1.081050, Z:1.135837
Joint16 X:0.186979, Y:-0.415267, Z:1.224506
Joint17 X:0.262933, Y:-0.726144, Z:1.262360
Joint18 X:0.337003, Y:-1.022863, Z:1.320102
