Joint0 X:-0.017559, Y:-0.568866, Z:1.368040
Joint1 X:-0.037202, Y:-0.307650, Z:1.347173
Joint2 X:-0.057377, Y:-0.053324, Z:1.310669
Joint3 X:-0.068789, Y:0.069972, Z:1.358001
Joint4 X:-0.191940, Y:-0.113950, Z:1.334231
Joint5 X:-0.247603, Y:-0.330831, Z:1.342466
Joint6 X:-0.214639, Y:-0.548036, Z:1.367889
Joint7 X:-0.241041, Y:-0.585615, Z:1.420616
Joint8 X:0.137374, Y:-0.090501, Z:1.423249
Joint9 X:0.241647, Y:-0.268882, Z:1.519111
Joint10 X:0.225672, Y:-0.490626, Z:1.484874
Joint11 X:0.164095, Y:-0.530051, Z:1.417454
Joint12 X:-0.086979, Y:-0.555175, Z:1.333829
Joint13 X:-0.064584, Y:-0.904748, Z:1.208202
Joint14 X:-0.044428, Y:-1.255025, Z:1.110904
Joint15 X:-0.016714, Y:-1.264964, Z:0.990495
Joint16 X:0.051316, Y:-0.554883, Z:1.338107
Joint17 X:0.192127, Y:-0.885752, Z:1.304064
Joint18 X:0.330071, Y:-1.218554, Z:1.297677
Joint19 X:0.366059, Y:-1.235221, Z:1.182715
Joint20 X:-0.052480, Y:-0.115783, Z:1.322381
Joint21 X:-0.244488, Y:-0.618708, Z:1.429355
Joint22 X:-0.231370, Y:-0.586172, Z:1.389542
Joint23 X:0.162819, Y:-0.566613, Z:1.412252
Joint24 X:0.166578, Y:-0.483217, Z:1.385295
Joint0 X:-0.023545, Y:-0.568858, Z:1.366860
Joint1 X:-0.040292, Y:-0.308656, Z:1.346386
Joint2 X:-0.057905, Y:-0.054621, Z:1.310069
Joint3 X:-0.072153, Y:0.068401, Z:1.357850
Joint4 X:-0.196583, Y:-0.118640, Z:1.328888
Joint5 X:-0.267494, Y:-0.373397, Z:1.369763
Joint6 X:-0.251506, Y:-0.575548, Z:1.447805
Joint7 X:-0.263195, Y:-0.564124, Z:1.438649
Joint8 X:0.134135, Y:-0.088324, Z:1.427162
Joint9 X:0.236829, Y:-0.275650, Z:1.517623
Joint10 X:0.224860, Y:-0.497597, Z:1.485025
Joint11 X:0.157480, Y:-0.541496, Z:1.417817
Joint12 X:-0.092840, Y:-0.555135, Z:1.329869
Joint13 X:-0.028683, Y:-0.897558, Z:1.193761
Joint14 X:0.031902, Y:-1.240248, Z:1.086069
Joint15 X:0.063895, Y:-1.247338, Z:0.966678
Joint16 X:0.044731, Y:-0.555297, Z:1.338549
Joint17 X:0.194019, Y:-0.882669, Z:1.305931
Joint18 X:0.339857, Y:-1.211579, Z:1.300917
Joint19 X:0.378608, Y:-1.227388, Z:1.186951
Joint20 X:-0.053521, Y:-0.117062, Z:1.321782
Joint21 X:-0.265465, Y:-0.585774, Z:1.437663
Joint22 X:-0.241745, Y:-0.577679, Z:1.396750
Joint23 X:0.155833, Y:-0.574213, Z:1.412775
Joint24 X:0.156151, Y:-0.500872, Z:1.391600
Joint0 X:-0.026449, Y:-0.568724, Z:1.363882
Joint1 X:-0.043911, Y:-0.309392, Z:1.345208
Joint2 X:-0.061436, Y:-0.056496, Z:1.310208
Joint3 X:-0.072122, Y:0.066752, Z:1.358026
Joint4 X:-0.181374, Y:-0.113854, Z:1.330996
Joint5 X:-0.253278, Y:-0.332197, Z:1.345039
Joint6 X:-0.250044, Y:-0.535517, Z:1.422188
Joint7 X:-0.257588, Y:-0.536733, Z:1.427276
Joint8 X:0.146923, Y:-0.090844, Z:1.430231
Joint9 X:0.244919, Y:-0.261001, Z:1.521129
Joint10 X:0.223580, Y:-0.482135, Z:1.485285
Joint11 X:0.162496, Y:-0.518726, Z:1.414186
Joint12 X:-0.094871, Y:-0.554340, Z:1.327532
Joint13 X:-0.057584, Y:-0.896921, Z:1.178971
Joint14 X:-0.023143, Y:-1.239356, Z:1.059066
Joint15 X:0.007828, Y:-1.245358, Z:0.939080
Joint16 X:0.042599, Y:-0.555826, Z:1.334092
Joint17 X:0.193471, Y:-0.882197, Z:1.308356
Joint18 X:0.340669, Y:-1.209914, Z:1.310139
Joint19 X:0.380554, Y:-1.225962, Z:1.196789
Joint20 X:-0.057157, Y:-0.118663, Z:1.321582
Joint21 X:-0.253475, Y:-0.582174, Z:1.431205
Joint22 X:-0.236541, Y:-0.505477, Z:1.397545
Joint23 X:0.159568, Y:-0.556836, Z:1.411678
Joint24 X:0.167635, Y:-0.474204, Z:1.387125
Joint0 X:-0.010218, Y:-0.573388, Z:1.369702
Joint1 X:-0.036411, Y:-0.311461, Z:1.347846
Joint2 X:-0.059750, Y:-0.056827, Z:1.310663
Joint3 X:-0.058532, Y:0.066632, Z:1.358503
Joint4 X:-0.174094, Y:-0.130279, Z:1.335290
Joint5 X:-0.233784, Y:-0.422513, Z:1.380438
Joint6 X:-0.156535, Y:-0.619602, Z:1.298608
Joint7 X:-0.143504, Y:-0.661241, Z:1.256904
Joint8 X:0.156409, Y:-0.093294, Z:1.430930
Joint9 X:0.258784, Y:-0.267079, Z:1.524938
Joint10 X:0.232600, Y:-0.486972, Z:1.482968
Joint11 X:0.198949, Y:-0.483783, Z:1.440788
Joint12 X:-0.079362, Y:-0.560137, Z:1.334477
Joint13 X:-0.216873, Y:-0.890310, Z:1.252746
Joint14 X:-0.351686, Y:-1.221115, Z:1.199195
Joint15 X:-0.335544, Y:-1.240664, Z:1.078115
Joint16 X:0.059802, Y:-0.559836, Z:1.341100
Joint17 X:0.212415, Y:-0.885342, Z:1.314427
Joint18 X:0.361542, Y:-1.212019, Z:1.315272
Joint19 X:0.400091, Y:-1.228261, Z:1.201564
Joint20 X:-0.054337, Y:-0.119322, Z:1.322455
Joint21 X:-0.111428, Y:-0.704230, Z:1.235109
Joint22 X:-0.112000, Y:-0.628367, Z:1.226147
Joint23 X:0.176066, Y:-0.555376, Z:1.420972
Joint24 X:0.176157, Y:-0.448815, Z:1.381511
Joint0 X:-0.004523, Y:-0.574054, Z:1.371790
Joint1 X:-0.031528, Y:-0.312175, Z:1.349455
Joint2 X:-0.056594, Y:-0.056980, Z:1.311432
Joint3 X:-0.051090, Y:0.066277, Z:1.359045
Joint4 X:-0.166006, Y:-0.124580, Z:1.334331
Joint5 X:-0.223001, Y:-0.340661, Z:1.344648
Joint6 X:-0.113335, Y:-0.516441, Z:1.246995
Joint7 X:-0.083992, Y:-0.560048, Z:1.243175
Joint8 X:0.161524, Y:-0.094621, Z:1.431662
Joint9 X:0.264555, Y:-0.275041, Z:1.526500
Joint10 X:0.233976, Y:-0.494089, Z:1.482690
Joint11 X:0.202767, Y:-0.479447, Z:1.440188
Joint12 X:-0.073638, Y:-0.560511, Z:1.337963
Joint13 X:-0.206088, Y:-0.893901, Z:1.267386
Joint14 X:-0.335849, Y:-1.227780, Z:1.224893
Joint15 X:-0.319117, Y:-1.249499, Z:1.104622
Joint16 X:0.065097, Y:-0.560577, Z:1.341590
Joint17 X:0.223393, Y:-0.883364, Z:1.317460
Joint18 X:0.378076, Y:-1.207304, Z:1.320801
Joint19 X:0.417689, Y:-1.223317, Z:1.207610
Joint20 X:-0.050630, Y:-0.119703, Z:1.323481
Joint21 X:-0.047818, Y:-0.618350, Z:1.224398
Joint22 X:-0.047083, Y:-0.523416, Z:1.218602
Joint23 X:0.179439, Y:-0.549213, Z:1.422615
Joint24 X:0.179095, Y:-0.447332, Z:1.380903
Joint0 X:-0.003114, Y:-0.573735, Z:1.371931
Joint1 X:-0.030033, Y:-0.311796, Z:1.349576
