Joint0 X:-0.008974, Y:-0.549894, Z:1.377586
Joint1 X:-0.025685, Y:-0.244184, Z:1.414935
Joint2 X:-0.041599, Y:0.051716, Z:1.435598
Joint3 X:-0.045347, Y:0.180586, Z:1.429013
Joint4 X:-0.217717, Y:-0.046694, Z:1.452219
Joint5 X:-0.203302, Y:-0.332536, Z:1.367902
Joint6 X:-0.294589, Y:-0.475412, Z:1.500731
Joint7 X:-0.299746, Y:-0.471888, Z:1.500172
Joint8 X:0.157377, Y:-0.043503, Z:1.423213
Joint9 X:0.192342, Y:-0.293565, Z:1.372962
Joint10 X:0.218224, Y:-0.511440, Z:1.407264
Joint11 X:0.208215, Y:-0.576238, Z:1.414565
Joint12 X:-0.099417, Y:-0.542819, Z:1.354538
Joint13 X:-0.176321, Y:-0.937170, Z:1.283548
Joint14 X:-0.246915, Y:-1.299739, Z:1.243644
Joint15 X:-0.261997, Y:-1.312554, Z:1.112906
Joint16 X:0.082043, Y:-0.531029, Z:1.335329
Joint17 X:0.167458, Y:-0.924481, Z:1.274242
Joint18 X:0.245373, Y:-1.286125, Z:1.243455
Joint19 X:0.245427, Y:-1.303268, Z:1.112422
Joint20 X:-0.037779, Y:-0.020824, Z:1.432999
Joint21 X:-0.295973, Y:-0.471184, Z:1.491482
Joint22 X:-0.290040, Y:-0.468912, Z:1.478673
Joint23 X:0.217043, Y:-0.640904, Z:1.407151
Joint24 X:0.183297, Y:-0.565814, Z:1.375363
Joint0 X:-0.008118, Y:-0.548954, Z:1.378735
Joint1 X:-0.022149, Y:-0.244139, Z:1.413849
Joint2 X:-0.033932, Y:0.049893, Z:1.430443
Joint3 X:-0.040270, Y:0.181765, Z:1.424094
Joint4 X:-0.219931, Y:-0.046305, Z:1.460115
Joint5 X:-0.249695, Y:-0.347857, Z:1.428536
Joint6 X:-0.309004, Y:-0.533130, Z:1.525683
Joint7 X:-0.329388, Y:-0.595678, Z:1.561734
Joint8 X:0.163735, Y:-0.042415, Z:1.430136
Joint9 X:0.192129, Y:-0.294153, Z:1.372887
Joint10 X:0.223255, Y:-0.511998, Z:1.403866
Joint11 X:0.205704, Y:-0.569484, Z:1.414746
Joint12 X:-0.098214, Y:-0.541015, Z:1.354637
Joint13 X:-0.174673, Y:-0.935454, Z:1.282607
Joint14 X:-0.244846, Y:-1.298060, Z:1.241757
Joint15 X:-0.259816, Y:-1.310993, Z:1.111035
Joint16 X:0.082732, Y:-0.530695, Z:1.337631
Joint17 X:0.165714, Y:-0.924374, Z:1.269465
Joint18 X:0.241455, Y:-1.286153, Z:1.232205
Joint19 X:0.240666, Y:-1.302050, Z:1.100813
Joint20 X:-0.031182, Y:-0.022095, Z:1.429051
Joint21 X:-0.317102, Y:-0.600645, Z:1.554689
Joint22 X:-0.320375, Y:-0.590597, Z:1.540626
Joint23 X:0.214751, Y:-0.640716, Z:1.407329
Joint24 X:0.186879, Y:-0.601980, Z:1.382750
Joint0 X:-0.012168, Y:-0.549747, Z:1.380570
Joint1 X:-0.026599, Y:-0.245550, Z:1.412001
Joint2 X:-0.040740, Y:0.048058, Z:1.425154
Joint3 X:-0.045539, Y:0.177478, Z:1.412779
Joint4 X:-0.221512, Y:-0.046753, Z:1.454991
Joint5 X:-0.207575, Y:-0.334505, Z:1.374825
Joint6 X:-0.305557, Y:-0.472948, Z:1.507557
Joint7 X:-0.338718, Y:-0.519915, Z:1.555495
Joint8 X:0.158769, Y:-0.042400, Z:1.424809
Joint9 X:0.192267, Y:-0.294166, Z:1.372316
Joint10 X:0.216542, Y:-0.512954, Z:1.403176
Joint11 X:0.208592, Y:-0.578895, Z:1.411388
Joint12 X:-0.102944, Y:-0.543280, Z:1.357971
Joint13 X:-0.168932, Y:-0.938678, Z:1.274792
Joint14 X:-0.229794, Y:-1.302092, Z:1.223732
Joint15 X:-0.243242, Y:-1.313704, Z:1.092522
Joint16 X:0.079222, Y:-0.530254, Z:1.338135
Joint17 X:0.176746, Y:-0.920853, Z:1.273555
Joint18 X:0.265443, Y:-1.279892, Z:1.239563
Joint19 X:0.266114, Y:-1.296696, Z:1.108445
Joint20 X:-0.037327, Y:-0.023884, Z:1.424597
Joint21 X:-0.349822, Y:-0.508161, Z:1.550893
Joint22 X:-0.334148, Y:-0.512901, Z:1.534509
Joint23 X:0.205251, Y:-0.648529, Z:1.402607
Joint24 X:0.176269, Y:-0.538000, Z:1.358667
Joint0 X:-0.011165, Y:-0.549560, Z:1.378481
Joint1 X:-0.027723, Y:-0.245499, Z:1.410553
Joint2 X:-0.043428, Y:0.048274, Z:1.424140
Joint3 X:-0.048367, Y:0.177493, Z:1.412087
Joint4 X:-0.220594, Y:-0.046565, Z:1.452932
Joint5 X:-0.209717, Y:-0.334835, Z:1.377012
Joint6 X:-0.303573, Y:-0.479881, Z:1.505948
Joint7 X:-0.335367, Y:-0.529045, Z:1.552619
Joint8 X:0.156273, Y:-0.042527, Z:1.421912
Joint9 X:0.191074, Y:-0.293327, Z:1.367753
Joint10 X:0.209538, Y:-0.551662, Z:1.399726
Joint11 X:0.206273, Y:-0.612788, Z:1.404376
Joint12 X:-0.101676, Y:-0.543070, Z:1.356626
Joint13 X:-0.163972, Y:-0.938130, Z:1.264148
Joint14 X:-0.221493, Y:-1.301162, Z:1.204584
Joint15 X:-0.234605, Y:-1.311082, Z:1.072982
Joint16 X:0.079963, Y:-0.530028, Z:1.335019
Joint17 X:0.178150, Y:-0.920765, Z:1.280723
Joint18 X:0.267466, Y:-1.280009, Z:1.256137
Joint19 X:0.268433, Y:-1.299043, Z:1.125689
Joint20 X:-0.039539, Y:-0.023721, Z:1.423439
Joint21 X:-0.335586, Y:-0.524590, Z:1.545028
Joint22 X:-0.328774, Y:-0.523117, Z:1.530248
Joint23 X:0.202519, Y:-0.671407, Z:1.394759
Joint24 X:0.184365, Y:-0.636611, Z:1.358818
Joint0 X:-0.010521, Y:-0.549634, Z:1.373162
Joint1 X:-0.028878, Y:-0.245018, Z:1.405717
Joint2 X:-0.046364, Y:0.049352, Z:1.420348
Joint3 X:-0.052916, Y:0.178091, Z:1.411530
Joint4 X:-0.220858, Y:-0.046074, Z:1.453065
Joint5 X:-0.208811, Y:-0.336776, Z:1.379186
Joint6 X:-0.310909, Y:-0.470731, Z:1.513336
Joint7 X:-0.345440, Y:-0.516210, Z:1.561745
Joint8 X:0.152286, Y:-0.043496, Z:1.414260
Joint9 X:0.188821, Y:-0.294383, Z:1.354930
Joint10 X:0.207982, Y:-0.562581, Z:1.400682
Joint11 X:0.206807, Y:-0.615284, Z:1.401243
Joint12 X:-0.100995, Y:-0.543667, Z:1.354870
Joint13 X:-0.161431, Y:-0.938643, Z:1.259591
Joint14 X:-0.217273, Y:-1.301607, Z:1.197462
Joint15 X:-0.232303, Y:-1.310868, Z:1.066064
Joint16 X:0.080473, Y:-0.529219, Z:1.324134
Joint17 X:0.169059, Y:-0.922056, Z:1.287388
Joint18 X:0.249818, Y:-1.283349, Z:1.278862
Joint19 X:0.248272, Y:-1.306971, Z:1.149976
Joint20 X:-0.042086, Y:-0.022788, Z:1.419327
Joint21 X:-0.345608, Y:-0.511843, Z:1.554136
Joint22 X:-0.338628, Y:-0.510613, Z:1.539251
Joint23 X:0.202091, Y:-0.664160, Z:1.399194
Joint24 X:0.184208, Y:-0.619555, Z:1.351143
Joint0 X:-0.006588, Y:-0.550382, Z:1.323700
Joint1 X:-0.020207, Y:-0.239937, Z:1.356481
Joint2 X:-0.032923, Y:0.059487, Z:1.370738
Joint3 X:-0.050607, Y:0.181404, Z:1.399060
Joint4 X:-0.234472, Y:-0.026523, Z:1.496495
Joint5 X:-0.269696, Y:-0.288214, Z:1.496798
Joint6 X:-0.252346, Y:-0.512389, Z:1.475744
Joint7 X:-0.258689, Y:-0.576990, Z:1.475248
Joint8 X:0.100316, Y:-0.048130, Z:1.332035
Joint9 X:0.161109, Y:-0.295561, Z:1.184102
Joint10 X:0.204631, Y:-0.514054, Z:1.217402
Joint11 X:0.199421, Y:-0.569884, Z:1.219640
Joint12 X:-0.086471, Y:-0.549876, Z:1.340548
Joint13 X:-0.164023, Y:-0.941315, Z:1.242661
Joint14 X:-0.234932, Y:-1.301180, Z:1.178174
Joint15 X:-0.284585, Y:-1.308177, Z:1.058835
Joint16 X:0.072157, Y:-0.522987, Z:1.239264
Joint17 X:0.268773, Y:-0.858616, Z:1.301633
Joint18 X:0.446010, Y:-1.169549, Z:1.383362
Joint19 X:0.447526, Y:-1.239769, Z:1.288648
Joint20 X:-0.029918, Y:-0.013772, Z:1.369872
Joint21 X:-0.252425, Y:-0.579933, Z:1.470480
Joint22 X:-0.231027, Y:-0.574690, Z:1.450732
Joint23 X:0.216458, Y:-0.648297, Z:1.241303
Joint24 X:0.225458, Y:-0.580505, Z:1.167429
Joint0 X:-0.007086, Y:-0.550956, Z:1.312514
Joint1 X:-0.016947, Y:-0.239967, Z:1.348600
Joint2 X:-0.025653, Y:0.060101, Z:1.365156
Joint3 X:-0.038383, Y:0.182326, Z:1.392164
Joint4 X:-0.233204, Y:-0.026616, Z:1.499409
Joint5 X:-0.264589, Y:-0.280310, Z:1.498826
Joint6 X:-0.251869, Y:-0.504700, Z:1.475191
Joint7 X:-0.230113, Y:-0.497364, Z:1.489621
Joint8 X:0.092288, Y:-0.050355, Z:1.324365
Joint9 X:0.135311, Y:-0.305394, Z:1.153219
Joint10 X:0.181262, Y:-0.522487, Z:1.172725
Joint11 X:0.176015, Y:-0.578287, Z:1.181408
Joint12 X:-0.083413, Y:-0.553100, Z:1.334356
Joint13 X:-0.159231, Y:-0.946790, Z:1.256394
Joint14 X:-0.228562, Y:-1.308910, Z:1.210136
Joint15 X:-0.282349, Y:-1.318078, Z:1.093528
Joint16 X:0.069162, Y:-0.520812, Z:1.224739
Joint17 X:0.282659, Y:-0.854183, Z:1.259688
Joint18 X:0.474837, Y:-1.162868, Z:1.316433
Joint19 X:0.474189, Y:-1.226320, Z:1.214502
Joint20 X:-0.023723, Y:-0.013322, Z:1.363760
Joint21 X:-0.253728, Y:-0.498412, Z:1.493977
Joint22 X:-0.210708, Y:-0.488114, Z:1.460400
Joint23 X:0.204646, Y:-0.667179, Z:1.195545
Joint24 X:0.194304, Y:-0.580392, Z:1.129676
Joint0 X:-0.002999, Y:-0.523593, Z:1.318996
Joint1 X:-0.012091, Y:-0.228462, Z:1.348806
Joint2 X:-0.020959, Y:0.060528, Z:1.361840
Joint3 X:-0.032770, Y:0.182211, Z:1.388972
Joint4 X:-0.232096, Y:-0.026890, Z:1.500502
Joint5 X:-0.263089, Y:-0.279068, Z:1.499367
Joint6 X:-0.251036, Y:-0.503482, Z:1.475403
Joint7 X:-0.228768, Y:-0.497079, Z:1.489747
Joint8 X:0.193988, Y:0.007568, Z:1.547015
Joint9 X:0.151681, Y:-0.185239, Z:1.295448
Joint10 X:0.158977, Y:-0.463818, Z:1.156015
Joint11 X:0.178538, Y:-0.533819, Z:1.161043
Joint12 X:-0.085992, Y:-0.533679, Z:1.338696
Joint13 X:-0.142068, Y:-0.931064, Z:1.257758
Joint14 X:-0.193764, Y:-1.296085, Z:1.208813
Joint15 X:-0.188154, Y:-1.309807, Z:1.076985
Joint16 X:0.081337, Y:-0.486905, Z:1.234370
Joint17 X:0.267606, Y:-0.843176, Z:1.231399
Joint18 X:0.435633, Y:-1.171294, Z:1.253834
Joint19 X:0.468389, Y:-1.190035, Z:1.130157
Joint20 X:-0.019067, Y:-0.010754, Z:1.361226
Joint21 X:-0.253728, Y:-0.498412, Z:1.493977
Joint22 X:-0.206082, Y:-0.486794, Z:1.458750
Joint23 X:0.188838, Y:-0.583597, Z:1.142267
Joint24 X:0.186828, Y:-0.570198, Z:1.130333
Joint0 X:0.001671, Y:-0.521169, Z:1.321843
Joint1 X:-0.008967, Y:-0.226150, Z:1.348117
Joint2 X:-0.018906, Y:0.060139, Z:1.357249
Joint3 X:-0.031135, Y:0.183246, Z:1.382065
Joint4 X:-0.231027, Y:-0.026331, Z:1.501242
Joint5 X:-0.262869, Y:-0.278068, Z:1.499582
Joint6 X:-0.249045, Y:-0.502368, Z:1.474869
Joint7 X:-0.224078, Y:-0.495962, Z:1.485446
Joint8 X:0.193699, Y:0.006521, Z:1.547407
Joint9 X:0.163774, Y:-0.188902, Z:1.296116
Joint10 X:0.187137, Y:-0.480985, Z:1.194644
Joint11 X:0.189738, Y:-0.552568, Z:1.200744
Joint12 X:-0.082608, Y:-0.529841, Z:1.340832
Joint13 X:-0.138083, Y:-0.926757, Z:1.252283
Joint14 X:-0.189171, Y:-1.291216, Z:1.196381
Joint15 X:-0.183142, Y:-1.303889, Z:1.064300
Joint16 X:0.086898, Y:-0.486890, Z:1.238388
Joint17 X:0.248881, Y:-0.853271, Z:1.244016
Joint18 X:0.395357, Y:-1.190510, Z:1.274343
Joint19 X:0.426054, Y:-1.213852, Z:1.151442
Joint20 X:-0.016409, Y:-0.009995, Z:1.357671
Joint21 X:-0.249164, Y:-0.497426, Z:1.490982
Joint22 X:-0.203551, Y:-0.486264, Z:1.454800
Joint23 X:0.206975, Y:-0.628898, Z:1.173138
Joint24 X:0.217765, Y:-0.537787, Z:1.185455
Joint0 X:0.002914, Y:-0.546995, Z:1.325956
Joint1 X:-0.010567, Y:-0.236514, Z:1.346768
Joint2 X:-0.022636, Y:0.058649, Z:1.350914
Joint3 X:-0.032477, Y:0.184671, Z:1.371121
Joint4 X:-0.226348, Y:-0.028519, Z:1.488781
Joint5 X:-0.277771, Y:-0.301074, Z:1.496123
Joint6 X:-0.262744, Y:-0.525255, Z:1.474333
Joint7 X:-0.193180, Y:-0.568528, Z:1.406217
Joint8 X:0.113569, Y:-0.051836, Z:1.320164
Joint9 X:0.198098, Y:-0.305156, Z:1.231131
Joint10 X:0.224107, Y:-0.523381, Z:1.262996
Joint11 X:0.221365, Y:-0.590652, Z:1.284592
Joint12 X:-0.078088, Y:-0.542284, Z:1.327848
Joint13 X:-0.153442, Y:-0.936969, Z:1.258357
Joint14 X:-0.222270, Y:-1.299851, Z:1.219883
