Joint0 X:-0.024691, Y:-0.394520, Z:1.399137
Joint1 X:-0.024670, Y:-0.072258, Z:1.404652
Joint2 X:-0.027707, Y:0.237489, Z:1.398736
Joint3 X:-0.041641, Y:0.352965, Z:1.410639
Joint4 X:-0.230716, Y:0.121492, Z:1.446831
Joint5 X:-0.291925, Y:-0.113467, Z:1.412429
Joint6 X:-0.269441, Y:-0.305228, Z:1.468129
Joint7 X:-0.255166, Y:-0.313570, Z:1.480565
Joint8 X:0.159663, Y:0.113404, Z:1.409091
Joint9 X:0.262486, Y:-0.108249, Z:1.445693
Joint10 X:0.212153, Y:-0.299751, Z:1.487074
Joint11 X:0.204413, Y:-0.312333, Z:1.473684
Joint12 X:-0.090974, Y:-0.386932, Z:1.369885
Joint13 X:-0.078148, Y:-0.642955, Z:1.304439
Joint14 X:-0.063678, Y:-0.997751, Z:1.257723
Joint15 X:-0.068495, Y:-1.007545, Z:1.148486
Joint16 X:0.042902, Y:-0.382550, Z:1.358887
Joint17 X:0.053317, Y:-0.646080, Z:1.297901
Joint18 X:0.067872, Y:-0.994208, Z:1.258811
Joint19 X:0.060363, Y:-1.005094, Z:1.149922
Joint20 X:-0.026687, Y:0.161954, Z:1.402286
Joint21 X:-0.233603, Y:-0.387600, Z:1.442661
Joint22 X:-0.223293, Y:-0.303071, Z:1.442077
Joint23 X:0.193127, Y:-0.353793, Z:1.416763
Joint24 X:0.173306, Y:-0.310983, Z:1.398007
Joint0 X:-0.023156, Y:-0.391985, Z:1.397882
Joint1 X:-0.041661, Y:-0.068802, Z:1.419126
Joint2 X:-0.065457, Y:0.239256, Z:1.427248
Joint3 X:-0.071689, Y:0.353563, Z:1.431353
Joint4 X:-0.230638, Y:0.120741, Z:1.443643
Joint5 X:-0.289518, Y:-0.118472, Z:1.400423
Joint6 X:-0.278698, Y:-0.294642, Z:1.491022
Joint7 X:-0.254845, Y:-0.314313, Z:1.477204
Joint8 X:0.147054, Y:0.117597, Z:1.411803
Joint9 X:0.255856, Y:-0.098748, Z:1.469544
Joint10 X:0.223630, Y:-0.294278, Z:1.510231
Joint11 X:0.220176, Y:-0.275931, Z:1.499418
Joint12 X:-0.089426, Y:-0.385063, Z:1.369947
Joint13 X:-0.077266, Y:-0.641909, Z:1.304145
Joint14 X:-0.063709, Y:-0.995974, Z:1.257180
Joint15 X:-0.067662, Y:-1.004421, Z:1.147158
Joint16 X:0.044535, Y:-0.379070, Z:1.355728
Joint17 X:0.053400, Y:-0.645061, Z:1.300715
Joint18 X:0.065860, Y:-0.991704, Z:1.269770
Joint19 X:0.059149, Y:-1.002831, Z:1.160554
Joint20 X:-0.059597, Y:0.164255, Z:1.427697
Joint21 X:-0.230739, Y:-0.390026, Z:1.437168
Joint22 X:-0.217585, Y:-0.328124, Z:1.408005
Joint23 X:0.207025, Y:-0.327558, Z:1.470306
Joint24 X:0.169145, Y:-0.275440, Z:1.426520
Joint0 X:-0.022956, Y:-0.392164, Z:1.398124
Joint1 X:-0.048419, Y:-0.069280, Z:1.420310
Joint2 X:-0.076730, Y:0.239369, Z:1.426479
Joint3 X:-0.086905, Y:0.353443, Z:1.432355
Joint4 X:-0.232916, Y:0.120300, Z:1.442240
Joint5 X:-0.286743, Y:-0.120077, Z:1.383963
Joint6 X:-0.279959, Y:-0.289143, Z:1.486233
Joint7 X:-0.262684, Y:-0.305765, Z:1.480991
Joint8 X:0.139650, Y:0.117330, Z:1.404433
Joint9 X:0.252035, Y:-0.093835, Z:1.476451
Joint10 X:0.217564, Y:-0.292218, Z:1.505256
Joint11 X:0.216018, Y:-0.295453, Z:1.494269
Joint12 X:-0.089239, Y:-0.385612, Z:1.370709
Joint13 X:-0.074925, Y:-0.641151, Z:1.303115
Joint14 X:-0.058378, Y:-0.995923, Z:1.253461
Joint15 X:-0.063512, Y:-1.004128, Z:1.143453
Joint16 X:0.044794, Y:-0.379013, Z:1.355506
Joint17 X:0.053096, Y:-0.643127, Z:1.302888
Joint18 X:0.065009, Y:-0.991863, Z:1.274836
Joint19 X:0.056822, Y:-1.003678, Z:1.165935
Joint20 X:-0.069853, Y:0.164168, Z:1.427489
Joint21 X:-0.245408, Y:-0.335368, Z:1.488804
Joint22 X:-0.225898, Y:-0.330225, Z:1.400601
Joint23 X:0.198167, Y:-0.345961, Z:1.431807
Joint24 X:0.171632, Y:-0.295148, Z:1.411709
Joint0 X:-0.027578, Y:-0.393003, Z:1.391251
Joint1 X:-0.052399, Y:-0.068701, Z:1.416648
Joint2 X:-0.078390, Y:0.240888, Z:1.423966
Joint3 X:-0.088440, Y:0.354927, Z:1.431478
Joint4 X:-0.231512, Y:0.120492, Z:1.436368
Joint5 X:-0.283288, Y:-0.117450, Z:1.371627
Joint6 X:-0.280431, Y:-0.282366, Z:1.480386
Joint7 X:-0.267559, Y:-0.297619, Z:1.481931
Joint8 X:0.134973, Y:0.116983, Z:1.400458
Joint9 X:0.249815, Y:-0.098015, Z:1.479481
Joint10 X:0.215802, Y:-0.297220, Z:1.506332
Joint11 X:0.205666, Y:-0.309650, Z:1.484781
Joint12 X:-0.094931, Y:-0.385211, Z:1.361638
Joint13 X:-0.073273, Y:-0.638965, Z:1.297235
Joint14 X:-0.046795, Y:-0.995142, Z:1.251607
Joint15 X:-0.050716, Y:-1.003862, Z:1.141466
Joint16 X:0.041175, Y:-0.380751, Z:1.350153
Joint17 X:0.050629, Y:-0.642938, Z:1.302577
Joint18 X:0.064088, Y:-0.993620, Z:1.281022
Joint19 X:0.056420, Y:-1.006514, Z:1.172254
Joint20 X:-0.071986, Y:0.165486, Z:1.424809
Joint21 X:-0.260790, Y:-0.327394, Z:1.483642
Joint22 X:-0.230346, Y:-0.326030, Z:1.400409
Joint23 X:0.190989, Y:-0.356720, Z:1.417798
Joint24 X:0.171929, Y:-0.302849, Z:1.411415
Joint0 X:-0.026339, Y:-0.393231, Z:1.391531
Joint1 X:-0.051311, Y:-0.067884, Z:1.415506
Joint2 X:-0.075080, Y:0.243801, Z:1.420832
Joint3 X:-0.083986, Y:0.359331, Z:1.430345
Joint4 X:-0.230782, Y:0.121062, Z:1.435709
Joint5 X:-0.282092, Y:-0.117214, Z:1.369993
Joint6 X:-0.280061, Y:-0.281335, Z:1.479794
Joint7 X:-0.266864, Y:-0.297198, Z:1.482087
Joint8 X:0.134351, Y:0.116847, Z:1.398746
Joint9 X:0.249793, Y:-0.103220, Z:1.481150
Joint10 X:0.214404, Y:-0.302387, Z:1.506826
Joint11 X:0.204143, Y:-0.314206, Z:1.482386
Joint12 X:-0.093998, Y:-0.385166, Z:1.360608
Joint13 X:-0.072694, Y:-0.637920, Z:1.295685
Joint14 X:-0.046509, Y:-0.995026, Z:1.249138
Joint15 X:-0.050750, Y:-1.003781, Z:1.138972
Joint16 X:0.043097, Y:-0.381437, Z:1.352345
Joint17 X:0.050065, Y:-0.642971, Z:1.302453
Joint18 X:0.060408, Y:-0.994403, Z:1.277792
Joint19 X:0.052145, Y:-1.006820, Z:1.168839
Joint20 X:-0.069397, Y:0.167801, Z:1.422158
Joint21 X:-0.267292, Y:-0.329341, Z:1.499267
Joint22 X:-0.228102, Y:-0.328305, Z:1.394960
Joint23 X:0.192126, Y:-0.361593, Z:1.416795
Joint24 X:0.175678, Y:-0.303487, Z:1.432200
Joint0 X:-0.022526, Y:-0.392891, Z:1.392327
Joint1 X:-0.044338, Y:-0.065823, Z:1.412343
Joint2 X:-0.063577, Y:0.247568, Z:1.413834
Joint3 X:-0.064239, Y:0.372667, Z:1.425400
Joint4 X:-0.229352, Y:0.122800, Z:1.436015
Joint5 X:-0.281593, Y:-0.116956, Z:1.376779
Joint6 X:-0.274419, Y:-0.285679, Z:1.480203
Joint7 X:-0.262202, Y:-0.302649, Z:1.476641
Joint8 X:0.139580, Y:0.116397, Z:1.396498
Joint9 X:0.251903, Y:-0.109454, Z:1.478416
Joint10 X:0.212608, Y:-0.307107, Z:1.507848
Joint11 X:0.200086, Y:-0.317255, Z:1.478920
Joint12 X:-0.089510, Y:-0.384462, Z:1.359919
Joint13 X:-0.072378, Y:-0.638000, Z:1.295758
Joint14 X:-0.051819, Y:-0.995096, Z:1.250451
Joint15 X:-0.057035, Y:-1.004343, Z:1.140574
Joint16 X:0.046268, Y:-0.381497, Z:1.354238
Joint17 X:0.051207, Y:-0.642733, Z:1.302881
Joint18 X:0.059021, Y:-0.994518, Z:1.276271
Joint19 X:0.050038, Y:-1.006799, Z:1.167391
Joint20 X:-0.059077, Y:0.171196, Z:1.416028
Joint21 X:-0.235709, Y:-0.388520, Z:1.431708
Joint22 X:-0.221727, Y:-0.325641, Z:1.389894
Joint23 X:0.192535, Y:-0.362372, Z:1.419808
Joint24 X:0.175490, Y:-0.312621, Z:1.408688
Joint0 X:-0.019309, Y:-0.394085, Z:1.393088
Joint1 X:-0.033757, Y:-0.063277, Z:1.406817
Joint2 X:-0.043487, Y:0.255656, Z:1.399052
Joint3 X:-0.042919, Y:0.377428, Z:1.426542
Joint4 X:-0.217258, Y:0.125528, Z:1.423201
Joint5 X:-0.285123, Y:-0.115487, Z:1.379104
Joint6 X:-0.274160, Y:-0.287178, Z:1.478000
Joint7 X:-0.256380, Y:-0.310630, Z:1.467185
Joint8 X:0.144061, Y:0.116898, Z:1.397063
Joint9 X:0.253667, Y:-0.112342, Z:1.473314
Joint10 X:0.212402, Y:-0.308159, Z:1.508895
Joint11 X:0.198522, Y:-0.319190, Z:1.475467
Joint12 X:-0.086402, Y:-0.385327, Z:1.357518
Joint13 X:-0.072624, Y:-0.640305, Z:1.297823
Joint14 X:-0.056659, Y:-0.997011, Z:1.258996
Joint15 X:-0.059460, Y:-1.007693, Z:1.149631
Joint16 X:0.049705, Y:-0.383343, Z:1.358473
Joint17 X:0.051970, Y:-0.642773, Z:1.303269
Joint18 X:0.056446, Y:-0.996128, Z:1.271328
Joint19 X:0.049992, Y:-1.007879, Z:1.162293
Joint20 X:-0.041716, Y:0.177724, Z:1.403981
Joint21 X:-0.233849, Y:-0.388669, Z:1.432226
Joint22 X:-0.219067, Y:-0.325958, Z:1.392930
Joint23 X:0.192673, Y:-0.362631, Z:1.420824
Joint24 X:0.176882, Y:-0.315930, Z:1.412712
Joint0 X:-0.015416, Y:-0.394778, Z:1.394119
Joint1 X:-0.022666, Y:-0.062264, Z:1.406970
Joint2 X:-0.025668, Y:0.256899, Z:1.400066
Joint3 X:-0.018976, Y:0.375689, Z:1.431131
Joint4 X:-0.203811, Y:0.123043, Z:1.406432
Joint5 X:-0.289137, Y:-0.115489, Z:1.381166
Joint6 X:-0.271792, Y:-0.290132, Z:1.475085
Joint7 X:-0.251598, Y:-0.314980, Z:1.462412
Joint8 X:0.161803, Y:0.121943, Z:1.417521
Joint9 X:0.251098, Y:-0.107100, Z:1.463943
Joint10 X:0.221653, Y:-0.301670, Z:1.511586
Joint11 X:0.205317, Y:-0.314271, Z:1.482096
Joint12 X:-0.084404, Y:-0.385530, Z:1.353248
Joint13 X:-0.071722, Y:-0.640032, Z:1.298620
Joint14 X:-0.057135, Y:-0.997852, Z:1.266759
Joint15 X:-0.051794, Y:-1.009352, Z:1.157523
Joint16 X:0.055919, Y:-0.384367, Z:1.366231
Joint17 X:0.056061, Y:-0.642299, Z:1.303893
Joint18 X:0.057927, Y:-0.996306, Z:1.262136
Joint19 X:0.059384, Y:-1.006347, Z:1.152292
Joint20 X:-0.025217, Y:0.179118, Z:1.404420
