Joint0 X:0.056907, Y:-0.431171, Z:1.397346
Joint1 X:0.031008, Y:-0.131314, Z:1.368369
Joint2 X:0.006260, Y:0.158069, Z:1.322820
Joint3 X:-0.036355, Y:0.268919, Z:1.362789
Joint4 X:-0.116163, Y:0.019886, Z:1.263740
Joint5 X:-0.201645, Y:-0.189331, Z:1.269034
Joint6 X:-0.149203, Y:-0.384119, Z:1.385180
Joint7 X:-0.143001, Y:-0.421341, Z:1.367667
Joint8 X:0.111636, Y:0.047357, Z:1.318721
Joint9 X:0.303062, Y:-0.083532, Z:1.466285
Joint10 X:0.395767, Y:-0.263887, Z:1.504962
Joint11 X:0.324285, Y:-0.270645, Z:1.481086
Joint12 X:-0.023064, Y:-0.427851, Z:1.357828
Joint13 X:-0.063020, Y:-0.821474, Z:1.334641
Joint14 X:-0.100208, Y:-1.191632, Z:1.339051
Joint15 X:-0.079116, Y:-1.222715, Z:1.219051
Joint16 X:0.134124, Y:-0.413750, Z:1.369467
Joint17 X:0.133759, Y:-0.810165, Z:1.342133
Joint18 X:0.135923, Y:-1.182571, Z:1.342499
Joint19 X:0.158076, Y:-1.211666, Z:1.222514
Joint20 X:0.012307, Y:0.087366, Z:1.336725
Joint21 X:-0.165969, Y:-0.450881, Z:1.373131
Joint22 X:-0.119501, Y:-0.408680, Z:1.332000
Joint23 X:0.314176, Y:-0.285063, Z:1.481356
Joint24 X:0.309728, Y:-0.267013, Z:1.450961
Joint0 X:0.014096, Y:-0.463772, Z:1.427321
Joint1 X:0.010323, Y:-0.127422, Z:1.462662
Joint2 X:0.007093, Y:0.193191, Z:1.478067
Joint3 X:0.001461, Y:0.319075, Z:1.506764
Joint4 X:-0.172036, Y:0.030156, Z:1.473556
Joint5 X:-0.309288, Y:-0.149019, Z:1.496915
Joint6 X:-0.255625, Y:-0.352180, Z:1.498435
Joint7 X:-0.265445, Y:-0.362935, Z:1.577959
Joint8 X:0.184894, Y:0.039215, Z:1.455143
Joint9 X:0.355718, Y:-0.142834, Z:1.515116
Joint10 X:0.249273, Y:-0.321530, Z:1.463698
Joint11 X:0.211301, Y:-0.334751, Z:1.407465
Joint12 X:-0.068645, Y:-0.454725, Z:1.396372
Joint13 X:-0.035266, Y:-0.883456, Z:1.360318
Joint14 X:-0.002031, Y:-1.342328, Z:1.356070
Joint15 X:-0.003462, Y:-1.367166, Z:1.218748
Joint16 X:0.096620, Y:-0.448502, Z:1.384418
Joint17 X:0.117469, Y:-0.877758, Z:1.349355
Joint18 X:0.141588, Y:-1.337056, Z:1.346242
Joint19 X:0.136191, Y:-1.362165, Z:1.209172
Joint20 X:0.007871, Y:0.115249, Z:1.476957
Joint21 X:-0.264108, Y:-0.367956, Z:1.576554
Joint22 X:-0.265606, Y:-0.356770, Z:1.556540
Joint23 X:0.200691, Y:-0.419585, Z:1.359009
Joint24 X:0.177368, Y:-0.306723, Z:1.352907
Joint0 X:0.012826, Y:-0.464024, Z:1.427234
Joint1 X:0.009692, Y:-0.127912, Z:1.462981
Joint2 X:0.006686, Y:0.192583, Z:1.479370
Joint3 X:-0.000743, Y:0.318423, Z:1.507795
Joint4 X:-0.174326, Y:0.029497, Z:1.474909
Joint5 X:-0.310311, Y:-0.149962, Z:1.499390
Joint6 X:-0.224935, Y:-0.341568, Z:1.506591
Joint7 X:-0.182812, Y:-0.377826, Z:1.478833
Joint8 X:0.184690, Y:0.039149, Z:1.455364
Joint9 X:0.353876, Y:-0.143248, Z:1.516404
Joint10 X:0.251827, Y:-0.323716, Z:1.463837
Joint11 X:0.200982, Y:-0.349020, Z:1.401200
Joint12 X:-0.069949, Y:-0.455171, Z:1.396488
Joint13 X:-0.035931, Y:-0.883283, Z:1.359453
Joint14 X:-0.001259, Y:-1.352571, Z:1.354264
Joint15 X:-0.002968, Y:-1.376999, Z:1.217119
Joint16 X:0.095178, Y:-0.448707, Z:1.384240
Joint17 X:0.110136, Y:-0.877528, Z:1.351744
Joint18 X:0.128518, Y:-1.347475, Z:1.351599
Joint19 X:0.122084, Y:-1.373028, Z:1.215032
Joint20 X:0.007406, Y:0.114612, Z:1.477957
Joint21 X:-0.201043, Y:-0.459219, Z:1.468340
Joint22 X:-0.261813, Y:-0.357306, Z:1.552600
Joint23 X:0.191459, Y:-0.433681, Z:1.360811
Joint24 X:0.173767, Y:-0.312035, Z:1.353405
Joint0 X:0.011368, Y:-0.464673, Z:1.427604
Joint1 X:0.009064, Y:-0.128394, Z:1.463449
Joint2 X:0.006545, Y:0.192477, Z:1.480143
Joint3 X:-0.001208, Y:0.318258, Z:1.508904
Joint4 X:-0.175533, Y:0.028912, Z:1.475703
Joint5 X:-0.310885, Y:-0.150269, Z:1.500658
Joint6 X:-0.234985, Y:-0.345582, Z:1.507760
Joint7 X:-0.183267, Y:-0.388442, Z:1.478696
Joint8 X:0.184582, Y:0.039051, Z:1.455536
Joint9 X:0.351985, Y:-0.146321, Z:1.516392
Joint10 X:0.250634, Y:-0.326776, Z:1.462647
Joint11 X:0.198653, Y:-0.350878, Z:1.395346
Joint12 X:-0.071302, Y:-0.455798, Z:1.396831
Joint13 X:-0.036188, Y:-0.883828, Z:1.359437
Joint14 X:-0.000197, Y:-1.355413, Z:1.353862
Joint15 X:-0.001968, Y:-1.379737, Z:1.216720
Joint16 X:0.093542, Y:-0.449491, Z:1.384773
Joint17 X:0.104519, Y:-0.878336, Z:1.354329
Joint18 X:0.118677, Y:-1.350722, Z:1.356478
Joint19 X:0.111574, Y:-1.376744, Z:1.220145
Joint20 X:0.007160, Y:0.114368, Z:1.478648
Joint21 X:-0.197044, Y:-0.462786, Z:1.456854
Joint22 X:-0.263891, Y:-0.358102, Z:1.559800
Joint23 X:0.189785, Y:-0.432231, Z:1.356759
Joint24 X:0.173108, Y:-0.315728, Z:1.352175
Joint0 X:0.011163, Y:-0.465471, Z:1.428250
Joint1 X:0.009110, Y:-0.128901, Z:1.463794
Joint2 X:0.006769, Y:0.192329, Z:1.480356
Joint3 X:-0.001048, Y:0.318106, Z:1.509196
Joint4 X:-0.174744, Y:0.028679, Z:1.476846
Joint5 X:-0.310789, Y:-0.150002, Z:1.500945
Joint6 X:-0.239664, Y:-0.346582, Z:1.508785
Joint7 X:-0.182261, Y:-0.387190, Z:1.484128
Joint8 X:0.184798, Y:0.038819, Z:1.455554
Joint9 X:0.351835, Y:-0.146517, Z:1.516162
Joint10 X:0.249476, Y:-0.326204, Z:1.463210
Joint11 X:0.202513, Y:-0.348150, Z:1.399946
Joint12 X:-0.071449, Y:-0.456515, Z:1.397554
Joint13 X:-0.036307, Y:-0.884514, Z:1.360336
Joint14 X:-0.000902, Y:-1.347835, Z:1.354856
Joint15 X:-0.003026, Y:-1.372317, Z:1.217672
Joint16 X:0.093256, Y:-0.450416, Z:1.385423
Joint17 X:0.102765, Y:-0.879268, Z:1.355125
Joint18 X:0.115105, Y:-1.343421, Z:1.357201
Joint19 X:0.107448, Y:-1.369556, Z:1.220833
Joint20 X:0.007350, Y:0.114130, Z:1.478897
Joint21 X:-0.194431, Y:-0.464450, Z:1.459202
Joint22 X:-0.263187, Y:-0.357494, Z:1.556509
Joint23 X:0.192708, Y:-0.431296, Z:1.359060
Joint24 X:0.174537, Y:-0.314016, Z:1.352913
Joint0 X:0.011670, Y:-0.466320, Z:1.429523
Joint1 X:0.009328, Y:-0.129451, Z:1.464575
Joint2 X:0.006847, Y:0.192189, Z:1.480757
Joint3 X:-0.000918, Y:0.318008, Z:1.509398
Joint4 X:-0.174195, Y:0.028833, Z:1.476875
Joint5 X:-0.310686, Y:-0.149805, Z:1.501144
Joint6 X:-0.242297, Y:-0.347022, Z:1.509431
Joint7 X:-0.181434, Y:-0.384661, Z:1.486536
Joint8 X:0.185563, Y:0.038466, Z:1.455992
Joint9 X:0.352228, Y:-0.146300, Z:1.516720
Joint10 X:0.249216, Y:-0.325544, Z:1.464558
Joint11 X:0.205360, Y:-0.343158, Z:1.405016
Joint12 X:-0.071022, Y:-0.457318, Z:1.398769
Joint13 X:-0.036735, Y:-0.885334, Z:1.362095
Joint14 X:-0.002384, Y:-1.346493, Z:1.357176
Joint15 X:-0.004449, Y:-1.371142, Z:1.220015
Joint16 X:0.093819, Y:-0.451313, Z:1.386776
Joint17 X:0.102133, Y:-0.880190, Z:1.356139
Joint18 X:0.113166, Y:-1.342179, Z:1.357784
Joint19 X:0.105519, Y:-1.368243, Z:1.221356
Joint20 X:0.007461, Y:0.113882, Z:1.479400
Joint21 X:-0.193743, Y:-0.464412, Z:1.459178
Joint22 X:-0.263207, Y:-0.357514, Z:1.556611
Joint23 X:0.195764, Y:-0.428070, Z:1.362024
Joint24 X:0.174973, Y:-0.311927, Z:1.355294
Joint0 X:0.012171, Y:-0.466959, Z:1.430732
Joint1 X:0.009550, Y:-0.129903, Z:1.465492
Joint2 X:0.006901, Y:0.192085, Z:1.481413
Joint3 X:-0.000811, Y:0.318068, Z:1.510014
Joint4 X:-0.173648, Y:0.029289, Z:1.476589
Joint5 X:-0.310360, Y:-0.149360, Z:1.501405
Joint6 X:-0.244240, Y:-0.347012, Z:1.510216
Joint7 X:-0.181033, Y:-0.380042, Z:1.489902
Joint8 X:0.185659, Y:0.038399, Z:1.456163
Joint9 X:0.352674, Y:-0.145754, Z:1.517465
Joint10 X:0.248823, Y:-0.324557, Z:1.466622
Joint11 X:0.209413, Y:-0.335537, Z:1.412383
Joint12 X:-0.070560, Y:-0.457974, Z:1.400120
Joint13 X:-0.037510, Y:-0.885999, Z:1.364936
Joint14 X:-0.004461, Y:-1.346991, Z:1.361618
Joint15 X:-0.006500, Y:-1.372019, Z:1.224577
Joint16 X:0.094333, Y:-0.451937, Z:1.387862
Joint17 X:0.101898, Y:-0.880778, Z:1.357939
Joint18 X:0.112150, Y:-1.342544, Z:1.360344
Joint19 X:0.104575, Y:-1.368790, Z:1.223968
Joint20 X:0.007551, Y:0.113671, Z:1.480135
Joint21 X:-0.193999, Y:-0.464561, Z:1.460960
Joint22 X:-0.262895, Y:-0.357465, Z:1.555709
Joint23 X:0.197634, Y:-0.422806, Z:1.365493
Joint24 X:0.176266, Y:-0.306715, Z:1.360000
Joint0 X:0.012471, Y:-0.467176, Z:1.430915
Joint1 X:0.009720, Y:-0.130089, Z:1.465701
Joint2 X:0.007003, Y:0.192000, Z:1.481627
Joint3 X:-0.000830, Y:0.318022, Z:1.510181
Joint4 X:-0.173480, Y:0.029596, Z:1.476138
Joint5 X:-0.310148, Y:-0.149149, Z:1.501497
Joint6 X:-0.242317, Y:-0.345897, Z:1.511756
Joint7 X:-0.181125, Y:-0.375282, Z:1.490240
Joint8 X:0.185663, Y:0.038372, Z:1.456183
Joint9 X:0.352835, Y:-0.145665, Z:1.517710
Joint10 X:0.248589, Y:-0.324072, Z:1.466995
Joint11 X:0.211191, Y:-0.332780, Z:1.414838
Joint12 X:-0.070325, Y:-0.458212, Z:1.400333
Joint13 X:-0.037506, Y:-0.886202, Z:1.366169
Joint14 X:-0.004378, Y:-1.351747, Z:1.364037
Joint15 X:-0.006274, Y:-1.376976, Z:1.227120
Joint16 X:0.094689, Y:-0.452127, Z:1.388002
Joint17 X:0.101199, Y:-0.880941, Z:1.358934
Joint18 X:0.110451, Y:-1.347272, Z:1.362395
Joint19 X:0.102913, Y:-1.373675, Z:1.226131
Joint20 X:0.007671, Y:0.113546, Z:1.480358
Joint21 X:-0.197866, Y:-0.466427, Z:1.466843
Joint22 X:-0.262537, Y:-0.356256, Z:1.550696
Joint23 X:0.200816, Y:-0.421066, Z:1.370742
Joint24 X:0.176609, Y:-0.307998, Z:1.358741
Joint0 X:0.012629, Y:-0.467389, Z:1.431043
Joint1 X:0.009835, Y:-0.130270, Z:1.465833
Joint2 X:0.007078, Y:0.191918, Z:1.481756
Joint3 X:-0.000794, Y:0.318014, Z:1.510182
Joint4 X:-0.172912, Y:0.029189, Z:1.477384
Joint5 X:-0.310170, Y:-0.149020, Z:1.501648
Joint6 X:-0.244257, Y:-0.346286, Z:1.511453
Joint7 X:-0.182419, Y:-0.378297, Z:1.492583
Joint8 X:0.185742, Y:0.038239, Z:1.456202
Joint9 X:0.352967, Y:-0.145336, Z:1.518085
Joint10 X:0.250091, Y:-0.324278, Z:1.467079
Joint11 X:0.207908, Y:-0.338262, Z:1.410664
Joint12 X:-0.070212, Y:-0.458448, Z:1.400535
Joint13 X:-0.037580, Y:-0.886439, Z:1.366443
Joint14 X:-0.004530, Y:-1.353704, Z:1.364424
Joint15 X:-0.006874, Y:-1.378959, Z:1.227549
Joint16 X:0.094892, Y:-0.452329, Z:1.388076
Joint17 X:0.100855, Y:-0.881095, Z:1.359948
Joint18 X:0.109566, Y:-1.349103, Z:1.364489
Joint19 X:0.101537, Y:-1.375730, Z:1.228354
Joint20 X:0.007762, Y:0.113431, Z:1.480492
Joint21 X:-0.196136, Y:-0.462344, Z:1.464555
Joint22 X:-0.264530, Y:-0.358708, Z:1.560278
Joint23 X:0.197480, Y:-0.424185, Z:1.367689
Joint24 X:0.176023, Y:-0.309197, Z:1.358122
Joint0 X:0.012586, Y:-0.467518, Z:1.431161
Joint1 X:0.009834, Y:-0.130406, Z:1.465971
Joint2 X:0.007130, Y:0.191838, Z:1.481917
Joint3 X:-0.000792, Y:0.317979, Z:1.510298
Joint4 X:-0.173313, Y:0.029410, Z:1.476869
Joint5 X:-0.310238, Y:-0.149113, Z:1.501739
