Joint0 X:0.021042, Y:-0.402907, Z:1.451645
Joint1 X:0.005220, Y:-0.112886, Z:1.462577
Joint2 X:-0.010214, Y:0.166793, Z:1.458370
Joint3 X:-0.018991, Y:0.286627, Z:1.467839
Joint4 X:-0.184155, Y:0.016312, Z:1.472301
Joint5 X:-0.298137, Y:-0.189193, Z:1.498544
Joint6 X:-0.244687, Y:-0.386777, Z:1.458656
Joint7 X:-0.196889, Y:-0.421040, Z:1.438495
Joint8 X:0.192559, Y:0.078115, Z:1.513744
Joint9 X:0.296476, Y:-0.157007, Z:1.536809
Joint10 X:0.259395, Y:-0.356972, Z:1.488854
Joint11 X:0.168837, Y:-0.385127, Z:1.374000
Joint12 X:-0.066777, Y:-0.398177, Z:1.416882
Joint13 X:-0.080434, Y:-0.790484, Z:1.340175
Joint14 X:-0.093917, Y:-1.153259, Z:1.293400
Joint15 X:-0.084849, Y:-1.170932, Z:1.165126
Joint16 X:0.107846, Y:-0.389553, Z:1.421590
Joint17 X:0.123875, Y:-0.781373, Z:1.338216
Joint18 X:0.140159, Y:-1.143527, Z:1.285203
Joint19 X:0.149097, Y:-1.159669, Z:1.156747
Joint20 X:-0.006449, Y:0.098371, Z:1.461721
Joint21 X:-0.199495, Y:-0.445044, Z:1.404837
Joint22 X:-0.191581, Y:-0.392171, Z:1.439674
Joint23 X:0.131940, Y:-0.429736, Z:1.318382
Joint24 X:0.206021, Y:-0.455713, Z:1.400866
Joint0 X:0.021139, Y:-0.402591, Z:1.450528
Joint1 X:0.005341, Y:-0.112682, Z:1.462178
Joint2 X:-0.010106, Y:0.166858, Z:1.458335
Joint3 X:-0.017186, Y:0.286845, Z:1.466743
Joint4 X:-0.183579, Y:0.016408, Z:1.470958
Joint5 X:-0.297036, Y:-0.189009, Z:1.496709
Joint6 X:-0.245758, Y:-0.387669, Z:1.459757
Joint7 X:-0.197215, Y:-0.422445, Z:1.441115
Joint8 X:0.193188, Y:0.078034, Z:1.513682
Joint9 X:0.296505, Y:-0.157160, Z:1.536998
Joint10 X:0.259674, Y:-0.357216, Z:1.488653
Joint11 X:0.170250, Y:-0.385001, Z:1.373149
Joint12 X:-0.066689, Y:-0.397782, Z:1.415605
Joint13 X:-0.079175, Y:-0.790071, Z:1.338037
Joint14 X:-0.091593, Y:-1.152817, Z:1.290460
Joint15 X:-0.082105, Y:-1.170240, Z:1.162154
Joint16 X:0.108004, Y:-0.389319, Z:1.420552
Joint17 X:0.123733, Y:-0.781244, Z:1.338057
Joint18 X:0.139750, Y:-1.143493, Z:1.285858
Joint19 X:0.148992, Y:-1.159696, Z:1.157452
Joint20 X:-0.006341, Y:0.098450, Z:1.461629
Joint21 X:-0.200907, Y:-0.445518, Z:1.408722
Joint22 X:-0.193893, Y:-0.399080, Z:1.441850
Joint23 X:0.134592, Y:-0.429600, Z:1.318569
Joint24 X:0.205858, Y:-0.455020, Z:1.399902
Joint0 X:0.021102, Y:-0.402409, Z:1.450131
Joint1 X:0.005393, Y:-0.112602, Z:1.462055
Joint2 X:-0.009971, Y:0.166876, Z:1.458379
Joint3 X:-0.016139, Y:0.286707, Z:1.466254
Joint4 X:-0.183359, Y:0.016530, Z:1.470780
Joint5 X:-0.296851, Y:-0.189220, Z:1.496032
Joint6 X:-0.245108, Y:-0.387917, Z:1.459861
Joint7 X:-0.196343, Y:-0.426740, Z:1.436946
Joint8 X:0.193820, Y:0.078287, Z:1.514804
Joint9 X:0.296541, Y:-0.157336, Z:1.537224
Joint10 X:0.259808, Y:-0.357388, Z:1.488494
Joint11 X:0.170232, Y:-0.384510, Z:1.373740
Joint12 X:-0.066718, Y:-0.397540, Z:1.415224
Joint13 X:-0.078479, Y:-0.789861, Z:1.337647
Joint14 X:-0.090240, Y:-1.152629, Z:1.290061
Joint15 X:-0.080366, Y:-1.170015, Z:1.161775
Joint16 X:0.107958, Y:-0.389208, Z:1.420141
Joint17 X:0.123787, Y:-0.781177, Z:1.338130
Joint18 X:0.139894, Y:-1.143467, Z:1.286379
Joint19 X:0.149473, Y:-1.159708, Z:1.158020
Joint20 X:-0.006239, Y:0.098480, Z:1.461633
Joint21 X:-0.201404, Y:-0.448918, Z:1.413296
Joint22 X:-0.191025, Y:-0.402688, Z:1.433167
Joint23 X:0.134616, Y:-0.429143, Z:1.318792
Joint24 X:0.206213, Y:-0.455831, Z:1.400192
Joint0 X:0.020868, Y:-0.402063, Z:1.448466
Joint1 X:0.005449, Y:-0.112547, Z:1.461451
Joint2 X:-0.009717, Y:0.166717, Z:1.458455
Joint3 X:-0.015317, Y:0.285513, Z:1.464701
Joint4 X:-0.182707, Y:0.017005, Z:1.471156
Joint5 X:-0.297950, Y:-0.190978, Z:1.498482
Joint6 X:-0.239676, Y:-0.386849, Z:1.453851
Joint7 X:-0.193491, Y:-0.416576, Z:1.434713
Joint8 X:0.194335, Y:0.078316, Z:1.515073
Joint9 X:0.296518, Y:-0.157475, Z:1.537522
Joint10 X:0.259673, Y:-0.357482, Z:1.487727
Joint11 X:0.170457, Y:-0.383356, Z:1.371624
Joint12 X:-0.066824, Y:-0.397021, Z:1.413395
Joint13 X:-0.077181, Y:-0.789478, Z:1.336773
Joint14 X:-0.087669, Y:-1.152364, Z:1.290070
Joint15 X:-0.077729, Y:-1.169780, Z:1.161803
Joint16 X:0.107621, Y:-0.389039, Z:1.418620
Joint17 X:0.124109, Y:-0.781147, Z:1.338406
Joint18 X:0.140815, Y:-1.143567, Z:1.288323
Joint19 X:0.150434, Y:-1.159984, Z:1.160017
Joint20 X:-0.006036, Y:0.098384, Z:1.461593
Joint21 X:-0.197131, Y:-0.444107, Z:1.400584
Joint22 X:-0.190928, Y:-0.391483, Z:1.439046
Joint23 X:0.136987, Y:-0.429614, Z:1.317851
Joint24 X:0.205564, Y:-0.454557, Z:1.399042
Joint0 X:0.020524, Y:-0.401852, Z:1.446858
Joint1 X:0.005335, Y:-0.112558, Z:1.460615
Joint2 X:-0.009631, Y:0.166510, Z:1.458362
Joint3 X:-0.014948, Y:0.284465, Z:1.463227
Joint4 X:-0.182565, Y:0.017223, Z:1.471710
