Joint0 X:-0.380358, Y:-0.667821, Z:1.162014
Joint1 X:-0.366499, Y:-0.412262, Z:1.217025
Joint2 X:-0.357383, Y:-0.161120, Z:1.254616
Joint3 X:-0.363937, Y:-0.023754, Z:1.302175
Joint4 X:-0.458441, Y:-0.197501, Z:1.206214
Joint5 X:-0.572782, Y:-0.396568, Z:1.111726
Joint6 X:-0.391165, Y:-0.423153, Z:1.076074
Joint7 X:-0.353620, Y:-0.443087, Z:1.094682
Joint8 X:-0.201879, Y:-0.241700, Z:1.257299
Joint9 X:-0.064968, Y:-0.087253, Z:1.223435
Joint10 X:-0.195793, Y:0.119174, Z:1.182471
Joint11 X:-0.238669, Y:0.168858, Z:1.176572
Joint12 X:-0.487814, Y:-0.637555, Z:1.117135
Joint13 X:-0.676966, Y:-0.738643, Z:0.746168
Joint14 X:-0.861429, Y:-0.842875, Z:0.415496
Joint15 X:-0.830684, Y:-0.802064, Z:0.293225
Joint16 X:-0.256773, Y:-0.663208, Z:1.144122
Joint17 X:-0.602095, Y:-0.362734, Z:1.130791
Joint18 X:-0.871190, Y:-0.139836, Z:1.135044
Joint19 X:-0.868330, Y:-0.074515, Z:1.015331
Joint20 X:-0.358796, Y:-0.223242, Z:1.247989
Joint21 X:-0.289992, Y:-0.449052, Z:1.096714
Joint22 X:-0.322375, Y:-0.377943, Z:1.108563
Joint23 X:-0.300799, Y:0.238663, Z:1.175349
Joint24 X:-0.261361, Y:0.118796, Z:1.217467
Joint0 X:-0.373952, Y:-0.669866, Z:1.158307
Joint1 X:-0.365261, Y:-0.431607, Z:1.222500
Joint2 X:-0.359355, Y:-0.198004, Z:1.259096
Joint3 X:-0.366299, Y:-0.057174, Z:1.302849
Joint4 X:-0.462053, Y:-0.192200, Z:1.206893
Joint5 X:-0.573089, Y:-0.393397, Z:1.112778
Joint6 X:-0.333841, Y:-0.364835, Z:1.088904
Joint7 X:-0.288291, Y:-0.378852, Z:1.147880
Joint8 X:-0.203560, Y:-0.245296, Z:1.257789
Joint9 X:-0.065638, Y:-0.084815, Z:1.222656
Joint10 X:-0.196301, Y:0.121896, Z:1.183162
Joint11 X:-0.235457, Y:0.172009, Z:1.181374
Joint12 X:-0.483298, Y:-0.638626, Z:1.113295
Joint13 X:-0.678916, Y:-0.734055, Z:0.744237
Joint14 X:-0.869366, Y:-0.833023, Z:0.415392
Joint15 X:-0.838002, Y:-0.788481, Z:0.293851
Joint16 X:-0.245774, Y:-0.666824, Z:1.142449
Joint17 X:-0.062191, Y:-0.679998, Z:1.401889
Joint18 X:-0.269224, Y:-0.864874, Z:1.216309
Joint19 X:-0.304137, Y:-0.770904, Z:1.090497
Joint20 X:-0.361791, Y:-0.251593, Z:1.251227
Joint21 X:-0.245792, Y:-0.352134, Z:1.167922
Joint22 X:-0.298892, Y:-0.301746, Z:1.145800
Joint23 X:-0.293614, Y:0.241622, Z:1.175512
Joint24 X:-0.264588, Y:0.135966, Z:1.216675
Joint0 X:-0.338553, Y:-0.699076, Z:1.159465
Joint1 X:-0.358450, Y:-0.451489, Z:1.216210
Joint2 X:-0.367152, Y:-0.211302, Z:1.256255
Joint3 X:-0.369630, Y:-0.061079, Z:1.303033
Joint4 X:-0.506677, Y:-0.286492, Z:1.179529
Joint5 X:-0.616660, Y:-0.472966, Z:1.083633
Joint6 X:-0.380484, Y:-0.388156, Z:1.085381
