Joint0 X:-0.372238, Y:-0.477931, Z:1.336664
Joint1 X:-0.353504, Y:-0.174145, Z:1.412261
Joint2 X:-0.330846, Y:0.117162, Z:1.470426
Joint3 X:-0.331801, Y:0.272162, Z:1.456248
Joint4 X:-0.521806, Y:0.018313, Z:1.396343
Joint5 X:-0.584779, Y:-0.217735, Z:1.356500
Joint6 X:-0.582697, Y:-0.436492, Z:1.239338
Joint7 X:-0.573622, Y:-0.505561, Z:1.208997
Joint8 X:-0.165136, Y:-0.016735, Z:1.415927
Joint9 X:-0.018286, Y:-0.099416, Z:1.234350
Joint10 X:0.035841, Y:0.039281, Z:1.062725
Joint11 X:0.038420, Y:0.070508, Z:1.048288
Joint12 X:-0.453438, Y:-0.459387, Z:1.296131
Joint13 X:-0.491941, Y:-0.845231, Z:1.177688
Joint14 X:-0.536270, Y:-1.214793, Z:1.090511
Joint15 X:-0.525052, Y:-1.215467, Z:0.959108
Joint16 X:-0.272853, Y:-0.473255, Z:1.311299
Joint17 X:-0.268433, Y:-0.866963, Z:1.226399
Joint18 X:-0.269495, Y:-1.244312, Z:1.171950
Joint19 X:-0.256617, Y:-1.252549, Z:1.041484
Joint20 X:-0.336986, Y:0.045923, Z:1.458408
Joint21 X:-0.584113, Y:-0.565397, Z:1.176416
Joint22 X:-0.516438, Y:-0.505466, Z:1.204192
Joint23 X:0.051592, Y:0.147778, Z:1.049466
Joint24 X:-0.031811, Y:0.077011, Z:1.015789
Joint0 X:-0.371260, Y:-0.477973, Z:1.334358
Joint1 X:-0.356414, Y:-0.173849, Z:1.407712
Joint2 X:-0.339973, Y:0.117865, Z:1.463567
Joint3 X:-0.329225, Y:0.272159, Z:1.453290
Joint4 X:-0.520057, Y:0.019226, Z:1.393959
Joint5 X:-0.582592, Y:-0.216953, Z:1.353859
Joint6 X:-0.578195, Y:-0.435435, Z:1.236088
Joint7 X:-0.564926, Y:-0.498926, Z:1.206741
Joint8 X:-0.166027, Y:-0.013560, Z:1.414222
Joint9 X:-0.026620, Y:-0.107939, Z:1.242008
Joint10 X:0.044351, Y:0.038045, Z:1.058806
Joint11 X:0.048064, Y:0.064322, Z:1.044426
Joint12 X:-0.452701, Y:-0.459747, Z:1.294593
Joint13 X:-0.492456, Y:-0.845341, Z:1.175805
Joint14 X:-0.537952, Y:-1.214675, Z:1.088310
Joint15 X:-0.526814, Y:-1.215415, Z:0.956958
Joint16 X:-0.271523, Y:-0.472757, Z:1.308576
Joint17 X:-0.263339, Y:-0.866871, Z:1.227850
Joint18 X:-0.260882, Y:-1.244619, Z:1.177390
Joint19 X:-0.247560, Y:-1.253908, Z:1.047219
Joint20 X:-0.344473, Y:0.046560, Z:1.452125
Joint21 X:-0.565946, Y:-0.548807, Z:1.176975
Joint22 X:-0.512460, Y:-0.493240, Z:1.204600
Joint23 X:0.068710, Y:0.134933, Z:1.046274
Joint24 X:-0.011481, Y:0.060347, Z:1.011411
Joint0 X:-0.370153, Y:-0.476676, Z:1.332552
Joint1 X:-0.356102, Y:-0.172878, Z:1.406257
Joint2 X:-0.339531, Y:0.118564, Z:1.462546
Joint3 X:-0.326891, Y:0.273078, Z:1.452713
Joint4 X:-0.518778, Y:0.020357, Z:1.393230
Joint5 X:-0.581005, Y:-0.215885, Z:1.352609
Joint6 X:-0.576365, Y:-0.434154, Z:1.234379
Joint7 X:-0.562662, Y:-0.498988, Z:1.205841
Joint8 X:-0.165880, Y:-0.010110, Z:1.413300
Joint9 X:-0.033646, Y:-0.112970, Z:1.233014
Joint10 X:0.048391, Y:0.030031, Z:1.055111
Joint11 X:0.053335, Y:0.050891, Z:1.042823
Joint12 X:-0.451832, Y:-0.458711, Z:1.293016
Joint13 X:-0.494236, Y:-0.843941, Z:1.174107
Joint14 X:-0.542209, Y:-1.212918, Z:1.086518
Joint15 X:-0.531601, Y:-1.213550, Z:0.955157
Joint16 X:-0.270181, Y:-0.471201, Z:1.306580
Joint17 X:-0.249499, Y:-0.865911, Z:1.235618
Joint18 X:-0.235366, Y:-1.244242, Z:1.194453
