Joint0 X:-0.002623, Y:-0.438980, Z:1.370967
Joint1 X:0.013315, Y:-0.095199, Z:1.388088
Joint2 X:0.027558, Y:0.233017, Z:1.384751
Joint3 X:0.030928, Y:0.366114, Z:1.424153
Joint4 X:-0.180668, Y:0.083645, Z:1.396686
Joint5 X:-0.332827, Y:-0.080867, Z:1.403901
Joint6 X:-0.304584, Y:0.162820, Z:1.531026
Joint7 X:-0.261534, Y:0.181694, Z:1.542531
Joint8 X:0.177878, Y:0.050480, Z:1.320295
Joint9 X:0.316790, Y:-0.119049, Z:1.330697
Joint10 X:0.307009, Y:0.099196, Z:1.496299
Joint11 X:0.297310, Y:0.146627, Z:1.555000
Joint12 X:-0.087853, Y:-0.425898, Z:1.343841
Joint13 X:-0.122823, Y:-0.851079, Z:1.338490
Joint14 X:-0.157345, Y:-1.256724, Z:1.362978
Joint15 X:-0.181745, Y:-1.284172, Z:1.237972
Joint16 X:0.082766, Y:-0.428595, Z:1.324582
Joint17 X:0.110616, Y:-0.854387, Z:1.317004
Joint18 X:0.138408, Y:-1.260654, Z:1.339416
Joint19 X:0.118505, Y:-1.290650, Z:1.213836
Joint20 X:0.024259, Y:0.153131, Z:1.388325
Joint21 X:-0.241272, Y:0.189395, Z:1.552598
Joint22 X:-0.299872, Y:0.182250, Z:1.501333
Joint23 X:0.257149, Y:0.179046, Z:1.573794
Joint24 X:0.232671, Y:0.176145, Z:1.503552
Joint0 X:-0.003842, Y:-0.447010, Z:1.366765
Joint1 X:0.004245, Y:-0.097993, Z:1.388166
Joint2 X:0.008168, Y:0.235831, Z:1.391181
Joint3 X:0.000454, Y:0.375379, Z:1.426658
Joint4 X:-0.163057, Y:0.069132, Z:1.347608
Joint5 X:-0.308654, Y:-0.145985, Z:1.306703
Joint6 X:-0.419928, Y:-0.084396, Z:1.540605
Joint7 X:-0.453249, Y:-0.095793, Z:1.600691
Joint8 X:0.159301, Y:0.060045, Z:1.304707
Joint9 X:0.256084, Y:-0.177777, Z:1.242604
Joint10 X:0.347102, Y:-0.348983, Z:1.297761
Joint11 X:0.384989, Y:-0.411363, Z:1.355308
Joint12 X:-0.089953, Y:-0.435654, Z:1.337253
Joint13 X:-0.114888, Y:-0.859433, Z:1.345641
Joint14 X:-0.140135, Y:-1.264171, Z:1.383228
Joint15 X:-0.156318, Y:-1.295816, Z:1.258309
Joint16 X:0.082380, Y:-0.434574, Z:1.322109
Joint17 X:0.122063, Y:-0.856672, Z:1.333545
Joint18 X:0.160907, Y:-1.259858, Z:1.374097
Joint19 X:0.150509, Y:-1.294423, Z:1.249419
Joint20 X:0.007365, Y:0.154478, Z:1.393002
Joint21 X:-0.444719, Y:-0.101900, Z:1.695139
Joint22 X:-0.484997, Y:-0.100538, Z:1.596200
Joint23 X:0.393539, Y:-0.483629, Z:1.405920
Joint24 X:0.354287, Y:-0.398618, Z:1.378429
Joint0 X:0.003641, Y:-0.455905, Z:1.361747
Joint1 X:0.003298, Y:-0.104913, Z:1.390471
Joint2 X:0.002207, Y:0.228226, Z:1.398705
Joint3 X:-0.004305, Y:0.371618, Z:1.427930
Joint4 X:-0.170205, Y:0.062306, Z:1.356917
