Joint0 X:0.011573, Y:-0.455747, Z:1.391026
Joint1 X:0.004344, Y:-0.111608, Z:1.446756
Joint2 X:-0.002966, Y:0.218389, Z:1.485602
Joint3 X:-0.010495, Y:0.367612, Z:1.519308
Joint4 X:-0.172031, Y:0.034574, Z:1.452625
Joint5 X:-0.319679, Y:-0.168011, Z:1.546625
Joint6 X:-0.274500, Y:-0.264485, Z:1.741233
Joint7 X:-0.260250, Y:-0.296992, Z:1.809757
Joint8 X:0.187833, Y:0.041291, Z:1.446968
Joint9 X:0.364278, Y:-0.138113, Z:1.543448
Joint10 X:0.269939, Y:-0.246821, Z:1.715630
Joint11 X:0.239423, Y:-0.283328, Z:1.776640
Joint12 X:-0.077671, Y:-0.447554, Z:1.362502
Joint13 X:-0.042584, Y:-0.888871, Z:1.335462
Joint14 X:-0.018408, Y:-1.211450, Z:1.333757
Joint15 X:-0.014626, Y:-1.242180, Z:1.195345
Joint16 X:0.100295, Y:-0.442389, Z:1.353900
Joint17 X:0.113339, Y:-0.883392, Z:1.345985
Joint18 X:0.124038, Y:-1.205803, Z:1.358349
Joint19 X:0.122428, Y:-1.242249, Z:1.222371
Joint20 X:-0.001154, Y:0.137826, Z:1.478268
Joint21 X:-0.261788, Y:-0.293311, Z:1.802836
Joint22 X:-0.255545, Y:-0.309220, Z:1.789825
Joint23 X:0.240767, Y:-0.284883, Z:1.780198
Joint24 X:0.240355, Y:-0.283637, Z:1.768537
Joint0 X:0.011835, Y:-0.455623, Z:1.390811
Joint1 X:0.004445, Y:-0.111613, Z:1.446719
Joint2 X:-0.002849, Y:0.218224, Z:1.485595
Joint3 X:-0.010391, Y:0.367437, Z:1.519259
Joint4 X:-0.172033, Y:0.034595, Z:1.452710
Joint5 X:-0.319908, Y:-0.166717, Z:1.546490
Joint6 X:-0.274277, Y:-0.264606, Z:1.740338
Joint7 X:-0.259877, Y:-0.297581, Z:1.808609
Joint8 X:0.187940, Y:0.041275, Z:1.447097
Joint9 X:0.364356, Y:-0.138432, Z:1.543568
Joint10 X:0.270016, Y:-0.247128, Z:1.715745
Joint11 X:0.239500, Y:-0.283630, Z:1.776753
Joint12 X:-0.077392, Y:-0.447448, Z:1.362225
Joint13 X:-0.040849, Y:-0.888922, Z:1.334087
Joint14 X:-0.015636, Y:-1.211451, Z:1.331573
Joint15 X:-0.011645, Y:-1.241878, Z:1.192993
Joint16 X:0.100549, Y:-0.442249, Z:1.353721
Joint17 X:0.116678, Y:-0.883326, Z:1.345999
Joint18 X:0.129587, Y:-1.205638, Z:1.358498
Joint19 X:0.128488, Y:-1.242165, Z:1.222502
Joint20 X:-0.001047, Y:0.137709, Z:1.478259
Joint21 X:-0.261417, Y:-0.293895, Z:1.801688
Joint22 X:-0.255505, Y:-0.309288, Z:1.789701
Joint23 X:0.240844, Y:-0.285184, Z:1.780311
Joint24 X:0.240395, Y:-0.283705, Z:1.768571
Joint0 X:0.012285, Y:-0.455450, Z:1.390007
Joint1 X:0.004616, Y:-0.111583, Z:1.446449
Joint2 X:-0.002732, Y:0.218160, Z:1.485559
Joint3 X:-0.010294, Y:0.367365, Z:1.519165
Joint4 X:-0.171986, Y:0.034647, Z:1.452745
Joint5 X:-0.320102, Y:-0.166311, Z:1.546537
Joint6 X:-0.274115, Y:-0.264697, Z:1.740058
Joint7 X:-0.259597, Y:-0.297836, Z:1.808220
Joint8 X:0.187965, Y:0.041277, Z:1.447147
Joint9 X:0.364445, Y:-0.138747, Z:1.543666
Joint10 X:0.270108, Y:-0.247425, Z:1.715831
Joint11 X:0.239593, Y:-0.283923, Z:1.776834
Joint12 X:-0.076895, Y:-0.447332, Z:1.361214
Joint13 X:-0.040086, Y:-0.889093, Z:1.333554
Joint14 X:-0.014696, Y:-1.211590, Z:1.331390
Joint15 X:-0.010647, Y:-1.242177, Z:1.192792
Joint16 X:0.100947, Y:-0.442036, Z:1.353076
Joint17 X:0.116523, Y:-0.883536, Z:1.344613
Joint18 X:0.129033, Y:-1.205906, Z:1.356558
Joint19 X:0.127841, Y:-1.242259, Z:1.220397
Joint20 X:-0.000927, Y:0.137667, Z:1.478174
Joint21 X:-0.261138, Y:-0.294149, Z:1.801299
Joint22 X:-0.255434, Y:-0.309374, Z:1.789633
Joint23 X:0.240936, Y:-0.285476, Z:1.780393
Joint24 X:0.240427, Y:-0.283757, Z:1.768592
Joint0 X:0.012944, Y:-0.455170, Z:1.388517
Joint1 X:0.004896, Y:-0.111441, Z:1.445926
Joint2 X:-0.002627, Y:0.218196, Z:1.485546
Joint3 X:-0.009980, Y:0.367418, Z:1.519213
Joint4 X:-0.171925, Y:0.034648, Z:1.452699
Joint5 X:-0.320281, Y:-0.165904, Z:1.546525
Joint6 X:-0.276097, Y:-0.265914, Z:1.739613
Joint7 X:-0.262179, Y:-0.299593, Z:1.807631
Joint8 X:0.187983, Y:0.041301, Z:1.447192
Joint9 X:0.364459, Y:-0.138867, Z:1.543811
Joint10 X:0.270124, Y:-0.247536, Z:1.715968
Joint11 X:0.239611, Y:-0.284031, Z:1.776970
Joint12 X:-0.076219, Y:-0.447123, Z:1.359724
Joint13 X:-0.039848, Y:-0.889063, Z:1.333284
Joint14 X:-0.014777, Y:-1.211545, Z:1.332016
Joint15 X:-0.010734, Y:-1.242499, Z:1.193520
Joint16 X:0.101544, Y:-0.441684, Z:1.351608
Joint17 X:0.118888, Y:-0.883347, Z:1.342792
Joint18 X:0.132668, Y:-1.205678, Z:1.354474
Joint19 X:0.131782, Y:-1.241968, Z:1.218248
Joint20 X:-0.000806, Y:0.137713, Z:1.478071
Joint21 X:-0.263706, Y:-0.295897, Z:1.800714
Joint22 X:-0.256223, Y:-0.310298, Z:1.789296
Joint23 X:0.240954, Y:-0.285583, Z:1.780529
Joint24 X:0.240436, Y:-0.283774, Z:1.768614
Joint0 X:0.013058, Y:-0.455081, Z:1.387914
Joint1 X:0.004981, Y:-0.111446, Z:1.445702
Joint2 X:-0.002581, Y:0.218085, Z:1.485588
Joint3 X:-0.009895, Y:0.367297, Z:1.519171
Joint4 X:-0.171921, Y:0.034617, Z:1.452679
Joint5 X:-0.319846, Y:-0.166372, Z:1.546653
Joint6 X:-0.276858, Y:-0.266134, Z:1.740082
Joint7 X:-0.263338, Y:-0.299731, Z:1.808214
Joint8 X:0.188009, Y:0.041301, Z:1.447199
Joint9 X:0.364443, Y:-0.138981, Z:1.543799
Joint10 X:0.270110, Y:-0.247645, Z:1.715952
Joint11 X:0.239597, Y:-0.284139, Z:1.776951
Joint12 X:-0.076097, Y:-0.447037, Z:1.359056
Joint13 X:-0.039429, Y:-0.889076, Z:1.332632
Joint14 X:-0.014152, Y:-1.211540, Z:1.331375
Joint15 X:-0.010052, Y:-1.242507, Z:1.192860
Joint16 X:0.101643, Y:-0.441594, Z:1.351081
Joint17 X:0.120169, Y:-0.883355, Z:1.341901
Joint18 X:0.134792, Y:-1.205665, Z:1.353314
Joint19 X:0.134099, Y:-1.241866, Z:1.217024
Joint20 X:-0.000757, Y:0.137637, Z:1.478055
Joint21 X:-0.264859, Y:-0.296035, Z:1.801297
Joint22 X:-0.256854, Y:-0.310583, Z:1.789463
Joint23 X:0.240940, Y:-0.285691, Z:1.780510
