Joint0 X:-0.021013, Y:-0.399865, Z:1.432955
Joint1 X:-0.006683, Y:-0.077663, Z:1.437144
Joint2 X:0.007777, Y:0.231436, Z:1.425414
Joint3 X:0.020491, Y:0.344985, Z:1.447001
Joint4 X:-0.148598, Y:0.137882, Z:1.443001
Joint5 X:-0.094764, Y:0.199292, Z:1.607840
Joint6 X:0.176111, Y:0.183932, Z:1.553447
Joint7 X:0.256839, Y:0.210751, Z:1.518986
Joint8 X:0.182148, Y:0.114461, Z:1.411597
Joint9 X:0.286543, Y:0.016275, Z:1.593741
Joint10 X:0.324130, Y:0.214091, Z:1.567366
Joint11 X:0.312478, Y:0.219182, Z:1.569662
Joint12 X:-0.098860, Y:-0.386763, Z:1.406034
Joint13 X:-0.107346, Y:-0.651878, Z:1.345309
Joint14 X:-0.121788, Y:-1.021590, Z:1.305689
Joint15 X:-0.130139, Y:-1.040269, Z:1.176570
Joint16 X:0.057965, Y:-0.393017, Z:1.388574
Joint17 X:0.074700, Y:-0.649722, Z:1.332027
Joint18 X:0.100345, Y:-1.026929, Z:1.297001
Joint19 X:0.092775, Y:-1.046850, Z:1.168119
Joint20 X:0.004216, Y:0.156085, Z:1.430826
Joint21 X:0.292027, Y:0.227421, Z:1.562477
Joint22 X:0.233940, Y:0.210390, Z:1.499120
Joint23 X:0.329210, Y:0.228606, Z:1.591431
Joint24 X:0.265994, Y:0.215415, Z:1.509125
Joint0 X:0.056293, Y:-0.403286, Z:1.392313
Joint1 X:0.052540, Y:-0.083563, Z:1.420364
Joint2 X:0.049216, Y:0.221156, Z:1.429576
Joint3 X:0.056978, Y:0.332689, Z:1.455005
Joint4 X:-0.133010, Y:0.127520, Z:1.437508
Joint5 X:-0.304651, Y:0.196380, Z:1.594106
Joint6 X:-0.051163, Y:0.168297, Z:1.475407
Joint7 X:0.210619, Y:0.147849, Z:1.394134
Joint8 X:0.206702, Y:0.117793, Z:1.421021
Joint9 X:0.296628, Y:0.018181, Z:1.599366
Joint10 X:0.327418, Y:0.217855, Z:1.568446
Joint11 X:0.309075, Y:0.221109, Z:1.568008
Joint12 X:-0.022203, Y:-0.397487, Z:1.365570
Joint13 X:0.004470, Y:-0.649640, Z:1.310093
Joint14 X:0.042477, Y:-1.029647, Z:1.276033
Joint15 X:0.042721, Y:-1.047039, Z:1.146156
Joint16 X:0.132048, Y:-0.388482, Z:1.348074
Joint17 X:0.156553, Y:-0.638489, Z:1.284071
Joint18 X:0.197104, Y:-1.018953, Z:1.236876
Joint19 X:0.194242, Y:-1.033671, Z:1.106466
Joint20 X:0.050061, Y:0.146991, Z:1.429971
Joint21 X:0.260285, Y:0.142382, Z:1.437092
Joint22 X:0.246278, Y:0.199950, Z:1.475480
Joint23 X:0.313944, Y:0.227399, Z:1.572783
Joint24 X:0.270795, Y:0.216890, Z:1.518730
Joint0 X:0.016641, Y:-0.419059, Z:1.445785
Joint1 X:0.028499, Y:-0.097659, Z:1.442395
Joint2 X:0.037258, Y:0.211411, Z:1.423707
Joint3 X:0.040491, Y:0.327391, Z:1.452057
Joint4 X:-0.134468, Y:0.123929, Z:1.434987
Joint5 X:-0.086786, Y:0.191443, Z:1.600448
Joint6 X:0.185896, Y:0.176547, Z:1.547679
Joint7 X:0.310233, Y:0.180253, Z:1.530301
Joint8 X:0.193300, Y:0.106119, Z:1.414489
Joint9 X:0.297582, Y:0.015282, Z:1.597609
Joint10 X:0.259123, Y:0.223451, Z:1.612213
Joint11 X:0.251700, Y:0.229892, Z:1.638483
Joint12 X:-0.062535, Y:-0.406599, Z:1.419618
Joint13 X:-0.045922, Y:-0.653081, Z:1.360635
Joint14 X:-0.022754, Y:-1.043064, Z:1.319873
Joint15 X:-0.025379, Y:-1.063307, Z:1.190183
Joint16 X:0.095024, Y:-0.410844, Z:1.400878
Joint17 X:0.121776, Y:-0.672522, Z:1.366828
Joint18 X:0.161491, Y:-1.044684, Z:1.364106
Joint19 X:0.158111, Y:-1.071900, Z:1.237106
Joint20 X:0.035479, Y:0.136058, Z:1.430655
Joint21 X:0.349819, Y:0.195406, Z:1.575009
Joint22 X:0.291733, Y:0.220441, Z:1.547757
Joint23 X:0.247555, Y:0.233525, Z:1.644229
Joint24 X:0.254546, Y:0.224082, Z:1.597000
Joint0 X:0.012097, Y:-0.416277, Z:1.440765
Joint1 X:0.013401, Y:-0.096439, Z:1.439865
Joint2 X:0.012755, Y:0.210159, Z:1.421796
Joint3 X:0.013394, Y:0.327804, Z:1.454288
Joint4 X:-0.140648, Y:0.127170, Z:1.438431
Joint5 X:-0.093731, Y:0.206014, Z:1.599973
Joint6 X:0.179679, Y:0.186459, Z:1.550395
Joint7 X:0.258819, Y:0.209878, Z:1.520042
Joint8 X:0.188082, Y:0.107639, Z:1.411343
Joint9 X:0.297292, Y:0.016088, Z:1.597953
Joint10 X:0.252341, Y:0.212852, Z:1.524585
Joint11 X:0.264946, Y:0.218767, Z:1.537050
Joint12 X:-0.065891, Y:-0.404195, Z:1.413085
Joint13 X:-0.051232, Y:-0.653527, Z:1.351465
Joint14 X:-0.031468, Y:-1.041673, Z:1.307110
Joint15 X:-0.036308, Y:-1.061198, Z:1.177207
Joint16 X:0.089492, Y:-0.407801, Z:1.397271
Joint17 X:0.116383, Y:-0.667329, Z:1.354048
Joint18 X:0.156847, Y:-1.043266, Z:1.338351
Joint19 X:0.151381, Y:-1.067953, Z:1.210294
Joint20 X:0.013046, Y:0.135426, Z:1.428889
Joint21 X:0.292970, Y:0.222840, Z:1.543133
Joint22 X:0.272043, Y:0.226146, Z:1.543750
Joint23 X:0.248177, Y:0.213112, Z:1.515364
Joint24 X:0.269307, Y:0.221814, Z:1.529176
Joint0 X:0.009812, Y:-0.418381, Z:1.444573
Joint1 X:0.003950, Y:-0.098872, Z:1.441001
Joint2 X:-0.003491, Y:0.207880, Z:1.420029
Joint3 X:-0.005007, Y:0.327222, Z:1.452365
Joint4 X:-0.143199, Y:0.127540, Z:1.439602
Joint5 X:-0.087842, Y:0.209708, Z:1.598099
Joint6 X:0.185313, Y:0.186940, Z:1.543393
Joint7 X:0.273321, Y:0.220409, Z:1.547444
Joint8 X:0.183585, Y:0.106241, Z:1.409218
Joint9 X:0.295501, Y:0.015771, Z:1.595802
Joint10 X:0.253539, Y:0.217974, Z:1.563364
Joint11 X:0.274442, Y:0.219562, Z:1.543230
Joint12 X:-0.067648, Y:-0.407003, Z:1.418061
Joint13 X:-0.055180, Y:-0.654751, Z:1.355982
Joint14 X:-0.038666, Y:-1.042784, Z:1.310712
Joint15 X:-0.044866, Y:-1.062552, Z:1.181350
Joint16 X:0.086793, Y:-0.409226, Z:1.399976
