Joint0 X:0.077332, Y:-0.518112, Z:1.408939
Joint1 X:0.015444, Y:-0.223932, Z:1.390289
Joint2 X:-0.044067, Y:0.060112, Z:1.350564
Joint3 X:-0.123869, Y:0.204961, Z:1.287809
Joint4 X:-0.185866, Y:-0.085168, Z:1.397919
Joint5 X:-0.178877, Y:-0.337896, Z:1.426846
Joint6 X:-0.183755, Y:-0.583166, Z:1.363426
Joint7 X:-0.178206, Y:-0.677226, Z:1.354997
Joint8 X:0.136490, Y:0.001681, Z:1.354223
Joint9 X:0.287800, Y:-0.220366, Z:1.377855
Joint10 X:0.359254, Y:-0.441595, Z:1.312905
Joint11 X:0.382961, Y:-0.502861, Z:1.282872
Joint12 X:-0.003083, Y:-0.523122, Z:1.392270
Joint13 X:-0.056631, Y:-0.965053, Z:1.336851
Joint14 X:-0.114223, Y:-1.451269, Z:1.307856
Joint15 X:-0.132997, Y:-1.481853, Z:1.172544
Joint16 X:0.154581, Y:-0.489098, Z:1.360365
Joint17 X:0.079827, Y:-0.927646, Z:1.358754
Joint18 X:0.003128, Y:-1.409827, Z:1.388422
Joint19 X:-0.020945, Y:-1.448290, Z:1.256329
Joint20 X:-0.028856, Y:-0.009349, Z:1.362952
Joint21 X:-0.156730, Y:-0.747020, Z:1.337765
Joint22 X:-0.151569, Y:-0.645561, Z:1.365800
Joint23 X:0.394070, Y:-0.584431, Z:1.272134
Joint24 X:0.403182, Y:-0.570311, Z:1.282333
Joint0 X:0.135309, Y:-0.534710, Z:1.397391
Joint1 X:0.051704, Y:-0.234979, Z:1.383792
Joint2 X:-0.028871, Y:0.055480, Z:1.353016
Joint3 X:-0.145355, Y:0.173804, Z:1.327220
Joint4 X:-0.148920, Y:-0.119282, Z:1.406770
Joint5 X:-0.088220, Y:-0.359640, Z:1.417125
Joint6 X:-0.096624, Y:-0.594201, Z:1.366730
Joint7 X:-0.059881, Y:-0.657755, Z:1.373339
Joint8 X:0.144472, Y:-0.006965, Z:1.342389
Joint9 X:0.333285, Y:-0.230562, Z:1.342902
Joint10 X:0.365842, Y:-0.477200, Z:1.278860
Joint11 X:0.360754, Y:-0.521726, Z:1.272293
Joint12 X:0.058525, Y:-0.547492, Z:1.386176
Joint13 X:-0.118072, Y:-0.955616, Z:1.380379
Joint14 X:-0.306386, Y:-1.406106, Z:1.405198
Joint15 X:-0.344918, Y:-1.436850, Z:1.276406
Joint16 X:0.206145, Y:-0.497389, Z:1.344360
