Joint0 X:-0.122886, Y:-0.296361, Z:1.212346
Joint1 X:0.067067, Y:-0.020419, Z:1.264405
Joint2 X:0.247717, Y:0.236450, Z:1.297057
Joint3 X:0.355834, Y:0.294880, Z:1.363060
Joint4 X:0.062814, Y:0.128703, Z:1.106462
Joint5 X:-0.002696, Y:-0.140000, Z:1.027065
Joint6 X:-0.025979, Y:-0.341819, Z:1.023040
Joint7 X:-0.052640, Y:-0.407526, Z:1.050961
Joint8 X:0.247981, Y:0.039467, Z:1.535168
Joint9 X:0.205933, Y:-0.162774, Z:1.521840
Joint10 X:0.172529, Y:-0.399345, Z:1.495343
Joint11 X:0.161984, Y:-0.437407, Z:1.490322
Joint12 X:-0.146814, Y:-0.261551, Z:1.135321
Joint13 X:-0.103982, Y:-0.629719, Z:1.094602
Joint14 X:-0.061456, Y:-1.043177, Z:1.085485
Joint15 X:0.019414, Y:-1.090001, Z:1.018732
Joint16 X:-0.091715, Y:-0.312916, Z:1.214088
Joint17 X:0.175328, Y:-0.403906, Z:1.491078
Joint18 X:0.319172, Y:-0.070815, Z:1.500895
Joint19 X:0.234574, Y:-0.154517, Z:1.398631
Joint20 X:0.203870, Y:0.174322, Z:1.291540
Joint21 X:-0.054975, Y:-0.485633, Z:1.044066
Joint22 X:-0.108119, Y:-0.362989, Z:1.044563
Joint23 X:0.142277, Y:-0.485071, Z:1.480190
Joint24 X:0.208589, Y:-0.437858, Z:1.467250
Joint0 X:-0.113270, Y:-0.299970, Z:1.219504
Joint1 X:0.079917, Y:-0.024209, Z:1.262079
Joint2 X:0.258558, Y:0.236397, Z:1.282677
Joint3 X:0.374568, Y:0.302186, Z:1.340766
Joint4 X:0.073166, Y:0.134432, Z:1.105519
Joint5 X:0.001508, Y:-0.133409, Z:1.028394
Joint6 X:-0.029494, Y:-0.334041, Z:1.028848
Joint7 X:-0.053893, Y:-0.399706, Z:1.056325
Joint8 X:0.258246, Y:0.042492, Z:1.529636
Joint9 X:0.211067, Y:-0.160131, Z:1.519453
Joint10 X:0.178295, Y:-0.412677, Z:1.494985
Joint11 X:0.166304, Y:-0.446048, Z:1.489412
Joint12 X:-0.138646, Y:-0.265440, Z:1.147421
Joint13 X:-0.074561, Y:-0.630831, Z:1.090601
Joint14 X:-0.008254, Y:-1.041108, Z:1.063059
Joint15 X:0.071492, Y:-1.086522, Z:0.994932
Joint16 X:-0.082329, Y:-0.315753, Z:1.216525
Joint17 X:0.182603, Y:-0.402439, Z:1.495883
Joint18 X:0.324739, Y:-0.069074, Z:1.507698
Joint19 X:0.243089, Y:-0.153455, Z:1.402858
Joint20 X:0.214536, Y:0.173632, Z:1.280102
Joint21 X:-0.059012, Y:-0.476419, Z:1.048047
Joint22 X:-0.112957, Y:-0.355172, Z:1.053450
Joint23 X:0.142826, Y:-0.482856, Z:1.477886
Joint24 X:0.213953, Y:-0.447119, Z:1.466865
Joint0 X:-0.116883, Y:-0.298190, Z:1.222619
Joint1 X:0.079729, Y:-0.026006, Z:1.257259
Joint2 X:0.264447, Y:0.228535, Z:1.267036
