Joint0 X:-0.081678, Y:-0.076279, Z:1.352055
Joint1 X:-0.092432, Y:0.213720, Z:1.359100
Joint2 X:-0.102230, Y:0.487474, Z:1.355991
Joint3 X:-0.109733, Y:0.616839, Z:1.336399
Joint4 X:-0.277203, Y:0.489590, Z:1.433867
Joint5 X:-0.403054, Y:0.589241, Z:1.415448
Joint6 X:-0.192565, Y:0.562535, Z:1.327100
Joint7 X:-0.121048, Y:0.553214, Z:1.281569
Joint8 X:0.031149, Y:0.391383, Z:1.317049
Joint9 X:-0.044470, Y:0.585418, Z:1.229147
Joint10 X:-0.135550, Y:0.720325, Z:1.238567
Joint11 X:-0.165991, Y:0.766841, Z:1.245081
Joint12 X:-0.149313, Y:-0.083575, Z:1.347970
Joint13 X:-0.104310, Y:-0.426898, Z:1.310887
Joint14 X:0.006017, Y:-0.717725, Z:1.144577
Joint15 X:-0.012004, Y:-0.720137, Z:1.020745
Joint16 X:-0.009854, Y:-0.065024, Z:1.287934
Joint17 X:0.006243, Y:-0.428583, Z:1.209849
Joint18 X:-0.132713, Y:-0.668212, Z:1.324272
Joint19 X:-0.016482, Y:-0.654955, Z:1.280275
Joint20 X:-0.100098, Y:0.421207, Z:1.358529
Joint21 X:-0.059286, Y:0.532451, Z:1.252322
Joint22 X:-0.100966, Y:0.580599, Z:1.250071
Joint23 X:-0.170396, Y:0.761626, Z:1.251244
Joint24 X:-0.163912, Y:0.756292, Z:1.226125
Joint0 X:-0.081516, Y:-0.076233, Z:1.349440
Joint1 X:-0.093127, Y:0.213714, Z:1.353397
Joint2 X:-0.103884, Y:0.487244, Z:1.344346
Joint3 X:-0.108653, Y:0.619625, Z:1.329424
Joint4 X:-0.275620, Y:0.490666, Z:1.432770
Joint5 X:-0.400561, Y:0.591401, Z:1.412336
Joint6 X:-0.189918, Y:0.563663, Z:1.324706
Joint7 X:-0.118591, Y:0.555187, Z:1.276833
Joint8 X:0.028726, Y:0.389417, Z:1.300522
Joint9 X:-0.041924, Y:0.581176, Z:1.225657
Joint10 X:-0.133032, Y:0.716111, Z:1.235069
Joint11 X:-0.141117, Y:0.683156, Z:1.304496
Joint12 X:-0.148630, Y:-0.083437, Z:1.346550
Joint13 X:-0.095579, Y:-0.428191, Z:1.300165
Joint14 X:0.001718, Y:-0.724767, Z:1.140775
Joint15 X:-0.021798, Y:-0.730014, Z:1.018949
Joint16 X:-0.010384, Y:-0.065183, Z:1.283509
Joint17 X:0.003433, Y:-0.426347, Z:1.207439
Joint18 X:-0.135866, Y:-0.664994, Z:1.324235
Joint19 X:-0.019550, Y:-0.651799, Z:1.280216
Joint20 X:-0.101422, Y:0.421018, Z:1.348586
Joint21 X:-0.060925, Y:0.534705, Z:1.250728
Joint22 X:-0.113200, Y:0.593576, Z:1.260250
Joint23 X:-0.143458, Y:0.677564, Z:1.305054
Joint24 X:-0.134531, Y:0.684186, Z:1.283723
Joint0 X:-0.080771, Y:-0.076203, Z:1.348293
Joint1 X:-0.092997, Y:0.213522, Z:1.350820
Joint2 X:-0.104293, Y:0.486889, Z:1.340137
Joint3 X:-0.108700, Y:0.618594, Z:1.323862
Joint4 X:-0.274731, Y:0.491015, Z:1.432565
Joint5 X:-0.396616, Y:0.595261, Z:1.410046
Joint6 X:-0.186000, Y:0.566525, Z:1.322696
Joint7 X:-0.117692, Y:0.557165, Z:1.274564
Joint8 X:0.028480, Y:0.389005, Z:1.295429
Joint9 X:-0.041542, Y:0.577498, Z:1.218007
Joint10 X:-0.132660, Y:0.712442, Z:1.227414
Joint11 X:-0.138906, Y:0.683150, Z:1.293962
Joint12 X:-0.147648, Y:-0.083504, Z:1.346119
Joint13 X:-0.064470, Y:-0.425361, Z:1.260761
Joint14 X:-0.004398, Y:-0.736256, Z:1.124646
Joint15 X:-0.032779, Y:-0.744540, Z:1.005385
Joint16 X:-0.009853, Y:-0.065048, Z:1.281526
Joint17 X:-0.016831, Y:-0.375522, Z:1.203980
