Joint0 X:-0.036500, Y:-0.337222, Z:1.290320
Joint1 X:-0.020321, Y:-0.079297, Z:1.299502
Joint2 X:0.001516, Y:0.171367, Z:1.294613
Joint3 X:0.000271, Y:0.277785, Z:1.305169
Joint4 X:-0.159092, Y:0.100686, Z:1.525979
Joint5 X:-0.323252, Y:0.056509, Z:1.534200
Joint6 X:-0.415342, Y:0.192164, Z:1.477621
Joint7 X:-0.446727, Y:0.237503, Z:1.462026
Joint8 X:0.024723, Y:0.071368, Z:1.208640
Joint9 X:-0.139777, Y:-0.052133, Z:1.159366
Joint10 X:-0.352103, Y:-0.072828, Z:1.188069
Joint11 X:-0.424058, Y:-0.093577, Z:1.214679
Joint12 X:-0.069984, Y:-0.327704, Z:1.257472
Joint13 X:0.034836, Y:-0.584888, Z:1.191776
Joint14 X:-0.065791, Y:-0.924407, Z:1.194032
Joint15 X:-0.166471, Y:-0.899754, Z:1.144484
Joint16 X:-0.002362, Y:-0.330165, Z:1.264068
Joint17 X:0.000115, Y:-0.603862, Z:1.179437
Joint18 X:0.028470, Y:-0.862090, Z:1.186263
Joint19 X:0.028721, Y:-0.739004, Z:1.160689
Joint20 X:-0.004353, Y:0.110696, Z:1.298332
Joint21 X:-0.459458, Y:0.228662, Z:1.452239
Joint22 X:-0.434876, Y:0.243732, Z:1.436076
Joint23 X:-0.486297, Y:-0.120851, Z:1.234479
Joint24 X:-0.411619, Y:-0.112820, Z:1.195304
Joint0 X:-0.040676, Y:-0.315487, Z:1.293567
Joint1 X:-0.018411, Y:-0.067332, Z:1.296600
Joint2 X:0.003455, Y:0.173522, Z:1.287380
Joint3 X:0.009404, Y:0.280375, Z:1.300003
Joint4 X:-0.184926, Y:0.121423, Z:1.531437
Joint5 X:-0.250978, Y:0.061108, Z:1.304436
Joint6 X:-0.425278, Y:0.033352, Z:1.440499
Joint7 X:-0.476467, Y:0.023685, Z:1.490083
Joint8 X:0.031979, Y:0.096902, Z:1.223348
Joint9 X:-0.169434, Y:0.089419, Z:1.243160
Joint10 X:-0.377783, Y:0.077813, Z:1.258917
Joint11 X:-0.453696, Y:0.066131, Z:1.273100
Joint12 X:-0.079137, Y:-0.307243, Z:1.261273
Joint13 X:0.016612, Y:-0.567915, Z:1.190553
