Joint0 X:-0.001898, Y:-0.092580, Z:1.307846
Joint1 X:-0.037429, Y:0.209496, Z:1.311341
Joint2 X:-0.071074, Y:0.493847, Z:1.300470
Joint3 X:-0.022286, Y:0.531631, Z:1.249441
Joint4 X:-0.092445, Y:0.306371, Z:1.149648
Joint5 X:0.081063, Y:0.448522, Z:1.138233
Joint6 X:-0.023807, Y:0.266683, Z:1.248244
Joint7 X:0.000261, Y:0.199918, Z:1.182986
Joint8 X:0.069831, Y:0.391124, Z:1.529845
Joint9 X:0.040256, Y:0.360813, Z:1.281755
Joint10 X:0.059953, Y:0.336412, Z:1.503855
Joint11 X:0.081493, Y:0.354507, Z:1.527100
Joint12 X:-0.031841, Y:-0.090789, Z:1.265397
Joint13 X:-0.063329, Y:-0.387416, Z:1.176029
Joint14 X:-0.147715, Y:-0.732815, Z:1.232897
Joint15 X:-0.075417, Y:-0.786931, Z:1.183837
Joint16 X:0.028107, Y:-0.089510, Z:1.280463
Joint17 X:0.132340, Y:-0.358807, Z:1.359743
Joint18 X:0.019109, Y:-0.617145, Z:1.152728
Joint19 X:0.085034, Y:-0.629747, Z:1.051876
Joint20 X:-0.062936, Y:0.425121, Z:1.305214
Joint21 X:0.004394, Y:0.153618, Z:1.178301
Joint22 X:0.029174, Y:0.180394, Z:1.192603
Joint23 X:0.089972, Y:0.352488, Z:1.542483
Joint24 X:0.104779, Y:0.378182, Z:1.506503
Joint0 X:-0.002304, Y:-0.092040, Z:1.308005
Joint1 X:-0.037912, Y:0.209280, Z:1.310439
Joint2 X:-0.071531, Y:0.493077, Z:1.298439
Joint3 X:-0.022647, Y:0.531346, Z:1.247520
Joint4 X:-0.093247, Y:0.305372, Z:1.148942
Joint5 X:0.081346, Y:0.446867, Z:1.135347
Joint6 X:-0.023689, Y:0.265748, Z:1.246262
Joint7 X:-0.002652, Y:0.195932, Z:1.181022
Joint8 X:0.075019, Y:0.399436, Z:1.527701
Joint9 X:0.048474, Y:0.376325, Z:1.278510
Joint10 X:0.060554, Y:0.338241, Z:1.499701
Joint11 X:0.081958, Y:0.349984, Z:1.523371
Joint12 X:-0.033862, Y:-0.090767, Z:1.262295
Joint13 X:-0.066919, Y:-0.387210, Z:1.181143
Joint14 X:-0.147419, Y:-0.737584, Z:1.227245
Joint15 X:-0.074159, Y:-0.788909, Z:1.172966
Joint16 X:0.028551, Y:-0.088929, Z:1.283432
Joint17 X:-0.001262, Y:-0.370006, Z:1.168484
Joint18 X:0.031443, Y:-0.742395, Z:1.155731
Joint19 X:0.118125, Y:-0.759088, Z:1.090217
Joint20 X:-0.063411, Y:0.424515, Z:1.303486
Joint21 X:-0.018514, Y:0.143824, Z:1.167102
Joint22 X:0.030009, Y:0.162666, Z:1.189131
Joint23 X:0.067913, Y:0.327998, Z:1.535531
Joint24 X:0.106073, Y:0.372691, Z:1.506544
Joint0 X:-0.002695, Y:-0.092895, Z:1.308535
Joint1 X:-0.038015, Y:0.209027, Z:1.310106
Joint2 X:-0.071409, Y:0.492988, Z:1.297686
Joint3 X:-0.022996, Y:0.530737, Z:1.246478
Joint4 X:-0.093851, Y:0.304265, Z:1.148372
Joint5 X:0.082861, Y:0.446859, Z:1.132186
Joint6 X:-0.022783, Y:0.266690, Z:1.243985
Joint7 X:-0.003775, Y:0.196543, Z:1.180009
Joint8 X:0.074347, Y:0.395505, Z:1.524738
Joint9 X:0.048927, Y:0.367386, Z:1.275931
Joint10 X:0.066411, Y:0.364176, Z:1.499026
Joint11 X:0.097394, Y:0.371004, Z:1.521449
Joint12 X:-0.034477, Y:-0.091585, Z:1.262525
Joint13 X:-0.074154, Y:-0.390778, Z:1.194047
Joint14 X:-0.139148, Y:-0.748189, Z:1.204180
Joint15 X:-0.061379, Y:-0.788978, Z:1.139971
Joint16 X:0.028783, Y:-0.089540, Z:1.284828
Joint17 X:-0.000396, Y:-0.369524, Z:1.168918
Joint18 X:0.042728, Y:-0.741129, Z:1.160349
Joint19 X:0.129997, Y:-0.756448, Z:1.095508
Joint20 X:-0.063350, Y:0.424388, Z:1.302838
Joint21 X:-0.011630, Y:0.144740, Z:1.171478
Joint22 X:0.030022, Y:0.163250, Z:1.189164
Joint23 X:0.113624, Y:0.377014, Z:1.540426
Joint24 X:0.120613, Y:0.407093, Z:1.497409
Joint0 X:-0.003205, Y:-0.094501, Z:1.308904
Joint1 X:-0.038086, Y:0.208357, Z:1.309995
Joint2 X:-0.071198, Y:0.492824, Z:1.297505
Joint3 X:-0.022830, Y:0.530616, Z:1.246279
Joint4 X:-0.093621, Y:0.304260, Z:1.148257
Joint5 X:0.083788, Y:0.446555, Z:1.130826
Joint6 X:-0.022207, Y:0.266811, Z:1.242947
Joint7 X:-0.004698, Y:0.195721, Z:1.178813
Joint8 X:0.073049, Y:0.392355, Z:1.524085
Joint9 X:0.049026, Y:0.375954, Z:1.274121
Joint10 X:0.067857, Y:0.345479, Z:1.495796
Joint11 X:0.089107, Y:0.355689, Z:1.521423
Joint12 X:-0.034961, Y:-0.093030, Z:1.262495
Joint13 X:-0.074100, Y:-0.390766, Z:1.194743
Joint14 X:-0.141433, Y:-0.749017, Z:1.207138
Joint15 X:-0.063909, Y:-0.790721, Z:1.143817
Joint16 X:0.028184, Y:-0.091298, Z:1.286102
Joint17 X:0.000995, Y:-0.369553, Z:1.169113
Joint18 X:0.044947, Y:-0.742314, Z:1.161757
Joint19 X:0.132396, Y:-0.757660, Z:1.097527
Joint20 X:-0.063217, Y:0.424126, Z:1.302660
Joint21 X:-0.013891, Y:0.144617, Z:1.169461
Joint22 X:0.030026, Y:0.163417, Z:1.189286
Joint23 X:0.102097, Y:0.354981, Z:1.538871
Joint24 X:0.118353, Y:0.386455, Z:1.502640
Joint0 X:-0.004012, Y:-0.096896, Z:1.308746
Joint1 X:-0.037930, Y:0.207555, Z:1.309835
Joint2 X:-0.070064, Y:0.492908, Z:1.297419
Joint3 X:-0.022150, Y:0.530955, Z:1.245994
Joint4 X:-0.093403, Y:0.304301, Z:1.148468
Joint5 X:0.084308, Y:0.446541, Z:1.131236
Joint6 X:-0.022404, Y:0.267636, Z:1.243917
Joint7 X:-0.004580, Y:0.197205, Z:1.179977
