Joint0 X:-0.090953, Y:-0.126958, Z:1.341185
Joint1 X:-0.112936, Y:0.182832, Z:1.353946
Joint2 X:-0.132605, Y:0.473753, Z:1.358177
Joint3 X:-0.153784, Y:0.616923, Z:1.379418
Joint4 X:-0.269365, Y:0.378972, Z:1.508158
Joint5 X:-0.236271, Y:0.518838, Z:1.566967
Joint6 X:-0.250164, Y:0.691801, Z:1.420547
Joint7 X:-0.263626, Y:0.737219, Z:1.380404
Joint8 X:0.015581, Y:0.370647, Z:1.260378
Joint9 X:-0.095445, Y:0.546150, Z:1.164265
Joint10 X:-0.190433, Y:0.663429, Z:1.095899
Joint11 X:-0.222350, Y:0.704054, Z:1.076433
Joint12 X:-0.145920, Y:-0.131922, Z:1.339125
Joint13 X:-0.233951, Y:-0.332693, Z:1.492153
Joint14 X:-0.086222, Y:-0.576110, Z:1.206037
Joint15 X:0.006639, Y:-0.628413, Z:1.153842
Joint16 X:-0.030554, Y:-0.115582, Z:1.275519
Joint17 X:-0.033230, Y:-0.462160, Z:1.194284
Joint18 X:0.068124, Y:-0.787371, Z:1.224731
Joint19 X:0.023336, Y:-0.833962, Z:1.134205
Joint20 X:-0.128020, Y:0.403163, Z:1.359028
Joint21 X:-0.268092, Y:0.790254, Z:1.327464
Joint22 X:-0.255791, Y:0.702194, Z:1.343104
Joint23 X:-0.223677, Y:0.698968, Z:1.077064
Joint24 X:-0.218594, Y:0.692162, Z:1.058251
Joint0 X:-0.076031, Y:-0.126827, Z:1.328667
Joint1 X:-0.099388, Y:0.182969, Z:1.332609
Joint2 X:-0.122549, Y:0.473308, Z:1.324671
Joint3 X:-0.149081, Y:0.612571, Z:1.330771
Joint4 X:-0.259451, Y:0.378369, Z:1.474729
Joint5 X:-0.261374, Y:0.530671, Z:1.561577
Joint6 X:-0.273893, Y:0.706727, Z:1.419222
Joint7 X:-0.287354, Y:0.752138, Z:1.379071
Joint8 X:0.017124, Y:0.366738, Z:1.266517
Joint9 X:-0.059856, Y:0.557427, Z:1.166098
Joint10 X:-0.168173, Y:0.675604, Z:1.136071
Joint11 X:-0.155234, Y:0.665518, Z:1.150958
Joint12 X:-0.137565, Y:-0.132137, Z:1.317998
Joint13 X:-0.211622, Y:-0.337607, Z:1.472208
Joint14 X:-0.076389, Y:-0.599540, Z:1.196421
Joint15 X:0.023440, Y:-0.641520, Z:1.148340
Joint16 X:-0.010142, Y:-0.115901, Z:1.269588
Joint17 X:-0.026797, Y:-0.460443, Z:1.194208
Joint18 X:0.071023, Y:-0.788618, Z:1.226086
Joint19 X:0.029988, Y:-0.833692, Z:1.131624
Joint20 X:-0.117219, Y:0.402945, Z:1.329011
Joint21 X:-0.291687, Y:0.805105, Z:1.326188
Joint22 X:-0.278077, Y:0.715280, Z:1.342185
Joint23 X:-0.157085, Y:0.660839, Z:1.151249
Joint24 X:-0.152677, Y:0.654556, Z:1.132000
Joint0 X:-0.064359, Y:-0.129356, Z:1.318554
Joint1 X:-0.097466, Y:0.181179, Z:1.327974
Joint2 X:-0.124928, Y:0.473717, Z:1.322241
Joint3 X:-0.151488, Y:0.612023, Z:1.325218
Joint4 X:-0.261817, Y:0.378763, Z:1.472301
Joint5 X:-0.254730, Y:0.533564, Z:1.559013
Joint6 X:-0.267288, Y:0.709599, Z:1.416654
Joint7 X:-0.280749, Y:0.755010, Z:1.376502
Joint8 X:0.016231, Y:0.365398, Z:1.264706
Joint9 X:-0.056163, Y:0.552886, Z:1.153566
Joint10 X:-0.163751, Y:0.668810, Z:1.109385
Joint11 X:-0.199744, Y:0.709007, Z:1.097985
Joint12 X:-0.126965, Y:-0.135309, Z:1.307882
Joint13 X:-0.181247, Y:-0.356760, Z:1.451408
Joint14 X:-0.070599, Y:-0.594997, Z:1.184570
Joint15 X:0.026894, Y:-0.642647, Z:1.145634
Joint16 X:0.001815, Y:-0.116677, Z:1.260686
Joint17 X:-0.028226, Y:-0.410857, Z:1.185127
Joint18 X:0.076564, Y:-0.786123, Z:1.229747
Joint19 X:0.045907, Y:-0.830888, Z:1.144109
Joint20 X:-0.118748, Y:0.402814, Z:1.325972
Joint21 X:-0.285119, Y:0.807954, Z:1.323622
Joint22 X:-0.273623, Y:0.718363, Z:1.339596
