Joint0 X:-0.077451, Y:-0.385803, Z:1.253716
Joint1 X:-0.065390, Y:-0.108640, Z:1.246326
Joint2 X:-0.054367, Y:0.157923, Z:1.226508
Joint3 X:-0.111772, Y:0.270441, Z:1.267697
Joint4 X:-0.163269, Y:0.100001, Z:1.357396
Joint5 X:-0.221392, Y:-0.152841, Z:1.447937
Joint6 X:-0.242553, Y:-0.372175, Z:1.470923
Joint7 X:-0.236105, Y:-0.442568, Z:1.442933
Joint8 X:0.029807, Y:0.053722, Z:1.127530
Joint9 X:0.078829, Y:-0.185110, Z:1.073060
Joint10 X:0.101080, Y:-0.379679, Z:1.002415
Joint11 X:0.093166, Y:-0.418721, Z:0.994683
Joint12 X:-0.121781, Y:-0.378778, Z:1.268823
Joint13 X:-0.093457, Y:-0.624733, Z:1.242864
Joint14 X:-0.057392, Y:-0.980472, Z:1.244097
Joint15 X:-0.123276, Y:-1.011728, Z:1.162860
Joint16 X:-0.029243, Y:-0.374784, Z:1.179799
Joint17 X:-0.005949, Y:-0.585874, Z:1.166123
Joint18 X:0.033763, Y:-0.972819, Z:1.192030
Joint19 X:-0.034100, Y:-1.006780, Z:1.114234
Joint20 X:-0.057097, Y:0.092863, Z:1.233408
Joint21 X:-0.234957, Y:-0.510407, Z:1.463481
Joint22 X:-0.208418, Y:-0.431862, Z:1.365050
Joint23 X:0.089221, Y:-0.491254, Z:1.006865
Joint24 X:0.059749, Y:-0.412577, Z:0.981264
Joint0 X:-0.097140, Y:-0.384269, Z:1.272294
Joint1 X:-0.080219, Y:-0.110813, Z:1.266631
Joint2 X:-0.063278, Y:0.152634, Z:1.246924
Joint3 X:-0.120130, Y:0.269267, Z:1.283281
Joint4 X:-0.172057, Y:0.094604, Z:1.377761
Joint5 X:-0.242218, Y:-0.158664, Z:1.459253
Joint6 X:-0.227458, Y:-0.416305, Z:1.388015
Joint7 X:-0.233184, Y:-0.437663, Z:1.397804
Joint8 X:0.024037, Y:0.049289, Z:1.152858
Joint9 X:0.061687, Y:-0.183837, Z:1.098740
Joint10 X:0.072128, Y:-0.373810, Z:1.012270
Joint11 X:0.060954, Y:-0.417122, Z:1.012793
Joint12 X:-0.142796, Y:-0.377545, Z:1.288303
Joint13 X:-0.117131, Y:-0.624907, Z:1.266509
Joint14 X:-0.085597, Y:-0.979589, Z:1.273507
Joint15 X:-0.150500, Y:-1.010893, Z:1.191328
Joint16 X:-0.046805, Y:-0.373313, Z:1.197378
Joint17 X:-0.022411, Y:-0.586233, Z:1.177402
Joint18 X:0.018228, Y:-0.973113, Z:1.191818
Joint19 X:-0.047823, Y:-1.005553, Z:1.110835
Joint20 X:-0.067535, Y:0.088246, Z:1.254002
Joint21 X:-0.231088, Y:-0.500410, Z:1.435790
Joint22 X:-0.212767, Y:-0.461817, Z:1.362000
Joint23 X:0.049524, Y:-0.479841, Z:1.012979
Joint24 X:0.032649, Y:-0.406252, Z:0.993673
Joint0 X:-0.107792, Y:-0.388470, Z:1.284023
Joint1 X:-0.093844, Y:-0.115476, Z:1.283984
Joint2 X:-0.079556, Y:0.147758, Z:1.269973
Joint3 X:-0.136709, Y:0.267668, Z:1.302859
Joint4 X:-0.241778, Y:0.040392, Z:1.448457
Joint5 X:-0.272239, Y:-0.205649, Z:1.472650
Joint6 X:-0.263451, Y:-0.407799, Z:1.434285
Joint7 X:-0.258289, Y:-0.441638, Z:1.405953
Joint8 X:0.014191, Y:0.043914, Z:1.177250
Joint9 X:0.053885, Y:-0.193956, Z:1.135597
Joint10 X:0.078673, Y:-0.389433, Z:1.069616
Joint11 X:0.077464, Y:-0.423882, Z:1.075868
Joint12 X:-0.155302, Y:-0.384485, Z:1.298924
Joint13 X:-0.120670, Y:-0.630795, Z:1.271088
Joint14 X:-0.076856, Y:-0.984987, Z:1.269442
Joint15 X:-0.138327, Y:-1.016617, Z:1.183820
Joint16 X:-0.055494, Y:-0.374875, Z:1.210521
Joint17 X:-0.023857, Y:-0.588505, Z:1.180226
Joint18 X:0.028797, Y:-0.974096, Z:1.176200
Joint19 X:-0.033848, Y:-1.005394, Z:1.090667
Joint20 X:-0.083193, Y:0.083378, Z:1.275632
Joint21 X:-0.248791, Y:-0.486754, Z:1.404421
Joint22 X:-0.245233, Y:-0.400961, Z:1.371957
Joint23 X:0.069820, Y:-0.483773, Z:1.074928
Joint24 X:0.042843, Y:-0.421231, Z:1.070141
Joint0 X:-0.115672, Y:-0.390345, Z:1.294136
Joint1 X:-0.102919, Y:-0.118410, Z:1.295300
Joint2 X:-0.089825, Y:0.143765, Z:1.282516
Joint3 X:-0.147696, Y:0.265620, Z:1.313541
Joint4 X:-0.242344, Y:0.054274, Z:1.436642
Joint5 X:-0.291897, Y:-0.215421, Z:1.477741
Joint6 X:-0.274780, Y:-0.407175, Z:1.399170
Joint7 X:-0.275819, Y:-0.441890, Z:1.394348
Joint8 X:0.009347, Y:0.040821, Z:1.192163
Joint9 X:0.067281, Y:-0.192474, Z:1.152820
Joint10 X:0.081294, Y:-0.388580, Z:1.085347
Joint11 X:0.076315, Y:-0.426522, Z:1.078683
Joint12 X:-0.165409, Y:-0.385818, Z:1.306154
Joint13 X:-0.128721, Y:-0.634111, Z:1.275148
Joint14 X:-0.082906, Y:-0.986116, Z:1.268927
Joint15 X:-0.140794, Y:-1.017058, Z:1.179467
Joint16 X:-0.060727, Y:-0.377226, Z:1.223594
Joint17 X:-0.028830, Y:-0.590892, Z:1.185264
Joint18 X:0.024147, Y:-0.976692, Z:1.166988
Joint19 X:-0.035135, Y:-1.005489, Z:1.076685
Joint20 X:-0.093170, Y:0.079637, Z:1.287861
Joint21 X:-0.261220, Y:-0.495692, Z:1.399682
Joint22 X:-0.241778, Y:-0.436682, Z:1.351167
Joint23 X:0.064443, Y:-0.492924, Z:1.080062
Joint24 X:0.042810, Y:-0.417231, Z:1.070148
Joint0 X:-0.119376, Y:-0.391744, Z:1.296636
Joint1 X:-0.106297, Y:-0.119540, Z:1.298220
Joint2 X:-0.092773, Y:0.142952, Z:1.285803
Joint3 X:-0.150614, Y:0.265564, Z:1.315983
Joint4 X:-0.249527, Y:0.042731, Z:1.421136
Joint5 X:-0.296444, Y:-0.215375, Z:1.466587
Joint6 X:-0.276158, Y:-0.406862, Z:1.387992
Joint7 X:-0.278004, Y:-0.440392, Z:1.381282
Joint8 X:0.008804, Y:0.040768, Z:1.197240
Joint9 X:0.068253, Y:-0.191171, Z:1.156953
Joint10 X:0.080752, Y:-0.386356, Z:1.086016
Joint11 X:0.074975, Y:-0.423592, Z:1.077770
Joint12 X:-0.172174, Y:-0.387252, Z:1.307798
Joint13 X:-0.144442, Y:-0.634304, Z:1.280615
Joint14 X:-0.110693, Y:-0.989443, Z:1.279850
Joint15 X:-0.166260, Y:-1.019347, Z:1.187959
Joint16 X:-0.062073, Y:-0.378639, Z:1.226600
Joint17 X:-0.048135, Y:-0.599679, Z:1.202455
Joint18 X:-0.027304, Y:-0.981636, Z:1.208716
Joint19 X:-0.086373, Y:-1.010141, Z:1.118373
Joint20 X:-0.096238, Y:0.078738, Z:1.291065
Joint21 X:-0.261896, Y:-0.492673, Z:1.378680
Joint22 X:-0.245949, Y:-0.412198, Z:1.343399
Joint23 X:0.062137, Y:-0.488626, Z:1.076040
Joint24 X:0.042231, Y:-0.414645, Z:1.068284
Joint0 X:-0.116739, Y:-0.391245, Z:1.292012
Joint1 X:-0.107727, Y:-0.119281, Z:1.298324
Joint2 X:-0.096614, Y:0.143886, Z:1.288316
Joint3 X:-0.153520, Y:0.266501, Z:1.318884
Joint4 X:-0.248122, Y:0.036334, Z:1.395167
Joint5 X:-0.295044, Y:-0.212251, Z:1.454143
Joint6 X:-0.278335, Y:-0.406689, Z:1.383318
Joint7 X:-0.283317, Y:-0.440855, Z:1.382281
Joint8 X:0.008511, Y:0.041896, Z:1.199519
Joint9 X:0.073252, Y:-0.191169, Z:1.160838
Joint10 X:0.092230, Y:-0.385870, Z:1.090112
