Joint0 X:-0.024036, Y:-0.300776, Z:1.413288
Joint1 X:-0.025431, Y:0.027234, Z:1.427199
Joint2 X:-0.028088, Y:0.338899, Z:1.422670
Joint3 X:-0.040081, Y:0.492043, Z:1.388263
Joint4 X:-0.208156, Y:0.216387, Z:1.434384
Joint5 X:-0.236542, Y:-0.041221, Z:1.426013
Joint6 X:-0.212217, Y:-0.251177, Z:1.330531
Joint7 X:-0.195603, Y:-0.292221, Z:1.309189
Joint8 X:0.139814, Y:0.219511, Z:1.419698
Joint9 X:0.203842, Y:-0.039827, Z:1.427671
Joint10 X:0.219877, Y:-0.238451, Z:1.307400
Joint11 X:0.212630, Y:-0.282218, Z:1.279806
Joint12 X:-0.102902, Y:-0.294321, Z:1.380648
Joint13 X:-0.079854, Y:-0.588031, Z:1.340786
Joint14 X:-0.050221, Y:-1.021047, Z:1.331042
Joint15 X:-0.049912, Y:-1.046973, Z:1.197936
Joint16 X:0.056116, Y:-0.291517, Z:1.372077
Joint17 X:0.041330, Y:-0.599744, Z:1.330698
Joint18 X:0.023418, Y:-1.019351, Z:1.318984
Joint19 X:0.015636, Y:-1.044501, Z:1.185894
Joint20 X:-0.027561, Y:0.263209, Z:1.426300
Joint21 X:-0.193657, Y:-0.357376, Z:1.297967
Joint22 X:-0.155318, Y:-0.272349, Z:1.278378
Joint23 X:0.205452, Y:-0.346761, Z:1.258486
Joint24 X:0.229330, Y:-0.288682, Z:1.240836
Joint0 X:-0.026117, Y:-0.302383, Z:1.405502
Joint1 X:-0.026516, Y:0.027617, Z:1.425963
Joint2 X:-0.026793, Y:0.340263, Z:1.426534
Joint3 X:-0.038625, Y:0.495203, Z:1.397498
Joint4 X:-0.208164, Y:0.216378, Z:1.434793
Joint5 X:-0.258598, Y:-0.071284, Z:1.456963
Joint6 X:-0.149633, Y:-0.093417, Z:1.180306
Joint7 X:-0.121145, Y:-0.111776, Z:1.137005
Joint8 X:0.136056, Y:0.215993, Z:1.406942
Joint9 X:0.215471, Y:-0.068345, Z:1.476981
Joint10 X:0.001790, Y:-0.145111, Z:1.258961
Joint11 X:-0.099609, Y:-0.141586, Z:1.141122
Joint12 X:-0.102818, Y:-0.296967, Z:1.376622
Joint13 X:-0.066484, Y:-0.603498, Z:1.332903
Joint14 X:-0.021300, Y:-1.021206, Z:1.317823
Joint15 X:-0.023195, Y:-1.045835, Z:1.184169
Joint16 X:0.052296, Y:-0.292313, Z:1.360712
Joint17 X:0.042515, Y:-0.597918, Z:1.329921
Joint18 X:0.031039, Y:-1.019406, Z:1.332847
Joint19 X:0.019744, Y:-1.047320, Z:1.201024
Joint20 X:-0.026744, Y:0.264181, Z:1.428716
Joint21 X:-0.098021, Y:-0.136794, Z:1.094539
Joint22 X:-0.077457, Y:-0.138743, Z:1.125375
Joint23 X:-0.124585, Y:-0.131724, Z:1.106728
Joint24 X:-0.108846, Y:-0.089879, Z:1.109400
Joint0 X:-0.023571, Y:-0.303033, Z:1.394427
Joint1 X:-0.024865, Y:0.027271, Z:1.423856
Joint2 X:-0.024525, Y:0.340056, Z:1.432908
Joint3 X:-0.038444, Y:0.495390, Z:1.406353
Joint4 X:-0.208214, Y:0.215617, Z:1.434703
Joint5 X:-0.261131, Y:-0.081680, Z:1.495015
Joint6 X:-0.051094, Y:-0.145473, Z:1.269311
Joint7 X:0.016456, Y:-0.121875, Z:1.186240
Joint8 X:0.131491, Y:0.212386, Z:1.397823
Joint9 X:0.215728, Y:-0.059718, Z:1.496135
Joint10 X:0.028767, Y:-0.091419, Z:1.244614
Joint11 X:0.004572, Y:-0.097147, Z:1.190869
Joint12 X:-0.099783, Y:-0.298597, Z:1.365379
Joint13 X:-0.077619, Y:-0.590088, Z:1.342079
Joint14 X:-0.049063, Y:-1.023009, Z:1.356945
Joint15 X:-0.055441, Y:-1.054177, Z:1.226113
Joint16 X:0.054103, Y:-0.291512, Z:1.349531
Joint17 X:0.039390, Y:-0.600212, Z:1.326588
Joint18 X:0.021715, Y:-1.017114, Z:1.339874
Joint19 X:0.006485, Y:-1.046939, Z:1.209264
Joint20 X:-0.024818, Y:0.264046, Z:1.432379
Joint21 X:0.058077, Y:-0.125399, Z:1.164960
Joint22 X:0.013804, Y:-0.081263, Z:1.149143
Joint23 X:-0.020502, Y:-0.092835, Z:1.172689
Joint24 X:-0.036780, Y:-0.070644, Z:1.191214
Joint0 X:-0.017672, Y:-0.302974, Z:1.401180
Joint1 X:-0.020183, Y:0.026790, Z:1.423395
Joint2 X:-0.019417, Y:0.339279, Z:1.428799
Joint3 X:-0.031930, Y:0.493458, Z:1.396657
Joint4 X:-0.204924, Y:0.216278, Z:1.430520
Joint5 X:-0.254034, Y:-0.084554, Z:1.480096
Joint6 X:-0.084812, Y:-0.090789, Z:1.214428
Joint7 X:-0.053638, Y:-0.099141, Z:1.194030
Joint8 X:0.133638, Y:0.213695, Z:1.399954
Joint9 X:0.209091, Y:-0.052150, Z:1.475782
Joint10 X:0.037720, Y:-0.152815, Z:1.231446
Joint11 X:0.016006, Y:-0.179582, Z:1.210053
Joint12 X:-0.093953, Y:-0.298416, Z:1.370795
Joint13 X:-0.081538, Y:-0.589230, Z:1.347363
Joint14 X:-0.066795, Y:-1.023991, Z:1.362234
Joint15 X:-0.073147, Y:-1.054994, Z:1.231253
Joint16 X:0.059701, Y:-0.291604, Z:1.357780
Joint17 X:0.041441, Y:-0.599075, Z:1.327376
Joint18 X:0.019041, Y:-1.018107, Z:1.330657
Joint19 X:0.005341, Y:-1.045695, Z:1.198823
Joint20 X:-0.019892, Y:0.263377, Z:1.430156
Joint21 X:-0.012617, Y:-0.126326, Z:1.146168
Joint22 X:-0.006455, Y:-0.087908, Z:1.242615
Joint23 X:-0.055541, Y:-0.212455, Z:1.161958
Joint24 X:-0.070829, Y:-0.166489, Z:1.250850
Joint0 X:-0.015098, Y:-0.304943, Z:1.404965
Joint1 X:-0.014272, Y:0.025965, Z:1.418223
Joint2 X:-0.011508, Y:0.340741, Z:1.411763
Joint3 X:-0.023061, Y:0.493468, Z:1.375704
Joint4 X:-0.200780, Y:0.216755, Z:1.423558
Joint5 X:-0.251696, Y:-0.082762, Z:1.465962
Joint6 X:-0.098101, Y:-0.175552, Z:1.207030
Joint7 X:-0.061671, Y:-0.214616, Z:1.198039
Joint8 X:0.142178, Y:0.214509, Z:1.386666
Joint9 X:0.213797, Y:-0.046236, Z:1.457288
Joint10 X:0.078766, Y:-0.161929, Z:1.211788
Joint11 X:0.026186, Y:-0.230049, Z:1.212454
Joint12 X:-0.091596, Y:-0.299567, Z:1.374689
Joint13 X:-0.081181, Y:-0.594008, Z:1.349933
Joint14 X:-0.069474, Y:-1.025533, Z:1.362390
Joint15 X:-0.078180, Y:-1.056345, Z:1.231622
Joint16 X:0.062305, Y:-0.294394, Z:1.361537
Joint17 X:0.043815, Y:-0.599046, Z:1.330173
Joint18 X:0.020838, Y:-1.020861, Z:1.332321
Joint19 X:0.005380, Y:-1.048615, Z:1.200905
Joint20 X:-0.012168, Y:0.264240, Z:1.416022
Joint21 X:-0.039073, Y:-0.263671, Z:1.153839
Joint22 X:-0.061361, Y:-0.185526, Z:1.152231
Joint23 X:-0.033048, Y:-0.266200, Z:1.153608
Joint24 X:0.070053, Y:-0.289214, Z:1.182400
Joint0 X:-0.014852, Y:-0.303678, Z:1.403945
Joint1 X:-0.010692, Y:0.027229, Z:1.404849
Joint2 X:-0.005604, Y:0.341356, Z:1.386374
Joint3 X:-0.021165, Y:0.495137, Z:1.350450
Joint4 X:-0.191483, Y:0.218325, Z:1.409541
Joint5 X:-0.223260, Y:-0.042918, Z:1.414696
Joint6 X:-0.222081, Y:-0.258043, Z:1.324175
Joint7 X:-0.222321, Y:-0.296226, Z:1.303036
Joint8 X:0.154049, Y:0.218725, Z:1.369933
Joint9 X:0.213889, Y:-0.018316, Z:1.369413
Joint10 X:0.215802, Y:-0.231793, Z:1.279046
