Joint0 X:-0.007383, Y:-0.351881, Z:1.374461
Joint1 X:-0.007708, Y:-0.022344, Z:1.415418
Joint2 X:-0.008662, Y:0.290445, Z:1.439675
Joint3 X:-0.028731, Y:0.438703, Z:1.426608
Joint4 X:-0.184877, Y:0.168222, Z:1.417378
Joint5 X:-0.216055, Y:-0.056632, Z:1.392638
Joint6 X:-0.195768, Y:-0.241638, Z:1.305085
Joint7 X:-0.169085, Y:-0.277466, Z:1.287446
Joint8 X:0.144726, Y:0.166431, Z:1.393257
Joint9 X:0.191255, Y:-0.055838, Z:1.380265
Joint10 X:0.190179, Y:-0.219030, Z:1.321786
Joint11 X:0.161455, Y:-0.274671, Z:1.301013
Joint12 X:-0.079534, Y:-0.344186, Z:1.340325
Joint13 X:-0.073402, Y:-0.625726, Z:1.265420
Joint14 X:-0.068362, Y:-0.963633, Z:1.213691
Joint15 X:-0.073529, Y:-0.975830, Z:1.079473
Joint16 X:0.065125, Y:-0.340819, Z:1.335323
Joint17 X:0.079924, Y:-0.626686, Z:1.267500
Joint18 X:0.098459, Y:-0.960794, Z:1.225148
Joint19 X:0.091965, Y:-0.975411, Z:1.091451
Joint20 X:-0.008341, Y:0.214437, Z:1.436002
Joint21 X:-0.161654, Y:-0.343658, Z:1.275461
Joint22 X:-0.203667, Y:-0.288098, Z:1.298467
Joint23 X:0.157749, Y:-0.340106, Z:1.285452
Joint24 X:0.125378, Y:-0.237083, Z:1.266546
Joint0 X:-0.008391, Y:-0.352194, Z:1.374732
Joint1 X:-0.008406, Y:-0.022588, Z:1.415594
Joint2 X:-0.008951, Y:0.290321, Z:1.439594
Joint3 X:-0.029856, Y:0.438545, Z:1.426702
Joint4 X:-0.184092, Y:0.165317, Z:1.417962
Joint5 X:-0.216221, Y:-0.059331, Z:1.392455
Joint6 X:-0.193949, Y:-0.242046, Z:1.303173
Joint7 X:-0.171055, Y:-0.278454, Z:1.287465
Joint8 X:0.144656, Y:0.166279, Z:1.392996
Joint9 X:0.191418, Y:-0.055921, Z:1.380599
Joint10 X:0.190354, Y:-0.219947, Z:1.320817
Joint11 X:0.161357, Y:-0.277689, Z:1.300277
Joint12 X:-0.080528, Y:-0.344405, Z:1.340854
Joint13 X:-0.074560, Y:-0.625996, Z:1.266623
Joint14 X:-0.069739, Y:-0.963991, Z:1.215697
Joint15 X:-0.075374, Y:-0.976413, Z:1.081553
Joint16 X:0.064144, Y:-0.341226, Z:1.335343
Joint17 X:0.080435, Y:-0.627461, Z:1.267573
Joint18 X:0.100581, Y:-0.961014, Z:1.225379
Joint19 X:0.093860, Y:-0.975708, Z:1.091704
Joint20 X:-0.008731, Y:0.214283, Z:1.436000
Joint21 X:-0.163389, Y:-0.345869, Z:1.275651
Joint22 X:-0.206031, Y:-0.275243, Z:1.295449
Joint23 X:0.157595, Y:-0.343294, Z:1.284343
Joint24 X:0.125140, Y:-0.275064, Z:1.267843
Joint0 X:-0.010210, Y:-0.351419, Z:1.375100
Joint1 X:-0.010404, Y:-0.018883, Z:1.415608
Joint2 X:-0.010657, Y:0.298166, Z:1.438399
Joint3 X:-0.031930, Y:0.444388, Z:1.424037
Joint4 X:-0.186275, Y:0.170408, Z:1.417727
Joint5 X:-0.215482, Y:-0.054745, Z:1.392656
Joint6 X:-0.197008, Y:-0.237442, Z:1.307293
Joint7 X:-0.167786, Y:-0.279493, Z:1.288096
Joint8 X:0.140366, Y:0.166846, Z:1.391466
Joint9 X:0.191215, Y:-0.054355, Z:1.381511
Joint10 X:0.195400, Y:-0.215567, Z:1.324028
Joint11 X:0.166484, Y:-0.271367, Z:1.304503
Joint12 X:-0.082133, Y:-0.343676, Z:1.340899
Joint13 X:-0.075640, Y:-0.626243, Z:1.267584
Joint14 X:-0.070275, Y:-0.963494, Z:1.217970
Joint15 X:-0.075999, Y:-0.976374, Z:1.083925
Joint16 X:0.062140, Y:-0.340372, Z:1.336207
Joint17 X:0.081274, Y:-0.628067, Z:1.267728
Joint18 X:0.104344, Y:-0.959742, Z:1.225055
Joint19 X:0.097848, Y:-0.974444, Z:1.091332
Joint20 X:-0.010605, Y:0.221037, Z:1.435213
Joint21 X:-0.158271, Y:-0.344538, Z:1.276961
Joint22 X:-0.204521, Y:-0.279953, Z:1.296053
Joint23 X:0.163280, Y:-0.337108, Z:1.287524
Joint24 X:0.130214, Y:-0.262285, Z:1.268873
Joint0 X:-0.014771, Y:-0.351163, Z:1.375106
Joint1 X:-0.013130, Y:-0.010681, Z:1.412281
Joint2 X:-0.010112, Y:0.322957, Z:1.426273
Joint3 X:-0.036987, Y:0.444963, Z:1.424813
Joint4 X:-0.187124, Y:0.174484, Z:1.418403
Joint5 X:-0.218310, Y:-0.050511, Z:1.397226
Joint6 X:-0.199767, Y:-0.215441, Z:1.315634
Joint7 X:-0.174302, Y:-0.256894, Z:1.294293
Joint8 X:0.133323, Y:0.175632, Z:1.387472
Joint9 X:0.174277, Y:-0.048025, Z:1.372220
Joint10 X:0.130167, Y:-0.194275, Z:1.297740
Joint11 X:0.112217, Y:-0.210211, Z:1.277190
Joint12 X:-0.090663, Y:-0.347696, Z:1.353741
Joint13 X:-0.074320, Y:-0.621215, Z:1.270463
Joint14 X:-0.056919, Y:-0.964007, Z:1.206446
Joint15 X:-0.063087, Y:-0.974898, Z:1.071890
Joint16 X:0.056937, Y:-0.336802, Z:1.324268
Joint17 X:0.075065, Y:-0.616182, Z:1.269917
Joint18 X:0.098219, Y:-0.957813, Z:1.242563
Joint19 X:0.089852, Y:-0.977265, Z:1.110465
