Joint0 X:0.000746, Y:-0.270563, Z:1.392597
Joint1 X:-0.004542, Y:0.042684, Z:1.416523
Joint2 X:-0.010042, Y:0.341208, Z:1.425868
Joint3 X:-0.026537, Y:0.494344, Z:1.394377
Joint4 X:-0.186184, Y:0.224728, Z:1.444326
Joint5 X:-0.258390, Y:0.000514, Z:1.458551
Joint6 X:-0.274894, Y:-0.185749, Z:1.436399
Joint7 X:-0.282427, Y:-0.266957, Z:1.437541
Joint8 X:0.158197, Y:0.222282, Z:1.430454
Joint9 X:0.254456, Y:-0.000690, Z:1.466718
Joint10 X:0.260689, Y:-0.199311, Z:1.440068
Joint11 X:0.252482, Y:-0.268350, Z:1.425039
Joint12 X:-0.069142, Y:-0.265085, Z:1.361548
Joint13 X:-0.065001, Y:-0.575484, Z:1.332682
Joint14 X:-0.064994, Y:-0.950179, Z:1.344969
Joint15 X:-0.067676, Y:-0.977757, Z:1.227283
Joint16 X:0.070599, Y:-0.262984, Z:1.356483
Joint17 X:0.087814, Y:-0.571891, Z:1.337429
Joint18 X:0.091006, Y:-0.947114, Z:1.347373
Joint19 X:0.085898, Y:-0.974199, Z:1.229340
Joint20 X:-0.008676, Y:0.268489, Z:1.425797
Joint21 X:-0.281299, Y:-0.329207, Z:1.447893
Joint22 X:-0.237849, Y:-0.283298, Z:1.425769
Joint23 X:0.240715, Y:-0.336547, Z:1.434196
Joint24 X:0.259115, Y:-0.295035, Z:1.399560
Joint0 X:0.000716, Y:-0.270576, Z:1.392641
Joint1 X:-0.004577, Y:0.042806, Z:1.416623
Joint2 X:-0.009969, Y:0.341598, Z:1.426063
Joint3 X:-0.026587, Y:0.494742, Z:1.395525
Joint4 X:-0.186252, Y:0.224528, Z:1.444561
Joint5 X:-0.258231, Y:0.000347, Z:1.458894
Joint6 X:-0.274320, Y:-0.186141, Z:1.436505
Joint7 X:-0.280213, Y:-0.267580, Z:1.438396
Joint8 X:0.158146, Y:0.222257, Z:1.430406
Joint9 X:0.254185, Y:-0.001080, Z:1.466920
Joint10 X:0.260251, Y:-0.199036, Z:1.439594
Joint11 X:0.253110, Y:-0.268347, Z:1.424876
Joint12 X:-0.069161, Y:-0.265087, Z:1.361588
Joint13 X:-0.065165, Y:-0.575339, Z:1.332671
Joint14 X:-0.065383, Y:-0.950390, Z:1.345551
Joint15 X:-0.068184, Y:-0.978103, Z:1.227937
Joint16 X:0.070567, Y:-0.263013, Z:1.356527
Joint17 X:0.087527, Y:-0.572383, Z:1.337371
Joint18 X:0.092275, Y:-0.947399, Z:1.347372
Joint19 X:0.087315, Y:-0.974510, Z:1.229351
Joint20 X:-0.008643, Y:0.268810, Z:1.425950
Joint21 X:-0.281506, Y:-0.329581, Z:1.449033
Joint22 X:-0.230698, Y:-0.275049, Z:1.458500
Joint23 X:0.243066, Y:-0.336485, Z:1.433934
Joint24 X:0.262119, Y:-0.292389, Z:1.401049
Joint0 X:0.000557, Y:-0.270622, Z:1.392788
Joint1 X:-0.004594, Y:0.042845, Z:1.416615
Joint2 X:-0.009734, Y:0.341712, Z:1.425727
Joint3 X:-0.025826, Y:0.494848, Z:1.395452
Joint4 X:-0.185877, Y:0.224507, Z:1.444317
Joint5 X:-0.258057, Y:0.000412, Z:1.459227
Joint6 X:-0.274474, Y:-0.186143, Z:1.436509
Joint7 X:-0.283537, Y:-0.266551, Z:1.437231
Joint8 X:0.157964, Y:0.221716, Z:1.430071
Joint9 X:0.254066, Y:-0.000840, Z:1.466945
Joint10 X:0.260278, Y:-0.198132, Z:1.439301
Joint11 X:0.256471, Y:-0.267378, Z:1.426268
Joint12 X:-0.069308, Y:-0.265126, Z:1.361754
Joint13 X:-0.065067, Y:-0.574971, Z:1.332393
Joint14 X:-0.066331, Y:-0.950781, Z:1.345469
Joint15 X:-0.069299, Y:-0.978521, Z:1.227886
Joint16 X:0.070392, Y:-0.263063, Z:1.356653
Joint17 X:0.086794, Y:-0.572843, Z:1.336868
Joint18 X:0.091637, Y:-0.947838, Z:1.347475
Joint19 X:0.086699, Y:-0.975093, Z:1.229533
Joint20 X:-0.008504, Y:0.268914, Z:1.425700
Joint21 X:-0.280014, Y:-0.330953, Z:1.449670
Joint22 X:-0.244848, Y:-0.282860, Z:1.423099
Joint23 X:0.244324, Y:-0.335740, Z:1.433592
Joint24 X:0.260128, Y:-0.293196, Z:1.400264
Joint0 X:0.001347, Y:-0.270300, Z:1.392847
Joint1 X:-0.004589, Y:0.043055, Z:1.416360
Joint2 X:-0.010558, Y:0.342000, Z:1.424680
Joint3 X:-0.021164, Y:0.496547, Z:1.394937
Joint4 X:-0.183276, Y:0.225692, Z:1.437034
Joint5 X:-0.264307, Y:-0.000443, Z:1.454102
Joint6 X:-0.282518, Y:-0.185979, Z:1.433146
Joint7 X:-0.292391, Y:-0.260303, Z:1.429707
Joint8 X:0.158217, Y:0.221972, Z:1.430795
Joint9 X:0.263099, Y:0.003217, Z:1.470852
Joint10 X:0.285191, Y:-0.195592, Z:1.443562
Joint11 X:0.286153, Y:-0.267256, Z:1.428988
Joint12 X:-0.068524, Y:-0.264715, Z:1.361124
