Joint0 X:0.017726, Y:-0.430822, Z:1.383720
Joint1 X:0.012787, Y:-0.135456, Z:1.415543
Joint2 X:0.007705, Y:0.149252, Z:1.432452
Joint3 X:0.005076, Y:0.277136, Z:1.434515
Joint4 X:-0.139391, Y:0.028110, Z:1.394339
Joint5 X:-0.210618, Y:-0.204213, Z:1.416439
Joint6 X:-0.275479, Y:-0.400945, Z:1.386156
Joint7 X:-0.265854, Y:-0.428584, Z:1.371938
Joint8 X:0.159681, Y:0.024285, Z:1.392510
Joint9 X:0.234365, Y:-0.202324, Z:1.417144
Joint10 X:0.303589, Y:-0.397282, Z:1.384905
Joint11 X:0.299963, Y:-0.414254, Z:1.373383
Joint12 X:-0.044682, Y:-0.421807, Z:1.354323
Joint13 X:-0.007026, Y:-0.723956, Z:1.353139
Joint14 X:0.039368, Y:-1.116342, Z:1.386565
Joint15 X:0.046750, Y:-1.151298, Z:1.272471
Joint16 X:0.079280, Y:-0.420894, Z:1.352257
Joint17 X:0.041465, Y:-0.722460, Z:1.356274
Joint18 X:-0.004230, Y:-1.114115, Z:1.396327
Joint19 X:-0.012973, Y:-1.150780, Z:1.283198
Joint20 X:0.008990, Y:0.079546, Z:1.430472
Joint21 X:-0.273963, Y:-0.458514, Z:1.379918
Joint22 X:-0.286092, Y:-0.445968, Z:1.381484
Joint23 X:0.312231, Y:-0.452567, Z:1.381621
Joint24 X:0.314163, Y:-0.398640, Z:1.359616
Joint0 X:0.017395, Y:-0.429945, Z:1.383921
Joint1 X:0.012665, Y:-0.135084, Z:1.415579
Joint2 X:0.007662, Y:0.149353, Z:1.432456
Joint3 X:0.005008, Y:0.277176, Z:1.434711
Joint4 X:-0.139651, Y:0.027340, Z:1.395423
Joint5 X:-0.190810, Y:-0.218792, Z:1.421471
Joint6 X:-0.211346, Y:-0.426010, Z:1.408151
Joint7 X:-0.213998, Y:-0.430502, Z:1.411847
Joint8 X:0.159660, Y:0.024181, Z:1.394881
Joint9 X:0.225746, Y:-0.216598, Z:1.429222
Joint10 X:0.280874, Y:-0.416814, Z:1.406317
Joint11 X:0.269601, Y:-0.430172, Z:1.434043
Joint12 X:-0.045034, Y:-0.420728, Z:1.354848
Joint13 X:-0.007299, Y:-0.723115, Z:1.351990
Joint14 X:0.039259, Y:-1.116380, Z:1.383330
Joint15 X:0.046973, Y:-1.150665, Z:1.268890
Joint16 X:0.079027, Y:-0.420195, Z:1.352190
