Joint0 X:-0.004869, Y:-0.343971, Z:1.374898
Joint1 X:-0.019854, Y:-0.016048, Z:1.413455
Joint2 X:-0.033568, Y:0.294828, Z:1.435076
Joint3 X:-0.042935, Y:0.435599, Z:1.407388
Joint4 X:-0.196061, Y:0.164673, Z:1.405058
Joint5 X:-0.262607, Y:-0.050131, Z:1.389685
Joint6 X:-0.317335, Y:-0.236542, Z:1.346427
Joint7 X:-0.320527, Y:-0.299817, Z:1.316981
Joint8 X:0.130846, Y:0.175252, Z:1.408005
Joint9 X:0.245627, Y:-0.016300, Z:1.413665
Joint10 X:0.379751, Y:-0.189968, Z:1.383637
Joint11 X:0.409202, Y:-0.250844, Z:1.354948
Joint12 X:-0.078065, Y:-0.336510, Z:1.332803
Joint13 X:-0.087737, Y:-0.613427, Z:1.254589
Joint14 X:-0.101203, Y:-0.948233, Z:1.198187
Joint15 X:-0.100893, Y:-0.959166, Z:1.065318
Joint16 X:0.068553, Y:-0.333343, Z:1.344378
Joint17 X:0.072829, Y:-0.620160, Z:1.263747
Joint18 X:0.079229, Y:-0.945404, Z:1.207393
Joint19 X:0.078694, Y:-0.956221, Z:1.074292
Joint20 X:-0.030300, Y:0.219363, Z:1.432135
Joint21 X:-0.330225, Y:-0.355634, Z:1.302232
Joint22 X:-0.331798, Y:-0.336992, Z:1.268100
Joint23 X:0.462798, Y:-0.299989, Z:1.348801
Joint24 X:0.427023, Y:-0.258059, Z:1.304471
Joint0 X:-0.005285, Y:-0.348486, Z:1.370622
Joint1 X:-0.018385, Y:-0.019864, Z:1.409808
Joint2 X:-0.030309, Y:0.292041, Z:1.431433
Joint3 X:-0.038453, Y:0.434343, Z:1.406009
Joint4 X:-0.193504, Y:0.163375, Z:1.403697
Joint5 X:-0.256383, Y:-0.051845, Z:1.402904
Joint6 X:-0.326125, Y:-0.240315, Z:1.364132
Joint7 X:-0.346407, Y:-0.303511, Z:1.338638
Joint8 X:0.124756, Y:0.168989, Z:1.398251
Joint9 X:0.190818, Y:-0.045587, Z:1.398363
Joint10 X:0.275388, Y:-0.248787, Z:1.398733
Joint11 X:0.292410, Y:-0.309487, Z:1.369608
Joint12 X:-0.078790, Y:-0.341152, Z:1.332403
Joint13 X:-0.084136, Y:-0.612409, Z:1.245981
Joint14 X:-0.092785, Y:-0.950416, Z:1.178019
Joint15 X:-0.094148, Y:-0.958817, Z:1.044655
Joint16 X:0.068420, Y:-0.337502, Z:1.335667
Joint17 X:0.075267, Y:-0.622022, Z:1.261481
Joint18 X:0.084697, Y:-0.950580, Z:1.211777
Joint19 X:0.082202, Y:-0.962999, Z:1.079183
Joint20 X:-0.027475, Y:0.216270, Z:1.428517
Joint21 X:-0.344541, Y:-0.365249, Z:1.344248
Joint22 X:-0.351695, Y:-0.320717, Z:1.355800
Joint23 X:0.282125, Y:-0.374295, Z:1.379341
Joint24 X:0.278314, Y:-0.267375, Z:1.398917
Joint0 X:-0.004579, Y:-0.348485, Z:1.370648
Joint1 X:-0.017471, Y:-0.019918, Z:1.409531
Joint2 X:-0.029242, Y:0.291986, Z:1.430760
Joint3 X:-0.037707, Y:0.434935, Z:1.406343
Joint4 X:-0.192762, Y:0.164289, Z:1.404633
Joint5 X:-0.272499, Y:-0.044787, Z:1.406100
Joint6 X:-0.367886, Y:-0.234021, Z:1.359542
Joint7 X:-0.386719, Y:-0.293668, Z:1.330375
Joint8 X:0.127166, Y:0.169102, Z:1.397261
Joint9 X:0.208508, Y:-0.039010, Z:1.405620
Joint10 X:0.313943, Y:-0.232488, Z:1.389697
Joint11 X:0.336845, Y:-0.294754, Z:1.374675
Joint12 X:-0.077858, Y:-0.341234, Z:1.333249
Joint13 X:-0.082821, Y:-0.611577, Z:1.245331
Joint14 X:-0.091015, Y:-0.949984, Z:1.175248
Joint15 X:-0.092867, Y:-0.957998, Z:1.041812
Joint16 X:0.069185, Y:-0.337374, Z:1.335142
Joint17 X:0.075360, Y:-0.621800, Z:1.260842
Joint18 X:0.084060, Y:-0.950472, Z:1.210981
Joint19 X:0.080911, Y:-0.962900, Z:1.078401
Joint20 X:-0.026433, Y:0.216209, Z:1.427958
